steps,time_per_step,pred_success,nodes,filtered_nodes
500,0.0002,0.5733,151,4
1000,0.0003,0.4381,223,11
1500,0.0003,0.3997,295,16
2000,0.0003,0.3792,360,24
2500,0.0003,0.3727,400,26
3000,0.0003,0.3825,447,30
3500,0.0003,0.3837,502,32
4000,0.0003,0.3819,549,39
4500,0.0003,0.3755,596,44
5000,0.0003,0.3594,644,51
5500,0.0003,0.3789,679,51
6000,0.0004,0.3774,718,53
6500,0.0004,0.3676,752,53
7000,0.0004,0.3564,778,55
7500,0.0005,0.3756,799,59
8000,0.0004,0.3727,826,67
8500,0.0004,0.3577,856,73
9000,0.0004,0.3764,883,77
9500,0.0004,0.373,908,86
10000,0.0004,0.3835,927,92
10500,0.0004,0.3822,945,94
11000,0.0007,0.381,959,102
11500,0.0006,0.3841,975,105
12000,0.0007,0.3873,995,113
12500,0.0008,0.3798,1010,120
13000,0.0005,0.3802,1024,129
13500,0.0004,0.3858,1034,132
14000,0.0004,0.3888,1050,140
14500,0.0004,0.3692,1068,147
15000,0.0004,0.3729,1080,150
15500,0.0005,0.3807,1083,155
16000,0.0005,0.3824,1093,159
16500,0.0005,0.3821,1108,163
17000,0.0005,0.3803,1119,168
17500,0.0005,0.3809,1131,170
18000,0.0005,0.3803,1141,172
18500,0.0006,0.3732,1146,180
19000,0.0005,0.3788,1153,184
19500,0.0006,0.3802,1156,196
20000,0.0006,0.3762,1163,203
20500,0.001,0.3745,1169,208
21000,0.0011,0.3788,1173,214
21500,0.0008,0.3637,1178,218
22000,0.0008,0.3673,1185,221
22500,0.0007,0.3811,1189,227
23000,0.0005,0.3663,1192,233
23500,0.0004,0.3743,1196,238
24000,0.0005,0.3685,1201,241
24500,0.0004,0.3717,1203,250
25000,0.0004,0.3732,1208,255
25500,0.0004,0.3737,1211,259
26000,0.0006,0.3806,1214,260
26500,0.0006,0.3765,1217,267
27000,0.0005,0.3785,1219,276
27500,0.0005,0.3779,1221,280
28000,0.0005,0.3856,1225,285
28500,0.0006,0.3817,1227,292
29000,0.0008,0.3794,1231,301
29500,0.0006,0.3685,1233,303
30000,0.0006,0.3745,1234,313
30500,0.0008,0.3666,1237,317
31000,0.0008,0.3729,1238,323
31500,0.0008,0.3706,1241,326
32000,0.0009,0.3785,1241,332
32500,0.0005,0.3779,1243,338
33000,0.0004,0.3894,1243,343
33500,0.0005,0.3729,1245,346
34000,0.0005,0.3704,1247,354
34500,0.0005,0.3634,1247,356
35000,0.0006,0.3611,1249,361
35500,0.0006,0.3757,1249,365
36000,0.0005,0.3782,1250,367
36500,0.0006,0.3797,1250,370
37000,0.0005,0.374,1252,373
37500,0.0004,0.3745,1252,377
38000,0.0004,0.3937,1253,381
38500,0.0004,0.3867,1253,385
39000,0.0005,0.3731,1253,389
39500,0.0005,0.3723,1253,391
40000,0.0004,0.3762,1253,392
40500,0.0008,0.3608,1253,397
41000,0.0007,0.3837,1254,398
41500,0.0007,0.3785,1255,402
42000,0.0008,0.3828,1256,408
42500,0.0006,0.3717,1256,409
43000,0.0005,0.3737,1256,410
43500,0.0004,0.3885,1256,413
44000,0.0005,0.3759,1258,414
44500,0.0007,0.3754,1260,414
45000,0.0006,0.3597,1261,416
45500,0.0005,0.3894,1261,417
46000,0.0005,0.3785,1261,419
46500,0.0004,0.3834,1261,422
47000,0.0005,0.3791,1261,425
47500,0.0004,0.3855,1261,426
48000,0.0005,0.3873,1261,428
48500,0.0005,0.3734,1261,428
49000,0.0004,0.3776,1261,431
49500,0.0005,0.3726,1261,433
50000,0.0006,0.3823,1261,435
