steps,time_per_step,nodes,filtered_nodes
2001,0.0003,440,0
4001,0.0003,559,6
6000,0.0003,662,21
8002,0.0003,742,32
10002,0.0003,810,42
12002,0.0003,880,51
14002,0.0003,942,66
16002,0.0003,994,85
18000,0.0003,1031,101
20002,0.0003,1086,120
22001,0.0003,1133,130
24000,0.0003,1168,142
26002,0.0003,1194,150
28000,0.0003,1227,161
30000,0.0003,1260,172
32002,0.0003,1293,178
34002,0.0003,1326,182
36002,0.0004,1351,189
38001,0.0003,1375,193
40002,0.0003,1403,197
42000,0.0003,1432,204
44000,0.0003,1455,211
46002,0.0004,1473,217
48002,0.0003,1500,222
50001,0.0003,1523,231
52001,0.0004,1541,235
54000,0.0004,1571,245
56002,0.0004,1592,252
58000,0.0003,1610,257
60000,0.0004,1629,259
62000,0.0004,1648,267
64002,0.0003,1668,272
66002,0.0004,1682,276
68000,0.0003,1698,282
70000,0.0003,1712,290
72000,0.0003,1727,299
74000,0.0003,1746,303
76001,0.0004,1759,308
78001,0.0004,1773,310
80001,0.0004,1786,318
82002,0.0004,1803,320
84002,0.0004,1817,333
86001,0.0003,1832,336
88002,0.0004,1843,343
90000,0.0004,1854,352
92001,0.0004,1867,360
94000,0.0004,1880,368
96000,0.0004,1891,373
98000,0.0004,1904,379
100002,0.0004,1908,384
102000,0.0004,1917,391
104002,0.0004,1927,395
106001,0.0004,1934,399
108001,0.0004,1941,402
110000,0.0004,1951,408
112000,0.0003,1963,409
114000,0.0004,1967,418
116001,0.0003,1972,421
118000,0.0004,1980,425
120000,0.0004,1990,429
122000,0.0004,1997,435
124000,0.0003,2000,438
126001,0.0004,2009,442
128000,0.0003,2017,443
130002,0.0004,2025,445
132002,0.0004,2034,447
134001,0.0003,2038,451
136002,0.0004,2044,454
138002,0.0004,2051,455
140001,0.0004,2055,459
142000,0.0004,2057,461
144001,0.0004,2062,463
146000,0.0004,2065,464
148001,0.0004,2067,466
150002,0.0004,2073,471
152000,0.0004,2077,472
154002,0.0003,2083,473
156001,0.0004,2089,476
158000,0.0004,2094,478
160000,0.0003,2098,481
162000,0.0004,2105,483
164002,0.0004,2111,484
166000,0.0003,2118,487
168002,0.0003,2120,490
170000,0.0004,2122,490
172001,0.0003,2129,492
174000,0.0004,2131,492
176001,0.0005,2137,494
178000,0.0004,2138,495
180001,0.0004,2140,498
182000,0.0004,2144,499
184000,0.0004,2145,499
186000,0.0004,2150,500
188000,0.0004,2153,502
190002,0.0004,2155,503
192001,0.0004,2156,504
194001,0.0004,2160,504
196002,0.0005,2161,505
198001,0.0004,2163,505
200001,0.0004,2165,505
