steps,time_per_step,nodes,filtered_nodes
2002,0.0002,431,1
4000,0.0002,561,7
6000,0.0002,657,15
8000,0.0002,736,30
10001,0.0002,812,40
12002,0.0002,868,51
14002,0.0003,924,66
16000,0.0003,980,87
18001,0.0002,1028,102
20001,0.0003,1068,118
22000,0.0003,1103,128
24001,0.0003,1154,134
26001,0.0003,1195,145
28001,0.0003,1222,160
30000,0.0003,1263,170
32000,0.0003,1290,176
34001,0.0004,1321,179
36000,0.0004,1344,186
38000,0.0003,1378,192
40000,0.0003,1402,200
42001,0.0003,1426,207
44000,0.0003,1453,211
46002,0.0003,1472,215
48000,0.0003,1497,220
50001,0.0003,1522,228
52000,0.0003,1540,236
54001,0.0003,1554,242
56000,0.0003,1579,250
58002,0.0004,1601,255
60001,0.0003,1616,266
62002,0.0004,1628,272
64000,0.0003,1645,276
66000,0.0003,1665,282
68001,0.0003,1683,289
70000,0.0004,1701,296
72002,0.0004,1722,304
74001,0.0004,1735,311
76000,0.0004,1747,315
78001,0.0004,1759,320
80001,0.0004,1771,327
82001,0.0004,1782,335
84001,0.0006,1798,339
86000,0.0004,1808,342
88000,0.0005,1824,351
90002,0.0004,1835,356
92000,0.0004,1838,357
94002,0.0004,1850,364
96001,0.0005,1867,367
98001,0.0004,1880,369
100002,0.0003,1888,374
102000,0.0004,1898,380
104001,0.0004,1911,381
106001,0.0004,1919,387
108000,0.0004,1923,394
110002,0.0004,1931,396
112002,0.0004,1941,402
114002,0.0004,1951,406
116000,0.0004,1960,411
118001,0.0004,1966,417
120001,0.0004,1980,418
122000,0.0004,1989,427
124001,0.0003,1998,431
126002,0.0004,2004,434
128002,0.0004,2007,434
130002,0.0004,2016,434
132002,0.0003,2020,436
134002,0.0004,2025,439
136001,0.0004,2032,441
138001,0.0004,2040,445
140001,0.0004,2043,450
142001,0.0004,2045,450
144001,0.0004,2052,455
146001,0.0004,2055,456
148000,0.0004,2062,461
150000,0.0004,2070,462
152001,0.0004,2070,465
154000,0.0004,2076,472
156002,0.0004,2079,473
158000,0.0004,2085,474
160001,0.0004,2093,475
162000,0.0004,2095,477
164000,0.0004,2098,480
166001,0.0004,2104,480
168001,0.0005,2108,480
170001,0.0004,2110,482
172001,0.0004,2112,485
174001,0.0004,2117,485
176000,0.0004,2122,488
178002,0.0004,2123,489
180000,0.0004,2129,490
182001,0.0004,2132,491
184000,0.0004,2136,491
186000,0.0004,2142,493
188000,0.0004,2145,494
190001,0.0004,2147,494
192000,0.0004,2152,495
194002,0.0004,2153,496
196002,0.0004,2154,500
198002,0.0005,2155,502
200000,0.0005,2159,503
