steps,time_per_step,nodes,filtered_nodes
2002,0.0003,441,0
4000,0.0003,571,8
6001,0.0003,667,18
8000,0.0003,731,31
10000,0.0004,802,42
12000,0.0004,866,58
14000,0.0005,920,71
16000,0.0005,972,87
18001,0.0003,1021,101
20000,0.0003,1076,111
22000,0.0004,1114,129
24002,0.0003,1145,137
26001,0.0003,1181,148
28001,0.0003,1224,156
30000,0.0003,1258,165
32000,0.0003,1282,174
34002,0.0003,1311,182
36001,0.0003,1339,188
38000,0.0003,1369,191
40000,0.0003,1395,195
42001,0.0003,1420,201
44002,0.0003,1450,211
46000,0.0003,1472,216
48000,0.0003,1492,222
50000,0.0003,1511,232
52002,0.0003,1536,241
54002,0.0003,1557,245
56000,0.0003,1579,253
58001,0.0004,1600,258
60000,0.0004,1614,262
62002,0.0003,1624,273
64001,0.0003,1634,281
66001,0.0003,1651,287
68001,0.0004,1668,291
70000,0.0004,1681,295
72001,0.0003,1694,303
74001,0.0004,1707,309
76000,0.0004,1725,317
78000,0.0003,1739,324
80000,0.0003,1753,326
82002,0.0004,1770,331
84001,0.0003,1783,335
86000,0.0004,1800,337
88001,0.0004,1815,342
90002,0.0004,1826,349
92000,0.0003,1833,353
94002,0.0003,1842,362
96000,0.0003,1854,367
98001,0.0003,1864,372
100001,0.0004,1872,385
102002,0.0003,1885,388
104002,0.0004,1896,393
106000,0.0004,1912,395
108000,0.0004,1920,397
110001,0.0004,1930,406
112000,0.0004,1941,408
114001,0.0003,1947,413
116000,0.0003,1953,419
118001,0.0004,1958,423
120000,0.0003,1969,429
122000,0.0003,1984,433
124000,0.0004,1992,435
126001,0.0004,2001,437
128000,0.0004,2004,441
130002,0.0004,2011,449
132001,0.0003,2019,453
134001,0.0004,2025,453
136000,0.0004,2032,454
138001,0.0004,2037,456
140000,0.0003,2039,458
142000,0.0004,2044,461
144002,0.0003,2049,464
146000,0.0004,2052,466
148001,0.0003,2058,471
150001,0.0004,2064,473
152000,0.0004,2069,473
154002,0.0003,2072,477
156001,0.0004,2073,479
158001,0.0004,2077,479
160000,0.0004,2083,481
162001,0.0003,2087,483
164002,0.0004,2093,485
166001,0.0004,2100,488
168001,0.0004,2105,490
170002,0.0004,2114,490
172001,0.0004,2118,492
174001,0.0004,2122,492
176000,0.0003,2128,493
178002,0.0004,2131,497
180002,0.0004,2136,497
182000,0.0004,2139,498
184001,0.0004,2142,498
186002,0.0004,2144,498
188000,0.0004,2146,499
190002,0.0004,2148,499
192000,0.0004,2149,499
194002,0.0004,2151,503
196001,0.0003,2155,504
198000,0.0004,2160,506
200001,0.0004,2167,508
