steps,time_per_step,nodes,filtered_nodes
2000,0.0003,428,0
4002,0.0004,563,6
6001,0.0004,652,20
8002,0.0006,728,37
10000,0.0004,802,51
12000,0.0003,875,60
14000,0.0003,933,71
16002,0.0003,983,88
18001,0.0003,1028,100
20002,0.0003,1074,111
22000,0.0003,1117,122
24002,0.0003,1158,134
26002,0.0004,1204,141
28001,0.0004,1238,154
30001,0.0003,1268,161
32002,0.0004,1302,169
34002,0.0004,1334,177
36000,0.0004,1365,183
38002,0.0004,1390,189
40002,0.0004,1418,200
42001,0.0004,1440,205
44001,0.0004,1460,211
46002,0.0004,1481,215
48002,0.0004,1506,219
50002,0.0004,1525,226
52001,0.0004,1555,233
54002,0.0004,1578,242
56000,0.0003,1594,254
58000,0.0004,1605,262
60002,0.0004,1617,268
62000,0.0004,1638,274
64001,0.0004,1649,279
66002,0.0004,1666,286
68001,0.0004,1686,294
70000,0.0004,1697,300
72002,0.0004,1709,306
74001,0.0004,1724,313
76001,0.0004,1735,320
78001,0.0004,1749,322
80001,0.0004,1761,327
82002,0.0004,1769,330
84002,0.0006,1777,333
86000,0.0005,1787,338
88001,0.0005,1796,349
90000,0.0004,1808,353
92001,0.0003,1818,359
94002,0.0004,1827,367
96000,0.0004,1838,371
98000,0.0004,1852,377
100002,0.0004,1868,381
102002,0.0004,1877,386
104001,0.0003,1884,390
106001,0.0004,1894,394
108000,0.0004,1898,398
110001,0.0004,1912,405
112000,0.0004,1926,408
114001,0.0003,1933,412
116000,0.0004,1942,418
118001,0.0003,1948,420
120001,0.0004,1954,423
122000,0.0004,1959,428
124001,0.0004,1967,431
126000,0.0004,1976,437
128000,0.0003,1985,440
130000,0.0004,1990,441
132000,0.0004,2001,441
134002,0.0004,2009,443
136001,0.0003,2015,448
138001,0.0004,2024,453
140002,0.0004,2029,455
142001,0.0004,2036,461
144002,0.0004,2036,461
146001,0.0004,2043,462
148000,0.0004,2048,464
150001,0.0003,2054,468
152000,0.0003,2059,472
154002,0.0004,2059,476
156001,0.0004,2064,476
158002,0.0004,2068,476
160002,0.0004,2074,478
162002,0.0004,2075,479
164001,0.0004,2077,480
166000,0.0004,2083,482
168000,0.0003,2088,484
170000,0.0004,2088,486
172002,0.0004,2092,488
174001,0.0004,2094,490
176002,0.0004,2098,493
178001,0.0004,2099,495
180000,0.0004,2102,499
182000,0.0004,2105,502
184000,0.0004,2113,503
186000,0.0004,2121,503
188001,0.0004,2126,504
190002,0.0004,2130,504
192000,0.0004,2136,507
194000,0.0004,2140,509
196002,0.0004,2143,509
198002,0.0003,2146,509
200000,0.0004,2148,510
