steps,time_per_step,nodes,filtered_nodes
2002,0.0003,423,1
4000,0.0003,569,7
6000,0.0004,657,21
8000,0.0003,731,31
10001,0.0003,797,43
12000,0.0003,857,57
14001,0.0003,915,72
16002,0.0003,957,83
18002,0.0003,1006,99
20002,0.0003,1064,116
22001,0.0003,1111,120
24000,0.0003,1155,130
26002,0.0004,1188,139
28002,0.0003,1220,146
30000,0.0003,1259,158
32002,0.0003,1285,169
34000,0.0003,1308,175
36001,0.0003,1335,180
38002,0.0004,1365,186
40000,0.0003,1392,191
42000,0.0003,1418,200
44000,0.0003,1443,209
46002,0.0003,1460,219
48000,0.0004,1486,230
50000,0.0003,1511,237
52002,0.0004,1532,249
54000,0.0004,1562,252
56002,0.0004,1588,258
58001,0.0004,1614,261
60002,0.0004,1631,265
62002,0.0004,1643,271
64001,0.0006,1663,277
66000,0.0005,1679,284
68001,0.0005,1694,285
70002,0.0004,1711,289
72002,0.0004,1728,297
74001,0.0004,1738,306
76000,0.0004,1751,311
78000,0.0004,1771,318
80000,0.0004,1783,326
82002,0.0004,1799,328
84000,0.0004,1816,333
86002,0.0004,1820,341
88002,0.0004,1834,347
90001,0.0005,1849,354
92000,0.0004,1861,357
94002,0.0004,1872,366
96000,0.0005,1883,373
98000,0.0004,1897,378
100002,0.0005,1903,384
102001,0.0006,1914,392
104000,0.0005,1921,395
106001,0.0005,1932,400
108000,0.0005,1942,404
110000,0.0004,1951,408
112000,0.0005,1957,414
114000,0.0005,1965,416
116002,0.0005,1973,420
118000,0.0004,1977,425
120002,0.0004,1988,430
122002,0.0005,1999,432
124002,0.0005,2004,437
126001,0.0006,2010,440
128000,0.0005,2016,449
130000,0.0006,2028,454
132000,0.0005,2031,457
134001,0.0005,2035,461
136002,0.0005,2037,468
138002,0.0005,2043,472
140001,0.0005,2046,472
142000,0.0004,2054,473
144000,0.0004,2059,476
146001,0.0004,2063,476
148000,0.0004,2067,478
150002,0.0004,2075,480
152002,0.0005,2084,482
154000,0.0004,2085,486
156001,0.0004,2093,486
158002,0.0004,2102,486
160002,0.0004,2105,487
162000,0.0004,2106,489
164001,0.0004,2110,490
166002,0.0004,2113,494
168000,0.0004,2116,495
170002,0.0004,2120,495
172002,0.0004,2124,498
174000,0.0004,2130,500
176000,0.0004,2138,501
178002,0.0004,2150,501
180001,0.0004,2153,503
182001,0.0004,2157,504
184000,0.0004,2164,505
186001,0.0004,2167,505
188000,0.0004,2169,506
190000,0.0004,2172,508
192001,0.0004,2177,509
194000,0.0004,2178,510
196002,0.0004,2182,514
198000,0.0004,2187,514
200000,0.0004,2191,514
