steps,time_per_step,nodes,filtered_nodes
2002,0.0003,454,1
4000,0.0003,605,6
6002,0.0003,698,16
8000,0.0003,771,26
10001,0.0003,836,44
12001,0.0003,895,55
14000,0.0003,945,74
16000,0.0003,1002,88
18001,0.0003,1054,96
20001,0.0003,1094,108
22002,0.0003,1134,127
24001,0.0003,1175,144
26001,0.0003,1214,155
28000,0.0004,1233,166
30001,0.0003,1271,176
32002,0.0003,1299,182
34002,0.0003,1327,188
36000,0.0003,1363,196
38000,0.0003,1389,203
40000,0.0003,1411,210
42002,0.0003,1434,211
44001,0.0003,1457,218
46002,0.0004,1476,228
48000,0.0003,1498,239
50001,0.0003,1519,243
52002,0.0003,1534,244
54000,0.0004,1558,247
56002,0.0003,1577,256
58000,0.0003,1592,265
60001,0.0003,1604,272
62000,0.0004,1623,281
64002,0.0004,1638,283
66001,0.0003,1652,290
68001,0.0004,1665,300
70001,0.0003,1675,305
72001,0.0003,1685,314
74000,0.0004,1703,320
76002,0.0003,1713,327
78001,0.0003,1725,335
80002,0.0003,1737,347
82001,0.0003,1750,350
84001,0.0004,1760,354
86000,0.0004,1770,359
88002,0.0004,1780,364
90000,0.0003,1789,373
92002,0.0004,1803,379
94002,0.0004,1813,383
96000,0.0003,1828,389
98001,0.0004,1837,392
100000,0.0004,1848,394
102001,0.0004,1863,402
104000,0.0004,1879,407
106002,0.0004,1894,411
108002,0.0003,1902,415
110000,0.0004,1917,419
112001,0.0004,1922,422
114002,0.0004,1935,429
116002,0.0004,1942,434
118000,0.0004,1951,438
120002,0.0004,1960,440
122002,0.0004,1968,443
124002,0.0004,1977,444
126001,0.0003,1984,448
128000,0.0004,1991,449
130002,0.0004,1994,451
132000,0.0004,2001,453
134000,0.0004,2009,455
136002,0.0004,2014,456
138000,0.0004,2024,459
140002,0.0005,2032,460
142001,0.0004,2038,461
144002,0.0004,2042,464
146002,0.0005,2051,466
148002,0.0004,2057,469
150000,0.0004,2062,472
152000,0.0005,2067,473
154002,0.0005,2071,474
156000,0.0005,2075,476
158000,0.0004,2079,477
160000,0.0004,2081,479
162000,0.0004,2084,481
164002,0.0004,2088,482
166001,0.0004,2091,483
168000,0.0004,2101,484
170002,0.0004,2107,486
172000,0.0004,2112,486
174000,0.0004,2120,486
176000,0.0004,2125,487
178000,0.0004,2130,489
180002,0.0004,2131,492
182000,0.0005,2134,492
184000,0.0004,2135,493
186002,0.0004,2138,494
188000,0.0004,2139,495
190002,0.0004,2142,496
192000,0.0004,2145,499
194001,0.0004,2156,499
196002,0.0004,2161,501
198000,0.0004,2162,502
200001,0.0004,2168,502
