steps,time_per_step,nodes,filtered_nodes
2001,0.0002,433,0
4000,0.0003,565,8
6000,0.0003,673,19
8001,0.0003,757,29
10001,0.0003,825,44
12001,0.0003,886,56
14000,0.0003,934,77
16000,0.0003,982,92
18000,0.0003,1038,106
20001,0.0003,1075,114
22001,0.0003,1123,128
24002,0.0003,1162,140
26001,0.0003,1193,152
28002,0.0004,1232,159
30001,0.0003,1267,165
32002,0.0003,1306,173
34000,0.0003,1342,181
36000,0.0003,1379,186
38002,0.0004,1414,188
40002,0.0003,1444,193
42001,0.0003,1466,196
44001,0.0003,1497,205
46000,0.0003,1520,207
48002,0.0003,1540,215
50000,0.0004,1558,223
52000,0.0004,1577,230
54001,0.0003,1598,235
56001,0.0004,1617,242
58000,0.0004,1630,252
60001,0.0004,1648,257
62001,0.0004,1667,265
64002,0.0004,1683,271
66002,0.0004,1702,276
68001,0.0004,1719,285
70002,0.0004,1739,294
72000,0.0004,1755,303
74002,0.0004,1773,310
76002,0.0004,1785,314
78002,0.0004,1805,321
80000,0.0004,1820,330
82002,0.0004,1833,337
84001,0.0004,1845,341
86001,0.0004,1852,347
88001,0.0004,1858,354
90002,0.0004,1872,361
92002,0.0004,1881,368
94002,0.0004,1893,374
96002,0.0004,1900,380
98002,0.0004,1913,385
100000,0.0004,1920,389
102000,0.0004,1931,392
104001,0.0004,1939,396
106000,0.0004,1943,399
108001,0.0004,1953,403
110000,0.0004,1965,407
112002,0.0004,1970,408
114001,0.0004,1979,410
116000,0.0004,1990,413
118001,0.0004,1997,415
120000,0.0004,2004,421
122000,0.0004,2016,426
124000,0.0004,2025,426
126000,0.0004,2028,427
128001,0.0004,2035,430
130001,0.0004,2042,433
132001,0.0004,2048,439
134002,0.0004,2057,443
136000,0.0004,2059,446
138000,0.0004,2065,449
140000,0.0004,2071,451
142000,0.0004,2076,456
144000,0.0004,2083,459
146000,0.0004,2087,461
148001,0.0004,2090,463
150001,0.0004,2098,464
152002,0.0005,2104,468
154001,0.0005,2108,475
156001,0.0004,2112,476
158001,0.0006,2118,477
160001,0.0005,2124,481
162000,0.0004,2128,482
164000,0.0004,2132,485
166001,0.0004,2138,487
168002,0.0004,2143,489
170002,0.0004,2146,492
172001,0.0004,2150,494
174000,0.0004,2154,495
176000,0.0004,2159,497
178002,0.0004,2160,499
180002,0.0004,2160,501
182001,0.0004,2163,502
184000,0.0004,2169,503
186000,0.0004,2171,503
188000,0.0004,2176,506
190000,0.0004,2181,506
192000,0.0004,2183,508
194002,0.0004,2184,509
196002,0.0005,2186,509
198002,0.0005,2188,509
200001,0.0006,2192,509
