steps,time_per_step,nodes,filtered_nodes
2002,0.0002,446,1
4002,0.0003,562,6
6000,0.0003,671,15
8002,0.0003,749,30
10000,0.0003,821,42
12000,0.0003,885,59
14001,0.0003,940,71
16000,0.0003,994,90
18000,0.0003,1037,95
20001,0.0003,1081,112
22000,0.0003,1130,126
24002,0.0003,1160,133
26001,0.0003,1204,142
28001,0.0003,1234,151
30000,0.0003,1271,160
32002,0.0003,1309,169
34001,0.0003,1347,178
36002,0.0003,1379,185
38000,0.0004,1406,192
40000,0.0003,1434,199
42002,0.0003,1458,204
44002,0.0003,1483,212
46000,0.0004,1509,214
48000,0.0003,1532,223
50000,0.0003,1546,227
52000,0.0003,1570,229
54001,0.0003,1577,235
56001,0.0004,1598,241
58002,0.0004,1620,249
60000,0.0003,1637,253
62002,0.0004,1657,263
64001,0.0003,1674,272
66001,0.0004,1691,278
68002,0.0004,1709,283
70001,0.0004,1723,287
72002,0.0003,1740,296
74001,0.0004,1757,307
76000,0.0004,1773,314
78001,0.0004,1785,323
80002,0.0004,1798,333
82000,0.0004,1812,341
84001,0.0004,1821,343
86000,0.0003,1828,345
88001,0.0004,1837,349
90001,0.0004,1853,355
92000,0.0004,1862,358
94001,0.0004,1870,364
96001,0.0004,1878,372
98002,0.0004,1884,377
100001,0.0004,1896,382
102000,0.0004,1902,386
104001,0.0004,1907,394
106000,0.0004,1918,397
108002,0.0004,1926,404
110001,0.0004,1931,409
112001,0.0004,1936,413
114002,0.0004,1946,416
116002,0.0004,1952,420
118002,0.0004,1959,424
120002,0.0004,1965,426
122002,0.0004,1971,427
124000,0.0004,1978,429
126000,0.0004,1985,432
128001,0.0004,1992,437
130000,0.0004,1998,444
132001,0.0004,2005,448
134000,0.0004,2010,450
136002,0.0004,2017,451
138002,0.0004,2022,456
140001,0.0004,2028,462
142001,0.0004,2031,463
144002,0.0004,2038,465
146001,0.0004,2042,468
148001,0.0004,2048,468
150002,0.0003,2051,469
152000,0.0004,2057,469
154001,0.0004,2060,470
156000,0.0004,2065,473
158001,0.0004,2070,474
160000,0.0004,2075,476
162001,0.0004,2082,476
164001,0.0004,2087,478
166001,0.0004,2092,482
168000,0.0004,2094,484
170001,0.0004,2098,484
172000,0.0004,2104,484
174002,0.0004,2110,486
176001,0.0004,2115,486
178000,0.0004,2122,488
180002,0.0004,2126,489
182000,0.0004,2129,491
184000,0.0004,2136,492
186001,0.0004,2144,494
188002,0.0004,2147,497
190001,0.0004,2151,498
192000,0.0004,2152,502
194002,0.0004,2157,502
196000,0.0004,2162,504
198002,0.0004,2165,505
200001,0.0004,2170,505
