steps,best_pred_error_rate
250,"{0: 0.98, 1: 0.5, 2: 0.44, 3: 0.48, 4: 0.55}"
500,"{0: 0.9, 1: 0.4, 2: 0.31, 3: 0.39, 4: 0.33}"
750,"{0: 0.91, 1: 0.4, 2: 0.32, 3: 0.35, 4: 0.35}"
1000,"{0: 0.93, 1: 0.38, 2: 0.33, 3: 0.42, 4: 0.37}"
1250,"{0: 0.97, 1: 0.32, 2: 0.32, 3: 0.39, 4: 0.45}"
1500,"{0: 0.96, 1: 0.41, 2: 0.37, 3: 0.36, 4: 0.36}"
1750,"{0: 0.91, 1: 0.31, 2: 0.31, 3: 0.44, 4: 0.39}"
2000,"{0: 0.93, 1: 0.43, 2: 0.34, 3: 0.34, 4: 0.32}"
2250,"{0: 0.95, 1: 0.36, 2: 0.32, 3: 0.32, 4: 0.33}"
2500,"{0: 0.98, 1: 0.41, 2: 0.35, 3: 0.38, 4: 0.34}"
2750,"{0: 0.98, 1: 0.36, 2: 0.34, 3: 0.38, 4: 0.42}"
3000,"{0: 0.96, 1: 0.34, 2: 0.37, 3: 0.31, 4: 0.35}"
3250,"{0: 0.97, 1: 0.43, 2: 0.35, 3: 0.39, 4: 0.38}"
3500,"{0: 0.95, 1: 0.45, 2: 0.33, 3: 0.4, 4: 0.35}"
3750,"{0: 0.94, 1: 0.43, 2: 0.37, 3: 0.4, 4: 0.37}"
4000,"{0: 0.92, 1: 0.34, 2: 0.4, 3: 0.24, 4: 0.34}"
4250,"{0: 0.94, 1: 0.43, 2: 0.44, 3: 0.39, 4: 0.32}"
4500,"{0: 0.95, 1: 0.51, 2: 0.32, 3: 0.37, 4: 0.29}"
4750,"{0: 0.95, 1: 0.45, 2: 0.31, 3: 0.3, 4: 0.39}"
5000,"{0: 0.96, 1: 0.38, 2: 0.26, 3: 0.4, 4: 0.35}"
5250,"{0: 0.99, 1: 0.37, 2: 0.29, 3: 0.26, 4: 0.28}"
5500,"{0: 0.97, 1: 0.45, 2: 0.45, 3: 0.37, 4: 0.37}"
5750,"{0: 0.94, 1: 0.56, 2: 0.33, 3: 0.41, 4: 0.35}"
6000,"{0: 0.94, 1: 0.43, 2: 0.34, 3: 0.38, 4: 0.31}"
6250,"{0: 0.91, 1: 0.3, 2: 0.34, 3: 0.34, 4: 0.28}"
6500,"{0: 0.95, 1: 0.4, 2: 0.37, 3: 0.37, 4: 0.32}"
6750,"{0: 0.97, 1: 0.44, 2: 0.34, 3: 0.34, 4: 0.28}"
7000,"{0: 0.98, 1: 0.52, 2: 0.37, 3: 0.32, 4: 0.24}"
