steps,best_pred_error_rate
250,"{0: 0.96, 1: 0.53, 2: 0.38, 3: 0.53, 4: 0.52}"
500,"{0: 0.93, 1: 0.45, 2: 0.43, 3: 0.37, 4: 0.39}"
750,"{0: 0.97, 1: 0.3, 2: 0.39, 3: 0.37, 4: 0.26}"
1000,"{0: 0.93, 1: 0.41, 2: 0.4, 3: 0.42, 4: 0.39}"
1250,"{0: 0.93, 1: 0.41, 2: 0.41, 3: 0.34, 4: 0.4}"
1500,"{0: 0.96, 1: 0.33, 2: 0.37, 3: 0.47, 4: 0.37}"
1750,"{0: 0.95, 1: 0.49, 2: 0.41, 3: 0.45, 4: 0.33}"
2000,"{0: 0.96, 1: 0.31, 2: 0.37, 3: 0.41, 4: 0.4}"
2250,"{0: 0.92, 1: 0.45, 2: 0.31, 3: 0.42, 4: 0.28}"
2500,"{0: 0.96, 1: 0.29, 2: 0.32, 3: 0.28, 4: 0.37}"
2750,"{0: 1.0, 1: 0.25, 2: 0.32, 3: 0.32, 4: 0.33}"
3000,"{0: 0.97, 1: 0.38, 2: 0.34, 3: 0.39, 4: 0.3}"
3250,"{0: 0.94, 1: 0.43, 2: 0.3, 3: 0.3, 4: 0.41}"
3500,"{0: 0.96, 1: 0.47, 2: 0.41, 3: 0.33, 4: 0.34}"
3750,"{0: 0.91, 1: 0.3, 2: 0.33, 3: 0.38, 4: 0.34}"
4000,"{0: 0.93, 1: 0.4, 2: 0.33, 3: 0.4, 4: 0.37}"
4250,"{0: 0.94, 1: 0.33, 2: 0.27, 3: 0.37, 4: 0.3}"
4500,"{0: 0.93, 1: 0.38, 2: 0.28, 3: 0.33, 4: 0.37}"
4750,"{0: 0.98, 1: 0.36, 2: 0.37, 3: 0.31, 4: 0.3}"
5000,"{0: 0.9, 1: 0.46, 2: 0.3, 3: 0.3, 4: 0.27}"
5250,"{0: 0.95, 1: 0.42, 2: 0.29, 3: 0.31, 4: 0.38}"
5500,"{0: 0.95, 1: 0.44, 2: 0.32, 3: 0.37, 4: 0.44}"
5750,"{0: 0.97, 1: 0.4, 2: 0.33, 3: 0.38, 4: 0.41}"
6000,"{0: 0.99, 1: 0.54, 2: 0.38, 3: 0.34, 4: 0.4}"
6250,"{0: 0.92, 1: 0.38, 2: 0.35, 3: 0.33, 4: 0.4}"
6500,"{0: 0.96, 1: 0.43, 2: 0.28, 3: 0.38, 4: 0.35}"
6750,"{0: 0.94, 1: 0.35, 2: 0.35, 3: 0.38, 4: 0.34}"
7000,"{0: 0.94, 1: 0.51, 2: 0.34, 3: 0.3, 4: 0.41}"
7250,"{0: 0.93, 1: 0.33, 2: 0.35, 3: 0.29, 4: 0.23}"
7500,"{0: 0.94, 1: 0.47, 2: 0.31, 3: 0.33, 4: 0.32}"
7750,"{0: 0.91, 1: 0.42, 2: 0.35, 3: 0.41, 4: 0.36}"
8000,"{0: 0.97, 1: 0.48, 2: 0.29, 3: 0.3, 4: 0.37}"
8250,"{0: 0.94, 1: 0.35, 2: 0.33, 3: 0.3, 4: 0.24}"
8500,"{0: 0.95, 1: 0.49, 2: 0.33, 3: 0.32, 4: 0.28}"
8750,"{0: 0.95, 1: 0.44, 2: 0.37, 3: 0.29, 4: 0.34}"
9000,"{0: 0.92, 1: 0.33, 2: 0.24, 3: 0.31, 4: 0.28}"
9250,"{0: 0.96, 1: 0.46, 2: 0.36, 3: 0.31, 4: 0.34}"
9500,"{0: 0.94, 1: 0.39, 2: 0.28, 3: 0.26, 4: 0.31}"
9750,"{0: 0.92, 1: 0.47, 2: 0.34, 3: 0.37, 4: 0.34}"
10000,"{0: 0.98, 1: 0.44, 2: 0.27, 3: 0.4, 4: 0.36}"
10250,"{0: 0.93, 1: 0.44, 2: 0.34, 3: 0.44, 4: 0.38}"
10500,"{0: 0.97, 1: 0.52, 2: 0.35, 3: 0.4, 4: 0.31}"
10750,"{0: 0.94, 1: 0.49, 2: 0.37, 3: 0.31, 4: 0.36}"
11000,"{0: 0.94, 1: 0.35, 2: 0.34, 3: 0.36, 4: 0.26}"
11250,"{0: 0.98, 1: 0.44, 2: 0.31, 3: 0.33, 4: 0.29}"
11500,"{0: 0.94, 1: 0.44, 2: 0.31, 3: 0.41, 4: 0.35}"
11750,"{0: 0.95, 1: 0.35, 2: 0.21, 3: 0.29, 4: 0.31}"
12000,"{0: 0.96, 1: 0.36, 2: 0.26, 3: 0.31, 4: 0.25}"
12250,"{0: 0.98, 1: 0.48, 2: 0.32, 3: 0.35, 4: 0.34}"
12500,"{0: 0.96, 1: 0.39, 2: 0.29, 3: 0.42, 4: 0.36}"
12750,"{0: 0.95, 1: 0.32, 2: 0.27, 3: 0.29, 4: 0.38}"
13000,"{0: 0.96, 1: 0.49, 2: 0.36, 3: 0.26, 4: 0.36}"
13250,"{0: 0.95, 1: 0.32, 2: 0.36, 3: 0.23, 4: 0.28}"
