total_steps,value
10,10
60,71
120,126
180,163
240,184
300,208
360,219
420,238
480,254
540,270
600,281
660,288
720,299
780,307
840,313
900,318
960,326
1020,328
1080,336
1140,336
1200,339
1260,342
1320,345
1380,348
1440,348
1500,353
1560,358
1620,358
1680,361
1740,363
1800,370
1860,370
1920,373
1980,377
2040,378
2100,380
2160,383
2220,385
2280,385
2340,387
2400,389
2460,392
2520,392
2580,394
2640,395
2700,395
2760,395
2820,395
2880,395
2940,398
3000,398
3060,399
3120,399
3180,399
3240,399
3300,401
3360,402
3420,403
3480,403
3540,403
3600,403
3660,403
3720,403
3780,404
3840,404
3900,404
3960,404
4020,406
4080,406
4140,406
4200,406
4260,406
4320,406
4380,406
4440,407
4500,407
4560,407
4620,407
4680,407
4740,407
4800,407
4860,407
4920,407
4980,407
5040,407
5100,407
5160,407
5220,407
5280,407
5340,407
5400,407
5460,407
5520,407
5580,407
5640,407
5700,407
5760,407
5820,407
5880,407
5940,407
6000,407
