steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.136,108,0
500,0.0001,0.188,141,0
750,0.0001,0.18,163,0
1000,0.0001,0.208,180,0
1250,0.0001,0.256,196,0
1500,0.0001,0.26,201,0
1750,0.0001,0.236,210,1
2000,0.0001,0.212,214,1
2250,0.0002,0.248,218,2
2500,0.0001,0.232,219,2
2750,0.0001,0.184,220,3
3000,0.0001,0.196,223,6
3250,0.0001,0.248,227,6
3500,0.0001,0.204,229,7
3750,0.0001,0.22,232,8
4000,0.0001,0.188,233,9
4250,0.0002,0.18,233,9
4500,0.0001,0.236,233,11
4750,0.0001,0.292,233,12
5000,0.0002,0.252,234,13
5250,0.0001,0.188,237,14
5500,0.0002,0.208,237,20
5750,0.0001,0.264,237,22
6000,0.0001,0.244,238,23
6250,0.0001,0.236,238,24
6500,0.0002,0.204,240,26
6750,0.0002,0.232,240,26
7000,0.0002,0.24,240,26
7250,0.0002,0.2,240,27
7500,0.0001,0.188,241,27
7750,0.0001,0.14,241,29
8000,0.0001,0.212,242,32
8250,0.0001,0.26,242,34
8500,0.0002,0.22,242,34
8750,0.0001,0.216,242,36
9000,0.0002,0.2,242,38
9250,0.0001,0.208,242,42
9500,0.0001,0.24,242,42
9750,0.0001,0.204,242,44
10000,0.0002,0.24,243,46
10250,0.0002,0.232,243,46
10500,0.0001,0.212,244,47
10750,0.0002,0.22,244,49
11000,0.0001,0.208,245,50
11250,0.0002,0.204,245,51
11500,0.0001,0.212,245,51
11750,0.0002,0.224,245,52
12000,0.0001,0.236,245,52
12250,0.0002,0.26,245,54
12500,0.0001,0.192,245,54
12750,0.0001,0.228,245,54
13000,0.0002,0.212,245,54
13250,0.0001,0.256,245,56
13500,0.0001,0.256,245,56
13750,0.0002,0.204,245,56
14000,0.0001,0.224,245,56
14250,0.0001,0.2,245,57
14500,0.0001,0.256,245,59
14750,0.0002,0.216,245,59
15000,0.0001,0.212,245,60
15250,0.0001,0.228,245,62
15500,0.0002,0.232,245,64
15750,0.0001,0.26,245,65
16000,0.0001,0.252,245,66
16250,0.0002,0.276,245,67
16500,0.0001,0.276,245,68
16750,0.0002,0.204,245,68
17000,0.0001,0.212,245,68
17250,0.0001,0.2,245,70
17500,0.0002,0.208,245,71
17750,0.0002,0.216,245,71
18000,0.0,0.328,245,71
18250,0.0001,0.196,245,71
18500,0.0002,0.184,245,71
18750,0.0001,0.204,245,71
19000,0.0002,0.168,245,71
19250,0.0002,0.216,245,71
19500,0.0001,0.236,245,71
19750,0.0002,0.188,246,71
20000,0.0001,0.252,246,72
20250,0.0001,0.204,246,72
20500,0.0001,0.156,246,72
20750,0.0001,0.212,246,73
21000,0.0001,0.192,246,73
21250,0.0001,0.196,246,73
21500,0.0001,0.272,246,73
21750,0.0001,0.224,246,73
22000,0.0001,0.26,246,73
22250,0.0001,0.208,246,73
22500,0.0001,0.24,246,73
22750,0.0002,0.236,246,74
23000,0.0001,0.184,246,74
23250,0.0001,0.184,247,74
23500,0.0001,0.212,247,74
23750,0.0001,0.2,247,74
24000,0.0001,0.208,247,74
24250,0.0002,0.256,247,75
24500,0.0001,0.188,247,75
24750,0.0001,0.204,247,75
25000,0.0001,0.224,248,75
