steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.1,103,0
500,0.0002,0.136,138,0
750,0.0002,0.236,168,0
1000,0.0001,0.18,189,0
1250,0.0002,0.26,201,0
1500,0.0002,0.212,206,1
1750,0.0001,0.268,214,1
2000,0.0001,0.208,221,1
2250,0.0002,0.304,224,3
2500,0.0002,0.292,227,4
2750,0.0001,0.312,230,4
3000,0.0001,0.2,230,4
3250,0.0001,0.244,237,4
3500,0.0002,0.244,239,5
3750,0.0003,0.244,240,8
4000,0.0002,0.284,241,8
4250,0.0002,0.24,244,10
4500,0.0003,0.248,245,10
4750,0.0002,0.276,247,10
5000,0.0001,0.304,249,10
5250,0.0002,0.32,252,11
5500,0.0002,0.296,252,11
5750,0.0002,0.216,254,12
6000,0.0002,0.216,256,13
6250,0.0002,0.232,257,14
6500,0.0002,0.228,257,15
6750,0.0002,0.276,257,15
7000,0.0002,0.212,257,17
7250,0.0001,0.256,257,19
7500,0.0001,0.224,257,21
7750,0.0001,0.208,257,22
8000,0.0002,0.236,257,22
8250,0.0001,0.204,257,22
8500,0.0002,0.356,258,23
8750,0.0001,0.276,259,25
9000,0.0002,0.284,259,26
9250,0.0001,0.272,259,28
9500,0.0002,0.256,259,29
9750,0.0002,0.232,260,30
10000,0.0002,0.212,261,30
10250,0.0002,0.192,262,30
10500,0.0002,0.272,262,30
10750,0.0002,0.228,262,31
11000,0.0001,0.232,262,34
11250,0.0001,0.268,262,36
11500,0.0001,0.2,262,39
11750,0.0002,0.22,263,41
12000,0.0001,0.196,263,44
12250,0.0001,0.216,263,45
12500,0.0002,0.22,264,47
12750,0.0002,0.224,264,49
13000,0.0002,0.184,264,51
13250,0.0001,0.24,264,51
13500,0.0001,0.2,264,53
13750,0.0002,0.272,264,53
14000,0.0001,0.248,264,53
14250,0.0002,0.228,265,54
14500,0.0002,0.224,265,54
14750,0.0002,0.2,265,55
15000,0.0002,0.228,265,56
15250,0.0002,0.268,265,56
15500,0.0001,0.276,265,57
15750,0.0002,0.244,265,57
16000,0.0002,0.216,265,59
16250,0.0001,0.2,265,61
16500,0.0003,0.2,265,61
16750,0.0002,0.212,265,61
17000,0.0002,0.264,265,62
17250,0.0001,0.216,265,64
17500,0.0002,0.148,265,66
17750,0.0001,0.216,265,68
18000,0.0001,0.264,265,68
18250,0.0001,0.272,265,68
18500,0.0001,0.252,265,69
18750,0.0001,0.236,265,69
19000,0.0001,0.208,265,69
19250,0.0002,0.22,265,70
19500,0.0002,0.224,265,70
19750,0.0002,0.232,265,72
20000,0.0002,0.208,265,72
20250,0.0001,0.224,266,73
20500,0.0002,0.2,266,73
20750,0.0001,0.22,266,73
21000,0.0001,0.188,266,73
21250,0.0002,0.264,266,73
21500,0.0002,0.252,266,73
21750,0.0001,0.224,266,74
22000,0.0002,0.2,266,75
22250,0.0002,0.208,266,76
22500,0.0002,0.244,266,76
22750,0.0001,0.208,266,76
23000,0.0002,0.184,266,76
23250,0.0002,0.212,266,77
23500,0.0002,0.26,267,77
23750,0.0002,0.232,267,77
24000,0.0001,0.24,267,77
24250,0.0001,0.276,268,77
24500,0.0002,0.212,269,77
24750,0.0002,0.284,269,77
25000,0.0002,0.224,270,77
