steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.08,106,0
500,0.0002,0.18,137,0
750,0.0001,0.192,156,0
1000,0.0001,0.168,167,0
1250,0.0002,0.22,179,1
1500,0.0001,0.192,184,2
1750,0.0001,0.228,192,3
2000,0.0001,0.34,200,4
2250,0.0001,0.22,204,5
2500,0.0002,0.208,208,7
2750,0.0002,0.204,210,8
3000,0.0001,0.2,211,9
3250,0.0001,0.144,212,10
3500,0.0002,0.272,215,10
3750,0.0002,0.216,215,11
4000,0.0001,0.236,215,12
4250,0.0002,0.216,216,13
4500,0.0001,0.22,216,13
4750,0.0002,0.168,216,16
5000,0.0002,0.248,217,16
5250,0.0002,0.184,219,18
5500,0.0001,0.228,223,18
5750,0.0001,0.252,226,19
6000,0.0002,0.232,229,19
6250,0.0001,0.208,229,20
6500,0.0002,0.18,229,22
6750,0.0001,0.172,230,23
7000,0.0002,0.196,230,24
7250,0.0001,0.256,230,25
7500,0.0001,0.188,230,26
7750,0.0001,0.16,230,28
8000,0.0001,0.212,230,28
8250,0.0001,0.236,230,29
8500,0.0001,0.232,230,30
8750,0.0001,0.188,231,33
9000,0.0001,0.168,232,35
9250,0.0002,0.232,234,38
9500,0.0002,0.208,235,39
9750,0.0,0.22,235,41
10000,0.0002,0.144,236,45
10250,0.0002,0.232,236,45
10500,0.0001,0.224,236,46
10750,0.0001,0.22,236,47
11000,0.0001,0.184,238,47
11250,0.0001,0.236,239,48
11500,0.0001,0.236,239,49
11750,0.0001,0.224,239,50
12000,0.0002,0.224,239,51
12250,0.0001,0.228,239,52
12500,0.0001,0.224,239,54
12750,0.0001,0.16,239,56
13000,0.0001,0.18,239,57
13250,0.0001,0.208,239,58
13500,0.0001,0.172,239,58
13750,0.0001,0.184,239,59
14000,0.0001,0.2,239,63
14250,0.0001,0.212,239,65
14500,0.0001,0.216,240,68
14750,0.0001,0.204,240,68
15000,0.0001,0.184,241,68
15250,0.0001,0.204,241,68
15500,0.0001,0.216,242,69
15750,0.0001,0.196,242,70
16000,0.0001,0.192,242,70
16250,0.0002,0.224,242,70
16500,0.0001,0.212,242,70
16750,0.0001,0.192,242,72
17000,0.0002,0.212,242,73
17250,0.0001,0.168,242,73
17500,0.0002,0.136,242,75
17750,0.0002,0.18,242,76
18000,0.0002,0.164,242,78
18250,0.0002,0.16,242,78
18500,0.0001,0.196,242,78
18750,0.0001,0.248,242,79
19000,0.0001,0.212,242,79
19250,0.0002,0.192,242,79
19500,0.0001,0.232,242,79
19750,0.0002,0.22,242,79
20000,0.0002,0.22,242,79
20250,0.0001,0.228,242,79
20500,0.0001,0.212,242,80
20750,0.0001,0.192,242,80
21000,0.0001,0.244,242,80
21250,0.0001,0.168,242,81
21500,0.0001,0.212,242,81
21750,0.0001,0.204,242,81
22000,0.0002,0.18,242,81
22250,0.0001,0.136,242,81
22500,0.0001,0.152,242,81
22750,0.0002,0.176,242,82
23000,0.0001,0.256,242,82
23250,0.0002,0.212,242,82
23500,0.0001,0.164,243,82
23750,0.0001,0.2,243,82
24000,0.0001,0.216,243,82
24250,0.0001,0.184,243,83
24500,0.0001,0.208,243,83
24750,0.0001,0.212,243,83
25000,0.0001,0.208,243,83
