steps,time_per_step,pred_success,nodes,filtered_nodes
500,0.0002,0.5965,374,0
1000,0.0002,0.5787,463,1
1500,0.0002,0.6453,518,4
2000,0.0003,0.6038,565,8
2500,0.0002,0.6523,601,8
3000,0.0003,0.7188,625,12
3500,0.0003,0.6925,658,16
4000,0.0002,0.7124,693,22
4500,0.0003,0.6785,719,25
5000,0.0003,0.6642,744,29
5500,0.0003,0.6988,768,36
6000,0.0003,0.7194,793,38
6500,0.0003,0.6981,818,43
7000,0.0003,0.7205,840,48
7500,0.0003,0.7039,858,54
8000,0.0003,0.703,870,57
8500,0.0004,0.7204,892,62
9000,0.0005,0.6878,913,67
9500,0.0005,0.7048,932,73
10000,0.0005,0.713,950,78
10500,0.0006,0.6909,963,82
11000,0.0006,0.696,979,84
11500,0.0005,0.6627,991,87
12000,0.0003,0.7203,1016,89
12500,0.0003,0.7165,1026,94
13000,0.0003,0.6951,1042,98
13500,0.0003,0.727,1063,100
14000,0.0003,0.7273,1075,105
14500,0.0003,0.7128,1085,111
15000,0.0003,0.722,1094,115
15500,0.0003,0.7431,1105,121
16000,0.0003,0.7491,1113,129
16500,0.0003,0.7258,1123,138
17000,0.0004,0.7036,1127,143
17500,0.0004,0.7135,1131,149
18000,0.0004,0.714,1139,153
18500,0.0004,0.7135,1146,157
19000,0.0003,0.7491,1156,162
19500,0.0003,0.7332,1162,166
20000,0.0003,0.715,1169,170
20500,0.0003,0.7111,1176,172
21000,0.0003,0.7021,1186,175
21500,0.0003,0.713,1194,178
22000,0.0003,0.7414,1202,180
22500,0.0004,0.7331,1212,180
23000,0.0006,0.717,1220,182
23500,0.0007,0.7075,1225,187
24000,0.0006,0.7145,1230,188
24500,0.0007,0.7363,1235,190
25000,0.0006,0.7482,1239,192
25500,0.0003,0.7231,1242,192
26000,0.0003,0.7563,1246,193
26500,0.0003,0.719,1251,195
27000,0.0003,0.7081,1256,197
27500,0.0003,0.7496,1259,198
28000,0.0004,0.7003,1264,202
28500,0.0003,0.7331,1270,204
29000,0.0004,0.7244,1273,205
29500,0.0004,0.7354,1273,209
30000,0.0003,0.7308,1278,209
30500,0.0003,0.7288,1282,211
31000,0.0003,0.7208,1286,211
31500,0.0003,0.7358,1287,211
32000,0.0003,0.7214,1289,212
32500,0.0004,0.7192,1293,213
33000,0.0003,0.7293,1297,216
33500,0.0003,0.7244,1297,219
34000,0.0003,0.6957,1298,219
34500,0.0003,0.7449,1303,219
35000,0.0004,0.7478,1307,219
35500,0.0004,0.754,1309,220
36000,0.0005,0.747,1314,223
36500,0.0006,0.7189,1317,225
37000,0.0006,0.7067,1317,226
37500,0.0006,0.699,1319,227
38000,0.0006,0.7513,1321,229
38500,0.0005,0.7358,1324,230
39000,0.0004,0.7426,1329,231
39500,0.0004,0.7256,1330,232
40000,0.0004,0.7299,1333,233
40500,0.0004,0.7277,1336,234
41000,0.0004,0.7203,1338,234
41500,0.0004,0.7206,1342,234
42000,0.0004,0.7478,1343,235
42500,0.0003,0.7612,1343,238
43000,0.0004,0.7181,1344,239
43500,0.0005,0.7424,1348,240
44000,0.0004,0.6896,1348,241
44500,0.0003,0.7424,1348,246
45000,0.0004,0.7348,1348,246
45500,0.0003,0.7387,1350,248
46000,0.0004,0.7196,1352,249
46500,0.0004,0.7433,1355,249
47000,0.0004,0.7107,1355,250
47500,0.0004,0.7391,1358,251
48000,0.0004,0.7445,1359,251
48500,0.0005,0.7591,1362,252
49000,0.0006,0.7402,1364,254
49500,0.0006,0.6997,1367,256
50000,0.0006,0.727,1367,256
