steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2002,0.0001,0.6055,359,0
4001,0.0001,0.6053,427,0
6001,0.0001,0.649,465,12
8001,0.0001,0.6642,508,22
10000,0.0001,0.6764,549,30
12002,0.0001,0.6943,581,42
14000,0.0001,0.6646,606,53
16001,0.0001,0.7025,628,56
18000,0.0002,0.697,652,64
20002,0.0002,0.7126,673,71
22001,0.0002,0.6809,696,86
24000,0.0002,0.7246,710,99
26000,0.0001,0.7371,728,114
28001,0.0001,0.7365,746,123
30001,0.0001,0.7023,754,133
32000,0.0001,0.7201,771,140
34001,0.0001,0.7156,779,146
36001,0.0001,0.7141,801,151
38001,0.0001,0.7084,813,152
40002,0.0001,0.7223,827,153
42000,0.0001,0.7205,837,154
44001,0.0001,0.7359,850,155
46002,0.0001,0.729,859,155
48001,0.0002,0.7147,878,158
50001,0.0001,0.7229,893,158
52001,0.0001,0.7216,902,160
54002,0.0001,0.7166,911,160
56001,0.0002,0.7158,920,163
58000,0.0001,0.7278,935,164
60001,0.0002,0.7274,938,166
62001,0.0001,0.7147,944,167
64000,0.0002,0.7193,947,168
66001,0.0002,0.7369,950,170
68000,0.0002,0.7031,954,170
70002,0.0002,0.7241,961,171
72001,0.0002,0.7198,963,175
74001,0.0002,0.7249,966,176
76002,0.0001,0.731,976,178
78002,0.0002,0.7236,985,179
80001,0.0002,0.7142,989,183
82000,0.0002,0.7357,992,185
84000,0.0001,0.711,995,186
86000,0.0002,0.7283,997,186
88000,0.0001,0.6981,1000,186
90000,0.0002,0.7316,1005,188
92001,0.0001,0.7171,1005,191
94002,0.0002,0.7225,1007,191
96002,0.0001,0.7157,1012,195
98000,0.0001,0.7162,1015,196
100001,0.0002,0.7237,1018,197
102000,0.0001,0.7291,1019,199
104001,0.0001,0.7377,1022,202
106002,0.0002,0.7108,1023,204
108000,0.0002,0.692,1028,207
110000,0.0002,0.7436,1030,209
112001,0.0002,0.7444,1033,212
114000,0.0003,0.6908,1035,213
116001,0.0003,0.7318,1036,215
118001,0.0002,0.7264,1039,215
120001,0.0002,0.729,1041,216
122000,0.0002,0.7251,1044,219
124001,0.0002,0.7399,1048,221
126002,0.0002,0.7109,1049,224
128001,0.0001,0.7353,1050,227
130001,0.0002,0.7235,1051,231
132002,0.0001,0.7175,1054,231
134002,0.0002,0.7128,1057,233
136000,0.0001,0.7279,1059,235
138000,0.0002,0.736,1059,236
140002,0.0001,0.7334,1060,238
142000,0.0002,0.7232,1060,240
144001,0.0001,0.7211,1060,241
146001,0.0002,0.724,1060,244
148002,0.0002,0.7212,1062,246
150001,0.0002,0.7268,1064,248
152000,0.0002,0.7062,1066,251
154001,0.0002,0.7426,1068,252
156000,0.0001,0.736,1069,253
158000,0.0002,0.7523,1073,256
160001,0.0003,0.6977,1074,257
162000,0.0003,0.7314,1075,259
164002,0.0002,0.7302,1075,259
166000,0.0002,0.7505,1075,262
168002,0.0002,0.7222,1075,264
170001,0.0002,0.719,1078,268
172002,0.0002,0.7547,1078,269
174000,0.0002,0.745,1079,271
176001,0.0002,0.7425,1079,272
178000,0.0002,0.719,1079,274
180000,0.0002,0.7619,1080,275
182002,0.0002,0.7288,1080,276
184000,0.0002,0.747,1080,277
186001,0.0002,0.7337,1081,280
188001,0.0002,0.7655,1081,283
190000,0.0002,0.7224,1083,285
192001,0.0002,0.7262,1084,285
194000,0.0002,0.7341,1085,288
196000,0.0002,0.7209,1085,293
198000,0.0002,0.7319,1087,295
200002,0.0002,0.7472,1088,299
