steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2002,0.0001,0.4625,207,5
4000,0.0001,0.4619,234,23
6000,0.0001,0.4471,266,31
8000,0.0002,0.4415,302,42
10000,0.0002,0.4353,338,46
12002,0.0002,0.4335,376,57
14000,0.0002,0.4374,404,66
16000,0.0002,0.4433,434,73
18000,0.0002,0.4387,469,77
20001,0.0002,0.4267,502,84
22001,0.0002,0.4293,530,92
24000,0.0002,0.4204,554,97
26001,0.0002,0.4234,579,102
28000,0.0002,0.432,597,108
30001,0.0002,0.4383,614,115
32002,0.0002,0.4234,634,120
34000,0.0002,0.4323,656,125
36001,0.0003,0.4299,672,131
38000,0.0003,0.425,685,138
40000,0.0002,0.4434,693,141
42001,0.0002,0.4311,699,145
44001,0.0002,0.4372,709,149
46000,0.0002,0.4436,715,160
48001,0.0002,0.4302,722,167
50001,0.0002,0.4325,728,171
52001,0.0002,0.4395,731,179
54000,0.0002,0.4338,733,185
56000,0.0002,0.4251,737,191
58002,0.0002,0.4307,743,197
60002,0.0002,0.4441,745,203
62002,0.0002,0.4442,747,211
64000,0.0002,0.4324,748,215
66000,0.0002,0.4411,751,222
68001,0.0002,0.4395,752,227
70002,0.0002,0.4345,754,235
72002,0.0002,0.4271,755,240
74000,0.0002,0.4328,756,243
76000,0.0002,0.4288,758,249
78000,0.0003,0.4317,759,253
80002,0.0003,0.4372,760,256
82000,0.0003,0.433,761,262
84000,0.0002,0.427,763,264
86002,0.0002,0.428,765,266
88002,0.0002,0.4396,766,268
90001,0.0002,0.4438,767,273
92002,0.0002,0.4429,767,275
94002,0.0002,0.4425,769,279
96002,0.0002,0.4372,770,280
98000,0.0002,0.4392,770,282
100002,0.0002,0.4326,770,285
102001,0.0002,0.4337,770,288
104000,0.0002,0.4387,770,289
106002,0.0002,0.4409,771,294
108002,0.0002,0.4302,771,297
110002,0.0002,0.4305,771,298
112002,0.0002,0.4296,771,301
114001,0.0002,0.4447,772,303
116001,0.0002,0.4369,772,306
118001,0.0002,0.4302,772,307
120002,0.0003,0.4327,772,309
122000,0.0003,0.4214,773,311
124000,0.0002,0.4236,773,313
126001,0.0002,0.4365,773,314
128000,0.0002,0.4342,773,316
130000,0.0002,0.4358,773,317
132002,0.0002,0.4372,773,319
134000,0.0002,0.4345,773,320
136000,0.0002,0.4349,774,321
138001,0.0002,0.4312,775,323
140002,0.0002,0.4379,776,325
142000,0.0002,0.4332,777,326
144001,0.0002,0.4288,779,327
146002,0.0002,0.4358,779,329
148000,0.0002,0.4298,779,330
150001,0.0002,0.4388,779,330
152000,0.0002,0.4409,779,331
154000,0.0002,0.4318,779,332
156002,0.0002,0.4468,779,333
158000,0.0002,0.4392,779,333
160002,0.0002,0.4397,779,334
162001,0.0003,0.4352,779,335
164000,0.0003,0.4411,779,335
166002,0.0002,0.4376,779,335
168002,0.0002,0.4441,779,336
170000,0.0002,0.4332,779,336
172002,0.0002,0.4373,779,336
174002,0.0002,0.4344,779,336
176002,0.0002,0.437,779,336
178000,0.0002,0.4377,779,336
180000,0.0002,0.4356,779,336
182002,0.0002,0.4427,779,336
184001,0.0002,0.4304,779,337
186002,0.0002,0.4457,779,337
188000,0.0002,0.4371,779,339
190001,0.0002,0.441,779,339
192002,0.0002,0.4391,779,339
194001,0.0002,0.4281,779,339
196001,0.0002,0.4343,779,339
198001,0.0002,0.4423,779,339
200002,0.0002,0.4295,779,339
