steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2002,0.0001,0.5376,404,0
4001,0.0001,0.5204,531,1
6000,0.0001,0.5285,610,19
8001,0.0001,0.5134,690,31
10001,0.0001,0.5055,745,43
12001,0.0001,0.5066,803,53
14000,0.0002,0.5164,838,58
16000,0.0002,0.5265,865,68
18000,0.0002,0.5109,902,83
20000,0.0002,0.5063,929,94
22000,0.0002,0.5188,951,113
24001,0.0002,0.5102,986,128
26000,0.0002,0.5234,1004,138
28001,0.0002,0.5085,1021,147
30001,0.0002,0.5134,1032,152
32001,0.0002,0.5349,1044,154
34001,0.0002,0.5049,1049,155
36001,0.0002,0.5099,1059,155
38001,0.0002,0.5185,1064,155
40000,0.0002,0.5077,1071,157
42000,0.0003,0.5165,1075,158
44000,0.0003,0.5091,1081,159
46002,0.0003,0.5114,1087,162
48000,0.0002,0.5137,1092,163
50001,0.0002,0.508,1093,164
52000,0.0002,0.5196,1095,164
54001,0.0002,0.5167,1096,165
56000,0.0002,0.5275,1098,170
58000,0.0002,0.5015,1098,172
60002,0.0002,0.5135,1100,173
62001,0.0002,0.5271,1101,176
64000,0.0002,0.5223,1101,178
66000,0.0002,0.5059,1104,179
68000,0.0002,0.5055,1104,182
70000,0.0002,0.514,1104,186
72000,0.0002,0.5159,1104,188
74000,0.0002,0.5172,1105,190
76000,0.0002,0.5171,1105,193
78000,0.0002,0.4949,1106,196
80000,0.0002,0.5039,1106,197
82001,0.0002,0.5103,1106,200
84000,0.0002,0.5177,1107,201
86001,0.0003,0.5087,1107,204
88001,0.0003,0.5148,1107,207
90001,0.0002,0.5075,1107,208
92002,0.0002,0.5036,1108,211
94000,0.0002,0.5168,1108,218
96001,0.0002,0.5098,1108,219
98001,0.0002,0.5119,1109,219
100000,0.0002,0.5145,1109,221
102001,0.0002,0.5156,1109,223
104002,0.0002,0.5187,1109,224
106001,0.0002,0.4923,1109,227
108001,0.0002,0.5197,1109,228
110000,0.0002,0.4969,1109,230
112001,0.0002,0.5103,1109,231
114001,0.0002,0.524,1109,234
116002,0.0002,0.5195,1110,235
118002,0.0002,0.5034,1111,236
120000,0.0002,0.5118,1111,239
122001,0.0002,0.5132,1111,240
124002,0.0002,0.5077,1111,242
126001,0.0002,0.5224,1111,246
128001,0.0002,0.507,1111,252
130001,0.0003,0.5097,1111,253
132002,0.0003,0.5133,1111,255
134002,0.0002,0.5216,1111,255
136002,0.0002,0.5173,1111,257
138000,0.0002,0.5069,1112,261
140001,0.0002,0.5247,1112,263
142001,0.0002,0.5044,1112,271
144001,0.0002,0.5215,1112,274
146000,0.0002,0.5181,1112,276
148001,0.0002,0.5203,1112,279
150000,0.0002,0.509,1112,281
152000,0.0002,0.4987,1112,288
154002,0.0002,0.5233,1112,292
156000,0.0002,0.5105,1112,297
158001,0.0002,0.5068,1112,302
160000,0.0002,0.5239,1112,306
162000,0.0002,0.5181,1112,310
164000,0.0002,0.5132,1112,314
166001,0.0002,0.5087,1112,319
168001,0.0002,0.5191,1112,322
170001,0.0002,0.5087,1112,326
172000,0.0003,0.5054,1112,329
174000,0.0003,0.5053,1112,334
176000,0.0002,0.5089,1112,339
178000,0.0002,0.535,1112,344
180002,0.0002,0.5095,1112,347
182002,0.0002,0.5005,1112,353
184000,0.0002,0.5246,1112,357
186001,0.0002,0.5283,1112,365
188001,0.0002,0.5187,1112,372
190002,0.0002,0.5111,1112,374
192000,0.0002,0.5275,1112,384
194001,0.0002,0.5054,1112,389
196002,0.0002,0.5171,1112,392
198000,0.0002,0.5033,1112,397
200001,0.0002,0.516,1112,403
