total_steps,0,1,2,3
1000,0.92,0.38,0.37,0.32
2000,0.92,0.32,0.27,0.25
3000,0.97,0.43,0.3,0.32
4000,0.96,0.29,0.26,0.28
5000,0.97,0.33,0.22,0.23
6000,0.96,0.32,0.3,0.21
7000,0.9,0.37,0.26,0.31
8000,0.97,0.39,0.24,0.16
9000,0.95,0.36,0.36,0.24
10000,0.88,0.4,0.24,0.17
11000,0.95,0.33,0.28,0.22
12000,0.93,0.32,0.31,0.24
13000,0.95,0.4,0.29,0.22
14000,0.93,0.45,0.26,0.23
15000,0.99,0.42,0.2,0.21
16000,0.95,0.38,0.29,0.21
17000,0.89,0.42,0.28,0.25
18000,0.91,0.39,0.26,0.24
19000,0.93,0.44,0.27,0.18
20000,0.96,0.38,0.3,0.18
21000,0.92,0.34,0.3,0.24
22000,0.95,0.46,0.19,0.26
23000,0.97,0.39,0.25,0.16
24000,0.95,0.35,0.23,0.26
25000,0.98,0.42,0.24,0.27
26000,0.93,0.35,0.26,0.25
27000,0.92,0.31,0.32,0.28
28000,0.94,0.46,0.29,0.14
29000,0.96,0.44,0.22,0.25
30000,0.98,0.31,0.28,0.21
31000,0.97,0.37,0.27,0.29
32000,0.97,0.43,0.27,0.19
33000,0.96,0.37,0.3,0.25
34000,0.96,0.47,0.27,0.22
35000,0.95,0.41,0.21,0.29
36000,0.91,0.42,0.3,0.25
37000,0.94,0.51,0.22,0.16
38000,0.96,0.41,0.21,0.25
39000,0.99,0.39,0.28,0.19
40000,0.93,0.32,0.25,0.28
41000,0.93,0.45,0.24,0.19
42000,0.93,0.34,0.24,0.22
43000,0.95,0.4,0.2,0.25
44000,0.88,0.38,0.22,0.18
45000,0.93,0.4,0.36,0.17
46000,0.92,0.37,0.17,0.2
47000,0.97,0.38,0.37,0.18
48000,0.96,0.48,0.29,0.19
49000,0.94,0.39,0.27,0.2
50000,0.91,0.43,0.27,0.23
51000,0.89,0.38,0.29,0.23
52000,0.93,0.49,0.24,0.26
53000,0.94,0.29,0.27,0.22
54000,0.97,0.42,0.24,0.15
55000,0.92,0.29,0.24,0.23
56000,0.96,0.44,0.32,0.18
57000,0.92,0.45,0.2,0.2
58000,0.96,0.4,0.3,0.26
59000,0.92,0.32,0.23,0.2
60000,0.95,0.47,0.32,0.28
61000,0.97,0.39,0.29,0.18
62000,0.93,0.35,0.25,0.21
63000,0.97,0.37,0.26,0.16
64000,0.92,0.3,0.42,0.23
65000,0.96,0.4,0.27,0.18
66000,0.94,0.49,0.25,0.19
67000,0.97,0.51,0.26,0.29
68000,0.97,0.41,0.24,0.18
69000,0.93,0.36,0.23,0.21
70000,0.93,0.39,0.34,0.23
71000,0.93,0.34,0.3,0.21
72000,0.91,0.43,0.23,0.21
73000,0.94,0.46,0.25,0.22
74000,0.99,0.38,0.29,0.23
75000,0.95,0.37,0.33,0.13
76000,0.94,0.43,0.31,0.21
77000,0.94,0.36,0.26,0.22
78000,0.91,0.32,0.25,0.2
79000,0.92,0.37,0.25,0.22
80000,0.91,0.43,0.28,0.09
81000,0.96,0.43,0.34,0.23
82000,0.95,0.49,0.26,0.22
83000,0.95,0.29,0.32,0.17
84000,0.92,0.42,0.29,0.2
85000,0.94,0.44,0.25,0.24
86000,0.94,0.33,0.26,0.2
87000,0.94,0.35,0.33,0.22
88000,0.97,0.44,0.22,0.23
89000,0.99,0.38,0.31,0.24
90000,0.96,0.4,0.26,0.18
91000,0.91,0.29,0.24,0.23
92000,0.94,0.36,0.26,0.24
93000,0.94,0.34,0.27,0.21
94000,0.91,0.32,0.26,0.27
95000,0.96,0.47,0.25,0.3
96000,0.94,0.37,0.29,0.23
97000,0.95,0.4,0.29,0.21
98000,0.92,0.26,0.27,0.17
99000,0.97,0.34,0.23,0.21
100000,0.95,0.37,0.26,0.22
