total_steps,0,1,2,3
1000,0.93,0.35,0.32,0.31
2000,0.94,0.37,0.24,0.23
3000,0.93,0.43,0.28,0.27
4000,0.92,0.35,0.29,0.34
5000,0.98,0.39,0.22,0.21
6000,0.95,0.38,0.25,0.33
7000,0.91,0.27,0.28,0.12
8000,0.93,0.36,0.23,0.25
9000,0.94,0.38,0.27,0.27
10000,0.96,0.41,0.2,0.26
11000,0.95,0.37,0.21,0.27
12000,0.96,0.42,0.26,0.22
13000,0.95,0.38,0.18,0.21
14000,0.93,0.41,0.26,0.24
15000,0.95,0.36,0.25,0.2
16000,0.94,0.44,0.22,0.16
17000,0.98,0.47,0.27,0.18
18000,0.94,0.34,0.32,0.22
19000,0.94,0.4,0.27,0.21
20000,0.93,0.38,0.22,0.18
21000,0.94,0.38,0.23,0.24
22000,0.95,0.32,0.18,0.27
23000,0.93,0.43,0.24,0.21
24000,0.94,0.54,0.23,0.21
25000,0.88,0.44,0.25,0.25
26000,0.94,0.43,0.16,0.21
27000,0.97,0.41,0.27,0.2
28000,0.96,0.41,0.27,0.2
29000,0.94,0.42,0.26,0.21
30000,0.96,0.43,0.27,0.22
31000,0.96,0.4,0.28,0.21
32000,0.96,0.36,0.29,0.21
33000,0.92,0.32,0.41,0.22
34000,0.96,0.37,0.25,0.21
35000,0.92,0.35,0.31,0.29
36000,0.96,0.37,0.22,0.18
37000,0.91,0.32,0.25,0.24
38000,0.96,0.35,0.23,0.31
39000,0.95,0.44,0.29,0.25
40000,0.97,0.38,0.24,0.23
41000,0.96,0.44,0.26,0.17
42000,0.92,0.44,0.22,0.22
43000,0.95,0.37,0.27,0.18
44000,0.94,0.41,0.28,0.2
45000,0.97,0.37,0.36,0.18
46000,0.96,0.44,0.4,0.17
47000,0.97,0.36,0.31,0.18
48000,0.91,0.4,0.26,0.2
49000,0.9,0.38,0.3,0.2
50000,0.94,0.33,0.27,0.12
51000,0.94,0.46,0.26,0.25
52000,0.96,0.39,0.23,0.11
53000,0.92,0.4,0.22,0.24
54000,0.94,0.33,0.33,0.19
55000,0.93,0.4,0.29,0.18
56000,0.99,0.35,0.21,0.23
57000,0.93,0.37,0.2,0.21
58000,0.95,0.46,0.22,0.19
59000,0.97,0.38,0.19,0.25
60000,0.93,0.4,0.27,0.17
61000,0.96,0.41,0.24,0.12
62000,0.95,0.41,0.24,0.14
63000,0.97,0.49,0.26,0.17
64000,0.94,0.29,0.25,0.15
65000,0.94,0.37,0.26,0.23
66000,0.95,0.37,0.31,0.15
67000,0.96,0.36,0.26,0.29
68000,0.98,0.51,0.26,0.18
69000,0.97,0.2,0.33,0.15
70000,0.94,0.29,0.23,0.24
71000,0.95,0.34,0.3,0.22
72000,0.91,0.43,0.22,0.18
73000,0.93,0.44,0.26,0.21
74000,0.95,0.4,0.2,0.21
75000,0.91,0.39,0.26,0.22
76000,0.95,0.33,0.22,0.2
77000,0.93,0.37,0.26,0.2
78000,0.96,0.53,0.25,0.2
79000,0.92,0.37,0.32,0.17
80000,0.94,0.38,0.23,0.21
81000,0.91,0.36,0.29,0.14
82000,0.93,0.45,0.2,0.26
83000,0.91,0.44,0.3,0.2
84000,0.94,0.38,0.27,0.22
85000,0.97,0.39,0.18,0.18
86000,0.94,0.4,0.24,0.19
87000,0.97,0.33,0.23,0.14
88000,0.94,0.36,0.23,0.18
89000,0.94,0.37,0.36,0.24
90000,0.9,0.33,0.24,0.27
91000,0.95,0.35,0.24,0.15
92000,0.9,0.31,0.35,0.26
93000,0.93,0.43,0.34,0.24
94000,0.93,0.4,0.32,0.26
95000,0.93,0.31,0.3,0.16
96000,0.93,0.4,0.26,0.19
97000,0.96,0.4,0.3,0.22
98000,0.99,0.44,0.32,0.19
99000,0.98,0.46,0.29,0.2
100000,0.97,0.43,0.3,0.2
