total_steps,0,1,2,3
500,0.96,0.4,0.37,0.32
1000,0.93,0.43,0.33,0.32
1500,0.96,0.32,0.19,0.25
2000,0.91,0.35,0.34,0.33
2500,0.93,0.47,0.34,0.34
3000,0.9,0.34,0.26,0.34
3500,0.94,0.44,0.26,0.22
4000,0.92,0.44,0.29,0.29
4500,0.97,0.41,0.23,0.29
5000,0.92,0.32,0.22,0.24
5500,0.99,0.33,0.21,0.23
6000,0.98,0.41,0.28,0.34
6500,0.93,0.47,0.21,0.26
7000,0.95,0.38,0.33,0.16
7500,0.94,0.28,0.28,0.23
8000,0.94,0.29,0.26,0.28
8500,0.92,0.38,0.26,0.27
9000,0.96,0.42,0.18,0.28
9500,0.92,0.34,0.22,0.22
10000,0.93,0.33,0.19,0.26
10500,0.92,0.33,0.23,0.17
11000,0.99,0.31,0.18,0.21
11500,0.93,0.42,0.18,0.17
12000,0.94,0.34,0.18,0.28
12500,0.92,0.39,0.2,0.29
13000,0.92,0.4,0.27,0.2
13500,0.95,0.4,0.31,0.17
14000,0.93,0.42,0.19,0.25
14500,0.97,0.31,0.3,0.23
15000,0.96,0.45,0.24,0.31
15500,0.94,0.4,0.28,0.23
16000,0.92,0.4,0.25,0.23
16500,0.94,0.31,0.15,0.25
17000,0.95,0.4,0.23,0.19
17500,0.92,0.45,0.22,0.22
18000,0.93,0.39,0.22,0.2
18500,0.95,0.38,0.31,0.25
19000,0.91,0.4,0.3,0.21
19500,0.96,0.32,0.26,0.19
20000,0.93,0.39,0.2,0.13
20500,0.93,0.41,0.33,0.2
21000,0.97,0.45,0.25,0.21
21500,0.96,0.38,0.25,0.22
22000,0.94,0.29,0.18,0.28
22500,0.96,0.32,0.34,0.2
23000,0.98,0.39,0.25,0.3
23500,0.97,0.4,0.33,0.18
24000,0.97,0.42,0.21,0.24
24500,0.93,0.43,0.34,0.35
25000,0.96,0.46,0.17,0.2
25500,0.96,0.36,0.19,0.28
26000,0.94,0.32,0.25,0.24
26500,0.95,0.32,0.25,0.18
27000,0.94,0.39,0.17,0.19
27500,0.96,0.43,0.34,0.2
28000,0.98,0.35,0.27,0.23
28500,0.96,0.45,0.33,0.24
29000,0.95,0.4,0.24,0.14
29500,0.96,0.4,0.28,0.24
30000,0.95,0.34,0.32,0.2
30500,0.92,0.43,0.22,0.21
31000,0.9,0.36,0.29,0.26
31500,0.94,0.4,0.29,0.3
32000,0.94,0.3,0.31,0.26
32500,0.93,0.39,0.29,0.28
33000,0.95,0.39,0.21,0.21
33500,0.9,0.4,0.26,0.23
34000,0.91,0.41,0.26,0.22
34500,0.96,0.26,0.32,0.26
35000,0.96,0.44,0.23,0.22
35500,0.96,0.37,0.26,0.26
36000,0.93,0.39,0.31,0.21
36500,0.9,0.43,0.34,0.22
37000,0.93,0.31,0.28,0.26
37500,0.96,0.37,0.22,0.28
38000,0.96,0.41,0.28,0.24
38500,0.94,0.45,0.25,0.17
39000,0.92,0.42,0.24,0.2
39500,0.89,0.41,0.2,0.16
40000,0.97,0.36,0.28,0.22
40500,0.92,0.35,0.29,0.23
41000,0.94,0.3,0.24,0.18
41500,0.97,0.33,0.15,0.18
42000,0.92,0.37,0.27,0.23
42500,0.92,0.32,0.24,0.2
43000,0.98,0.35,0.21,0.22
43500,0.94,0.4,0.26,0.14
44000,0.97,0.39,0.24,0.17
44500,0.9,0.35,0.36,0.33
45000,0.92,0.4,0.22,0.2
45500,1.0,0.46,0.29,0.26
46000,0.95,0.46,0.31,0.2
46500,0.95,0.42,0.26,0.19
47000,0.94,0.4,0.27,0.2
47500,0.93,0.39,0.17,0.22
48000,0.9,0.45,0.25,0.21
48500,0.98,0.36,0.28,0.3
49000,0.95,0.36,0.27,0.19
49500,0.92,0.34,0.22,0.2
50000,0.95,0.36,0.3,0.17
