total_steps,value
10,16
5000,1199
10000,1618
15000,1799
20000,1949
25000,2035
30000,2114
35000,2169
40000,2223
45000,2276
50000,2309
55000,2348
60000,2378
65000,2407
70000,2437
75000,2458
80000,2475
85000,2489
90000,2502
95000,2520
100000,2534
105000,2541
110000,2550
115000,2567
120000,2579
125000,2590
130000,2596
135000,2607
140000,2614
145000,2621
150000,2634
155000,2642
160000,2648
165000,2657
170000,2666
175000,2670
180000,2670
185000,2674
190000,2681
195000,2684
200000,2687
205000,2694
210000,2702
215000,2706
220000,2712
225000,2714
230000,2718
235000,2724
240000,2728
245000,2732
250000,2738
255000,2745
260000,2751
265000,2754
270000,2757
275000,2760
280000,2761
285000,2763
290000,2768
295000,2771
300000,2773
305000,2775
310000,2776
315000,2779
320000,2781
325000,2784
330000,2789
335000,2790
340000,2792
345000,2794
350000,2796
355000,2801
360000,2802
365000,2805
370000,2808
375000,2810
380000,2814
385000,2818
390000,2820
395000,2825
400000,2825
405000,2826
410000,2832
415000,2835
420000,2837
425000,2839
430000,2843
435000,2845
440000,2847
445000,2848
450000,2849
455000,2852
460000,2853
465000,2857
470000,2861
475000,2863
480000,2865
485000,2869
490000,2870
495000,2870
500000,2876
