total_steps,0,1,2,3
1000,0.96,0.46,0.43,0.43
2000,0.94,0.45,0.42,0.39
3000,0.92,0.37,0.3,0.36
4000,0.95,0.36,0.4,0.36
5000,0.97,0.46,0.34,0.28
6000,0.93,0.35,0.33,0.29
7000,0.93,0.49,0.42,0.3
8000,0.96,0.44,0.35,0.32
9000,0.92,0.45,0.36,0.32
10000,0.91,0.33,0.42,0.31
11000,0.97,0.46,0.28,0.34
12000,0.95,0.33,0.29,0.34
13000,0.95,0.37,0.38,0.3
14000,0.98,0.44,0.4,0.31
15000,0.95,0.45,0.3,0.36
16000,0.9,0.49,0.34,0.29
17000,0.87,0.43,0.32,0.3
18000,0.98,0.4,0.33,0.29
19000,0.96,0.41,0.34,0.31
20000,0.93,0.43,0.25,0.21
21000,0.97,0.41,0.27,0.45
22000,0.96,0.5,0.36,0.28
23000,0.92,0.39,0.34,0.29
24000,0.96,0.46,0.31,0.31
25000,0.92,0.42,0.22,0.36
26000,0.97,0.44,0.28,0.31
27000,0.93,0.41,0.22,0.33
28000,0.94,0.43,0.25,0.32
29000,0.94,0.43,0.33,0.26
30000,0.98,0.41,0.29,0.34
31000,0.93,0.5,0.32,0.23
32000,0.94,0.48,0.31,0.34
33000,0.98,0.45,0.24,0.3
34000,0.95,0.41,0.29,0.32
35000,0.94,0.47,0.23,0.29
36000,0.95,0.51,0.31,0.34
37000,0.97,0.51,0.3,0.41
38000,0.95,0.48,0.3,0.31
39000,0.94,0.47,0.27,0.27
40000,0.92,0.52,0.32,0.19
41000,0.97,0.41,0.32,0.29
42000,0.94,0.42,0.31,0.39
43000,0.94,0.4,0.24,0.3
44000,0.98,0.38,0.26,0.3
45000,0.96,0.4,0.25,0.35
46000,0.99,0.53,0.29,0.31
47000,0.95,0.5,0.36,0.26
48000,0.92,0.45,0.27,0.33
49000,0.93,0.39,0.37,0.2
50000,0.93,0.4,0.28,0.29
51000,0.93,0.42,0.34,0.28
52000,0.89,0.47,0.33,0.33
53000,0.97,0.44,0.21,0.27
54000,0.95,0.54,0.22,0.4
55000,0.98,0.43,0.32,0.27
56000,0.95,0.37,0.24,0.27
57000,0.95,0.45,0.22,0.31
58000,0.98,0.39,0.27,0.36
59000,0.99,0.49,0.33,0.27
60000,0.93,0.52,0.32,0.26
61000,0.95,0.51,0.23,0.3
62000,0.95,0.42,0.27,0.24
63000,0.94,0.33,0.22,0.22
64000,0.97,0.48,0.31,0.26
65000,0.92,0.48,0.3,0.26
66000,0.94,0.51,0.26,0.27
67000,0.91,0.37,0.3,0.33
68000,0.95,0.39,0.27,0.29
69000,0.93,0.48,0.28,0.36
70000,0.97,0.35,0.34,0.25
71000,0.98,0.47,0.37,0.32
72000,0.92,0.44,0.19,0.32
73000,0.94,0.45,0.31,0.33
74000,0.96,0.47,0.2,0.29
75000,0.93,0.4,0.3,0.32
76000,0.93,0.4,0.26,0.25
77000,0.98,0.44,0.35,0.23
78000,0.96,0.48,0.4,0.34
79000,0.99,0.46,0.29,0.36
80000,0.93,0.41,0.28,0.29
81000,0.92,0.46,0.2,0.24
82000,0.96,0.37,0.22,0.29
83000,0.94,0.45,0.32,0.28
84000,0.97,0.42,0.32,0.33
85000,0.96,0.45,0.35,0.35
86000,0.98,0.52,0.32,0.21
87000,0.95,0.5,0.32,0.36
88000,0.93,0.38,0.3,0.32
89000,0.96,0.44,0.24,0.36
90000,0.98,0.4,0.3,0.28
91000,0.96,0.46,0.32,0.16
92000,0.93,0.49,0.31,0.25
93000,0.93,0.44,0.24,0.24
94000,0.95,0.41,0.3,0.3
95000,0.95,0.38,0.32,0.28
96000,0.96,0.49,0.25,0.28
97000,0.95,0.42,0.33,0.3
98000,0.99,0.46,0.21,0.34
99000,0.99,0.39,0.32,0.31
100000,0.96,0.51,0.32,0.32
