steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.032,127,0
500,0.0001,0.112,189,0
750,0.0001,0.12,229,0
1000,0.0,0.088,261,0
1250,0.0002,0.096,283,0
1500,0.0001,0.14,302,0
1750,0.0001,0.144,316,0
2000,0.0001,0.128,324,0
2250,0.0,0.096,334,0
2500,0.0001,0.12,340,0
2750,0.0001,0.16,351,0
3000,0.0001,0.14,353,0
3250,0.0002,0.132,358,0
3500,0.0001,0.084,360,0
3750,0.0001,0.108,361,0
4000,0.0001,0.132,363,1
4250,0.0001,0.132,364,1
4500,0.0001,0.132,366,2
4750,0.0001,0.108,366,2
5000,0.0,0.116,368,3
5250,0.0002,0.124,368,3
5500,0.0001,0.116,371,3
5750,0.0001,0.136,372,3
6000,0.0001,0.12,372,4
6250,0.0001,0.124,372,4
6500,0.0001,0.112,372,7
6750,0.0001,0.096,372,7
7000,0.0002,0.136,372,7
7250,0.0001,0.148,372,7
7500,0.0001,0.112,372,7
7750,0.0001,0.124,372,8
8000,0.0001,0.132,372,8
8250,0.0001,0.116,372,9
8500,0.0001,0.156,372,10
8750,0.0001,0.144,372,10
9000,0.0001,0.1,372,12
9250,0.0001,0.156,372,13
9500,0.0001,0.12,372,15
9750,0.0001,0.108,372,15
10000,0.0001,0.128,372,16
10250,0.0001,0.124,372,16
10500,0.0002,0.104,372,18
10750,0.0001,0.096,372,18
11000,0.0001,0.128,372,18
11250,0.0001,0.088,372,18
11500,0.0001,0.096,372,18
11750,0.0001,0.12,372,18
12000,0.0001,0.096,372,18
12250,0.0001,0.092,372,18
12500,0.0001,0.108,372,20
12750,0.0001,0.116,372,21
13000,0.0001,0.128,372,21
13250,0.0001,0.132,372,26
13500,0.0001,0.128,372,27
13750,0.0001,0.104,372,29
14000,0.0001,0.092,372,29
14250,0.0001,0.12,372,29
14500,0.0001,0.092,372,31
14750,0.0001,0.148,372,31
15000,0.0002,0.168,372,33
15250,0.0001,0.124,372,34
15500,0.0001,0.076,372,36
15750,0.0001,0.136,372,37
16000,0.0001,0.144,372,37
16250,0.0001,0.108,372,38
16500,0.0001,0.156,372,39
16750,0.0002,0.124,372,41
17000,0.0001,0.088,372,43
17250,0.0001,0.092,372,44
17500,0.0001,0.144,372,44
17750,0.0001,0.1,372,44
18000,0.0001,0.12,372,46
18250,0.0001,0.136,372,48
18500,0.0001,0.124,372,48
18750,0.0001,0.1,372,48
19000,0.0001,0.144,372,48
19250,0.0002,0.104,372,48
19500,0.0001,0.108,372,49
19750,0.0001,0.116,372,50
20000,0.0001,0.068,372,52
20250,0.0001,0.108,372,53
20500,0.0001,0.104,372,54
20750,0.0002,0.092,372,55
21000,0.0001,0.112,372,55
21250,0.0001,0.116,372,56
21500,0.0001,0.08,372,58
21750,0.0001,0.104,372,59
22000,0.0001,0.132,372,60
22250,0.0001,0.1,372,60
22500,0.0001,0.12,372,60
22750,0.0001,0.152,372,61
23000,0.0002,0.136,372,62
23250,0.0002,0.12,372,62
23500,0.0001,0.12,372,62
23750,0.0001,0.156,372,62
24000,0.0001,0.132,372,64
24250,0.0002,0.196,372,65
24500,0.0001,0.16,372,66
24750,0.0001,0.144,372,66
25000,0.0001,0.14,372,67
