steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.016,112,0
500,0.0001,0.064,170,0
750,0.0001,0.12,211,0
1000,0.0001,0.052,243,0
1250,0.0001,0.092,266,0
1500,0.0001,0.116,281,0
1750,0.0001,0.152,298,0
2000,0.0001,0.112,312,0
2250,0.0001,0.148,326,0
2500,0.0001,0.112,333,0
2750,0.0001,0.136,343,0
3000,0.0001,0.104,346,0
3250,0.0001,0.152,351,0
3500,0.0001,0.14,356,0
3750,0.0001,0.156,358,0
4000,0.0001,0.136,361,1
4250,0.0002,0.108,363,1
4500,0.0002,0.104,365,1
4750,0.0002,0.088,367,1
5000,0.0003,0.16,367,1
5250,0.0002,0.148,369,2
5500,0.0004,0.16,370,2
5750,0.0003,0.104,370,2
6000,0.0002,0.1,370,3
6250,0.0002,0.064,370,3
6500,0.0002,0.148,370,4
6750,0.0001,0.12,371,6
7000,0.0002,0.136,371,7
7250,0.0001,0.156,371,7
7500,0.0002,0.18,371,7
7750,0.0001,0.12,371,9
8000,0.0001,0.124,371,9
8250,0.0001,0.12,371,10
8500,0.0002,0.128,371,12
8750,0.0002,0.124,372,14
9000,0.0001,0.144,372,14
9250,0.0001,0.124,372,14
9500,0.0001,0.116,372,15
9750,0.0001,0.124,372,18
10000,0.0001,0.164,372,19
10250,0.0001,0.152,372,20
10500,0.0001,0.096,372,20
10750,0.0001,0.132,372,21
11000,0.0001,0.136,372,22
11250,0.0001,0.124,372,22
11500,0.0001,0.096,372,24
11750,0.0002,0.148,372,24
12000,0.0002,0.112,372,24
12250,0.0002,0.152,372,24
12500,0.0001,0.096,372,24
12750,0.0001,0.092,372,26
13000,0.0001,0.108,372,26
13250,0.0001,0.12,372,26
13500,0.0001,0.104,372,28
13750,0.0001,0.148,372,30
14000,0.0001,0.112,372,32
14250,0.0002,0.104,372,33
14500,0.0001,0.128,372,33
14750,0.0001,0.148,372,33
15000,0.0001,0.112,372,33
15250,0.0001,0.108,372,34
15500,0.0001,0.116,372,34
15750,0.0001,0.132,372,34
16000,0.0001,0.128,372,34
16250,0.0001,0.112,372,36
16500,0.0001,0.12,372,36
16750,0.0001,0.12,372,37
17000,0.0001,0.128,372,39
17250,0.0001,0.124,372,40
17500,0.0001,0.136,372,41
17750,0.0001,0.088,372,41
18000,0.0001,0.156,372,41
18250,0.0001,0.104,372,42
18500,0.0002,0.116,372,44
18750,0.0001,0.112,372,47
19000,0.0001,0.132,372,48
19250,0.0001,0.12,372,48
19500,0.0001,0.1,372,48
19750,0.0001,0.104,372,49
20000,0.0001,0.12,372,51
20250,0.0001,0.116,372,52
20500,0.0001,0.124,372,53
20750,0.0001,0.144,372,53
21000,0.0001,0.112,372,53
21250,0.0001,0.076,372,54
21500,0.0001,0.152,372,54
21750,0.0001,0.148,372,55
22000,0.0001,0.096,372,57
22250,0.0001,0.136,372,57
22500,0.0002,0.156,372,58
22750,0.0001,0.096,372,59
23000,0.0001,0.112,372,59
23250,0.0001,0.104,372,60
23500,0.0001,0.152,372,60
23750,0.0001,0.088,372,62
24000,0.0001,0.084,372,63
24250,0.0001,0.14,372,64
24500,0.0001,0.136,372,64
24750,0.0001,0.112,372,65
25000,0.0001,0.088,372,65
