steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.012,119,0
500,0.0001,0.06,181,0
750,0.0001,0.084,216,0
1000,0.0002,0.088,251,0
1250,0.0001,0.12,277,0
1500,0.0001,0.104,295,0
1750,0.0001,0.132,304,0
2000,0.0001,0.092,314,0
2250,0.0001,0.112,326,0
2500,0.0001,0.16,339,0
2750,0.0001,0.104,343,0
3000,0.0001,0.132,345,0
3250,0.0001,0.148,350,0
3500,0.0001,0.116,355,0
3750,0.0001,0.132,357,0
4000,0.0001,0.112,360,0
4250,0.0002,0.164,362,0
4500,0.0002,0.116,363,0
4750,0.0002,0.108,364,0
5000,0.0001,0.132,366,1
5250,0.0003,0.1,366,1
5500,0.0002,0.144,366,1
5750,0.0001,0.148,366,2
6000,0.0001,0.1,366,3
6250,0.0001,0.112,367,3
6500,0.0001,0.14,367,7
6750,0.0001,0.124,367,8
7000,0.0001,0.088,368,9
7250,0.0001,0.136,369,10
7500,0.0001,0.124,369,10
7750,0.0001,0.128,370,10
8000,0.0001,0.12,370,10
8250,0.0001,0.104,370,11
8500,0.0001,0.116,371,13
8750,0.0001,0.112,371,14
9000,0.0001,0.112,371,16
9250,0.0001,0.108,371,17
9500,0.0001,0.128,371,19
9750,0.0001,0.148,371,20
10000,0.0002,0.096,371,21
10250,0.0001,0.104,371,21
10500,0.0001,0.104,371,21
10750,0.0001,0.088,371,21
11000,0.0001,0.084,371,23
11250,0.0001,0.136,371,25
11500,0.0001,0.088,372,25
11750,0.0001,0.132,372,26
12000,0.0001,0.104,372,26
12250,0.0001,0.152,372,28
12500,0.0001,0.1,372,29
12750,0.0001,0.128,372,32
13000,0.0001,0.124,372,32
13250,0.0001,0.116,372,34
13500,0.0002,0.116,372,35
13750,0.0001,0.108,372,36
14000,0.0001,0.144,372,39
14250,0.0002,0.092,372,40
14500,0.0001,0.116,372,40
14750,0.0001,0.132,372,40
15000,0.0001,0.076,372,40
15250,0.0002,0.092,372,41
15500,0.0001,0.152,372,42
15750,0.0001,0.116,372,42
16000,0.0001,0.14,372,42
16250,0.0002,0.104,372,42
16500,0.0002,0.132,372,45
16750,0.0002,0.124,372,46
17000,0.0001,0.128,372,46
17250,0.0001,0.068,372,47
17500,0.0002,0.1,372,48
17750,0.0001,0.144,372,48
18000,0.0001,0.088,372,48
18250,0.0002,0.124,372,49
18500,0.0002,0.156,372,50
18750,0.0,0.12,372,50
19000,0.0002,0.164,372,50
19250,0.0002,0.16,372,50
19500,0.0001,0.124,372,50
19750,0.0002,0.08,372,52
20000,0.0002,0.088,372,53
20250,0.0001,0.124,372,54
20500,0.0002,0.12,372,54
20750,0.0001,0.136,372,55
21000,0.0001,0.116,372,56
21250,0.0001,0.112,372,56
21500,0.0002,0.12,372,60
21750,0.0002,0.156,372,62
22000,0.0002,0.116,372,62
22250,0.0001,0.124,372,63
22500,0.0002,0.148,372,63
22750,0.0001,0.136,372,63
23000,0.0002,0.112,372,64
23250,0.0001,0.14,372,65
23500,0.0002,0.14,372,66
23750,0.0001,0.124,372,68
24000,0.0001,0.096,372,69
24250,0.0002,0.132,372,69
24500,0.0002,0.12,372,70
24750,0.0001,0.14,372,71
25000,0.0002,0.112,372,71
