total_steps,0,1,2,3
500,0.99,0.46,0.35,0.37
1000,0.94,0.29,0.38,0.31
1500,0.97,0.32,0.32,0.34
2000,0.94,0.39,0.3,0.36
2500,0.91,0.39,0.26,0.23
3000,0.9,0.4,0.2,0.25
3500,0.92,0.37,0.33,0.37
4000,0.97,0.34,0.27,0.28
4500,0.97,0.29,0.32,0.26
5000,0.94,0.33,0.21,0.26
5500,0.91,0.29,0.26,0.28
6000,0.96,0.4,0.23,0.35
6500,0.95,0.31,0.33,0.24
7000,0.94,0.34,0.25,0.28
7500,0.93,0.46,0.23,0.22
8000,0.94,0.45,0.25,0.32
8500,0.95,0.34,0.25,0.18
9000,0.89,0.36,0.22,0.28
9500,0.91,0.43,0.24,0.32
10000,0.96,0.41,0.18,0.29
10500,0.95,0.38,0.22,0.2
11000,0.94,0.33,0.26,0.22
11500,0.94,0.35,0.24,0.25
12000,0.97,0.43,0.25,0.29
12500,0.95,0.43,0.25,0.26
13000,0.93,0.4,0.22,0.25
13500,0.93,0.39,0.25,0.22
14000,0.95,0.43,0.28,0.19
14500,0.97,0.46,0.2,0.36
15000,0.94,0.31,0.16,0.26
15500,0.91,0.41,0.31,0.29
16000,0.9,0.46,0.26,0.24
16500,0.91,0.39,0.26,0.29
17000,0.92,0.43,0.21,0.12
17500,0.94,0.52,0.3,0.23
18000,0.94,0.38,0.23,0.19
18500,0.95,0.41,0.27,0.22
19000,0.95,0.38,0.22,0.28
19500,0.94,0.41,0.21,0.23
20000,0.96,0.42,0.22,0.18
20500,0.93,0.33,0.27,0.28
21000,0.92,0.47,0.33,0.18
21500,0.93,0.36,0.16,0.23
22000,0.91,0.38,0.26,0.25
22500,0.94,0.4,0.3,0.22
23000,0.95,0.42,0.23,0.19
23500,0.95,0.34,0.19,0.29
24000,0.93,0.35,0.28,0.23
24500,0.89,0.4,0.24,0.24
25000,0.97,0.37,0.21,0.25
25500,0.94,0.44,0.2,0.14
26000,0.94,0.42,0.3,0.26
26500,0.95,0.32,0.27,0.19
27000,0.94,0.38,0.28,0.29
27500,0.93,0.4,0.22,0.22
28000,0.97,0.35,0.26,0.18
28500,0.9,0.33,0.28,0.29
29000,0.98,0.37,0.27,0.22
29500,0.96,0.37,0.21,0.17
30000,0.97,0.4,0.16,0.23
30500,0.92,0.35,0.2,0.26
31000,0.93,0.43,0.3,0.25
31500,0.97,0.44,0.26,0.26
32000,0.94,0.4,0.21,0.35
32500,0.91,0.39,0.2,0.23
33000,0.95,0.36,0.22,0.23
33500,0.95,0.39,0.17,0.19
34000,0.93,0.42,0.31,0.26
34500,0.96,0.37,0.3,0.27
35000,0.94,0.47,0.22,0.22
35500,0.97,0.42,0.25,0.13
36000,0.91,0.39,0.27,0.28
36500,0.9,0.36,0.34,0.26
37000,0.95,0.46,0.28,0.24
37500,0.89,0.39,0.22,0.17
38000,0.95,0.32,0.26,0.2
38500,0.97,0.36,0.22,0.28
39000,0.89,0.39,0.25,0.19
39500,0.93,0.55,0.19,0.18
40000,0.95,0.36,0.27,0.22
40500,0.96,0.46,0.3,0.29
41000,0.96,0.49,0.22,0.22
41500,0.97,0.32,0.24,0.28
42000,0.94,0.43,0.32,0.26
42500,0.92,0.47,0.18,0.35
43000,0.95,0.36,0.23,0.2
43500,0.98,0.34,0.18,0.21
44000,0.91,0.4,0.25,0.23
44500,0.93,0.39,0.32,0.26
45000,0.94,0.51,0.26,0.18
45500,0.98,0.5,0.24,0.23
46000,0.96,0.35,0.23,0.17
46500,0.94,0.37,0.2,0.22
47000,0.94,0.32,0.22,0.31
47500,0.97,0.45,0.23,0.21
48000,0.99,0.4,0.2,0.27
48500,0.97,0.4,0.18,0.26
49000,0.92,0.44,0.29,0.26
49500,0.94,0.34,0.21,0.2
50000,0.94,0.38,0.2,0.22
