steps,time_per_step,pred_success,nodes,filtered_nodes
1000,0.0001,0.611,53,7
2000,0.0002,0.4723,75,11
3000,0.0002,0.3303,86,13
4000,0.0002,0.5961,100,19
5000,0.0002,0.5516,112,23
6000,0.0002,0.6055,116,24
7000,0.0002,0.7979,122,26
8000,0.0002,0.6506,123,29
9000,0.0002,0.6386,125,29
10000,0.0002,0.5351,128,31
11000,0.0002,0.9506,131,31
12000,0.0002,0.5642,139,32
13000,0.0002,0.6002,141,33
14000,0.0002,0.7258,146,33
15000,0.0002,0.4054,162,36
16000,0.0002,0.558,163,36
17000,0.0002,0.6579,169,36
18000,0.0002,0.7831,169,36
19000,0.0002,0.597,171,38
20000,0.0002,0.5949,172,38
21000,0.0002,0.4625,176,39
22000,0.0002,0.6698,181,38
23000,0.0002,0.6178,187,38
24000,0.0002,0.7321,187,38
25000,0.0003,0.5993,190,38
26000,0.0003,0.6168,198,38
27000,0.0002,0.7855,199,41
28000,0.0003,0.5855,201,42
29000,0.0003,0.8524,205,41
30000,0.0004,0.7435,205,41
31000,0.0004,0.65,206,42
32000,0.0004,0.6579,207,43
33000,0.0005,0.7897,211,44
34000,0.0004,0.6301,212,44
35000,0.0005,0.651,213,44
36000,0.0004,0.6452,213,44
37000,0.0004,0.5211,214,44
38000,0.0004,0.5368,216,44
39000,0.0003,0.7762,218,44
40000,0.0002,0.6978,218,47
41000,0.0002,0.6842,220,47
42000,0.0002,0.6723,221,47
43000,0.0003,0.5234,228,47
44000,0.0002,0.9302,229,47
45000,0.0003,0.738,229,47
46000,0.0002,0.7158,232,48
47000,0.0003,0.8091,233,48
48000,0.0002,0.8518,234,50
49000,0.0002,0.8325,238,50
50000,0.0002,0.7496,238,50
51000,0.0002,0.8354,238,50
52000,0.0002,0.9337,243,50
53000,0.0002,0.771,246,51
54000,0.0002,0.9166,247,51
55000,0.0002,0.8826,249,54
56000,0.0002,0.9074,249,54
57000,0.0002,0.7868,249,54
58000,0.0002,0.6952,251,56
59000,0.0002,0.9653,252,55
60000,0.0002,0.5893,252,56
61000,0.0003,0.5759,262,57
62000,0.0003,0.6978,267,59
63000,0.0003,0.5351,270,60
64000,0.0002,0.6236,276,60
65000,0.0002,0.6174,283,60
66000,0.0002,0.7848,286,59
67000,0.0002,0.7244,288,61
68000,0.0002,0.7033,296,63
69000,0.0002,0.9355,296,64
70000,0.0002,0.7083,300,66
71000,0.0002,0.8055,304,67
72000,0.0002,0.6687,312,68
73000,0.0002,0.6206,319,73
74000,0.0002,0.6605,322,75
75000,0.0003,0.657,334,76
76000,0.0002,0.7391,339,81
77000,0.0002,0.8109,341,81
78000,0.0002,0.7905,343,81
79000,0.0002,0.8396,347,82
80000,0.0002,0.7753,356,82
81000,0.0002,0.7299,365,82
82000,0.0002,0.6888,372,89
83000,0.0002,0.7356,379,89
84000,0.0004,0.591,382,93
85000,0.0003,0.8621,384,93
86000,0.0004,0.7947,389,94
87000,0.0004,0.6796,395,97
88000,0.0004,0.7231,396,100
89000,0.0004,0.7724,398,102
90000,0.0003,0.7605,402,103
91000,0.0005,0.6883,407,104
92000,0.0005,0.692,409,108
93000,0.0004,0.7669,410,110
94000,0.0003,0.7315,411,111
95000,0.0002,0.6553,414,113
96000,0.0002,0.6734,415,114
97000,0.0002,0.6192,415,115
98000,0.0002,0.7924,415,115
99000,0.0002,0.7128,416,116
100000,0.0002,0.6382,419,120
