steps,time_per_step,pred_success,nodes,filtered_nodes
1000,0.0001,0.7662,59,6
2000,0.0002,0.9485,84,11
3000,0.0002,0.838,99,12
4000,0.0002,0.5056,106,14
5000,0.0002,0.8332,110,15
6000,0.0002,0.4032,129,15
7000,0.0002,0.5605,133,15
8000,0.0002,0.5289,137,15
9000,0.0002,0.5283,139,14
10000,0.0002,0.525,142,14
11000,0.0002,0.6168,147,14
12000,0.0002,0.5406,150,14
13000,0.0002,0.805,157,16
14000,0.0002,0.9615,160,17
15000,0.0002,0.6034,168,17
16000,0.0002,0.7551,174,17
17000,0.0002,0.9921,174,18
18000,0.0002,0.5951,182,18
19000,0.0002,0.5822,186,18
20000,0.0002,0.7793,192,18
21000,0.0002,0.896,194,18
22000,0.0002,0.8842,195,19
23000,0.0002,0.7013,200,19
24000,0.0002,0.8576,203,21
25000,0.0002,0.938,208,22
26000,0.0002,0.9336,213,22
27000,0.0002,0.9039,224,22
28000,0.0002,0.8957,239,24
29000,0.0002,0.9587,244,28
30000,0.0002,0.9259,252,28
31000,0.0002,0.8241,268,31
32000,0.0002,0.7857,279,32
33000,0.0002,0.5134,286,35
34000,0.0002,0.5808,295,35
35000,0.0002,0.4232,307,36
36000,0.0002,0.7336,319,37
37000,0.0002,0.7442,326,37
38000,0.0002,0.6579,330,41
39000,0.0002,0.5388,334,43
40000,0.0002,0.5447,342,43
41000,0.0002,0.8315,356,46
42000,0.0002,0.946,360,46
43000,0.0002,0.8187,364,48
44000,0.0002,0.8581,370,48
45000,0.0002,0.8871,381,48
46000,0.0002,0.8904,388,49
47000,0.0002,0.817,393,52
48000,0.0002,0.9259,398,54
49000,0.0002,0.8723,407,57
50000,0.0002,0.6888,431,59
51000,0.0002,0.8104,436,63
52000,0.0002,0.7457,447,68
53000,0.0002,0.816,460,70
54000,0.0004,0.5624,490,71
55000,0.0004,0.5666,505,78
56000,0.0004,0.6866,513,80
57000,0.0004,0.5779,529,85
58000,0.0004,0.4097,542,88
59000,0.0004,0.4333,558,97
60000,0.0004,0.359,568,101
61000,0.0004,0.3878,580,104
62000,0.0005,0.4136,586,115
63000,0.0004,0.3791,588,118
64000,0.0002,0.3698,593,118
65000,0.0002,0.3981,596,121
66000,0.0003,0.3782,597,122
67000,0.0003,0.3884,600,124
68000,0.0002,0.4002,604,128
69000,0.0003,0.4072,608,128
70000,0.0003,0.3769,617,128
71000,0.0003,0.4455,625,131
72000,0.0003,0.4186,629,137
73000,0.0003,0.4498,635,139
74000,0.0003,0.3854,650,144
75000,0.0003,0.4145,660,149
76000,0.0003,0.396,669,151
77000,0.0003,0.4155,674,152
78000,0.0003,0.3986,678,156
79000,0.0003,0.442,684,160
80000,0.0003,0.399,686,160
81000,0.0003,0.4088,690,165
82000,0.0003,0.4139,692,164
83000,0.0003,0.4073,700,166
84000,0.0003,0.391,707,166
85000,0.0003,0.3807,710,166
86000,0.0003,0.3811,711,168
87000,0.0003,0.3887,714,169
88000,0.0003,0.3865,718,170
89000,0.0003,0.3952,723,170
90000,0.0004,0.3778,731,170
91000,0.0004,0.3809,732,171
92000,0.0003,0.4088,733,172
93000,0.0004,0.3887,737,175
94000,0.0003,0.3895,745,177
95000,0.0004,0.3793,751,178
96000,0.0003,0.4431,763,179
97000,0.0005,0.4514,769,180
98000,0.0005,0.4536,781,180
99000,0.0005,0.4575,807,184
100000,0.0005,0.4802,833,185
