steps,best_pred_error_rate
250,"{0: 0.93, 1: 0.63, 2: 0.49, 3: 0.54, 4: 0.49}"
500,"{0: 0.95, 1: 0.44, 2: 0.45, 3: 0.42, 4: 0.46}"
750,"{0: 0.97, 1: 0.37, 2: 0.4, 3: 0.34, 4: 0.41}"
1000,"{0: 0.94, 1: 0.37, 2: 0.4, 3: 0.36, 4: 0.37}"
1250,"{0: 0.97, 1: 0.36, 2: 0.5, 3: 0.38, 4: 0.39}"
1500,"{0: 0.96, 1: 0.45, 2: 0.33, 3: 0.4, 4: 0.4}"
1750,"{0: 0.93, 1: 0.39, 2: 0.37, 3: 0.37, 4: 0.32}"
2000,"{0: 0.95, 1: 0.42, 2: 0.32, 3: 0.35, 4: 0.44}"
2250,"{0: 0.95, 1: 0.36, 2: 0.38, 3: 0.34, 4: 0.32}"
2500,"{0: 0.94, 1: 0.38, 2: 0.3, 3: 0.32, 4: 0.28}"
2750,"{0: 0.95, 1: 0.42, 2: 0.36, 3: 0.39, 4: 0.42}"
3000,"{0: 0.95, 1: 0.44, 2: 0.29, 3: 0.35, 4: 0.41}"
3250,"{0: 0.95, 1: 0.45, 2: 0.37, 3: 0.38, 4: 0.33}"
3500,"{0: 0.94, 1: 0.35, 2: 0.33, 3: 0.3, 4: 0.21}"
3750,"{0: 0.93, 1: 0.33, 2: 0.28, 3: 0.33, 4: 0.36}"
4000,"{0: 0.94, 1: 0.45, 2: 0.35, 3: 0.4, 4: 0.35}"
4250,"{0: 0.97, 1: 0.32, 2: 0.34, 3: 0.28, 4: 0.37}"
4500,"{0: 0.92, 1: 0.42, 2: 0.39, 3: 0.35, 4: 0.39}"
4750,"{0: 0.98, 1: 0.44, 2: 0.44, 3: 0.41, 4: 0.25}"
5000,"{0: 0.93, 1: 0.31, 2: 0.33, 3: 0.3, 4: 0.43}"
5250,"{0: 0.94, 1: 0.4, 2: 0.29, 3: 0.23, 4: 0.37}"
5500,"{0: 0.94, 1: 0.42, 2: 0.38, 3: 0.37, 4: 0.32}"
5750,"{0: 0.95, 1: 0.34, 2: 0.35, 3: 0.33, 4: 0.3}"
6000,"{0: 0.94, 1: 0.48, 2: 0.41, 3: 0.35, 4: 0.38}"
6250,"{0: 0.95, 1: 0.47, 2: 0.33, 3: 0.3, 4: 0.42}"
6500,"{0: 0.96, 1: 0.31, 2: 0.26, 3: 0.41, 4: 0.38}"
6750,"{0: 0.98, 1: 0.39, 2: 0.31, 3: 0.28, 4: 0.38}"
7000,"{0: 0.95, 1: 0.3, 2: 0.28, 3: 0.36, 4: 0.34}"
