steps,best_pred_error_rate
250,"{0: 0.96, 1: 0.49, 2: 0.42, 3: 0.51, 4: 0.53}"
500,"{0: 0.95, 1: 0.42, 2: 0.42, 3: 0.48, 4: 0.43}"
750,"{0: 0.98, 1: 0.37, 2: 0.41, 3: 0.47, 4: 0.43}"
1000,"{0: 0.95, 1: 0.46, 2: 0.32, 3: 0.31, 4: 0.31}"
1250,"{0: 0.93, 1: 0.33, 2: 0.36, 3: 0.46, 4: 0.37}"
1500,"{0: 0.93, 1: 0.39, 2: 0.38, 3: 0.34, 4: 0.43}"
1750,"{0: 0.92, 1: 0.37, 2: 0.42, 3: 0.34, 4: 0.35}"
2000,"{0: 0.92, 1: 0.42, 2: 0.44, 3: 0.39, 4: 0.4}"
2250,"{0: 0.96, 1: 0.33, 2: 0.34, 3: 0.34, 4: 0.35}"
2500,"{0: 0.91, 1: 0.39, 2: 0.36, 3: 0.29, 4: 0.37}"
2750,"{0: 0.97, 1: 0.46, 2: 0.33, 3: 0.39, 4: 0.33}"
3000,"{0: 0.97, 1: 0.35, 2: 0.43, 3: 0.36, 4: 0.42}"
3250,"{0: 0.98, 1: 0.42, 2: 0.36, 3: 0.38, 4: 0.33}"
3500,"{0: 0.94, 1: 0.45, 2: 0.35, 3: 0.35, 4: 0.34}"
3750,"{0: 0.95, 1: 0.46, 2: 0.38, 3: 0.37, 4: 0.38}"
4000,"{0: 0.98, 1: 0.33, 2: 0.39, 3: 0.41, 4: 0.29}"
4250,"{0: 0.97, 1: 0.38, 2: 0.3, 3: 0.33, 4: 0.3}"
4500,"{0: 0.96, 1: 0.38, 2: 0.3, 3: 0.33, 4: 0.3}"
4750,"{0: 0.93, 1: 0.4, 2: 0.3, 3: 0.37, 4: 0.35}"
5000,"{0: 0.95, 1: 0.36, 2: 0.35, 3: 0.36, 4: 0.37}"
5250,"{0: 0.92, 1: 0.35, 2: 0.31, 3: 0.38, 4: 0.36}"
5500,"{0: 0.93, 1: 0.5, 2: 0.35, 3: 0.33, 4: 0.37}"
5750,"{0: 0.93, 1: 0.52, 2: 0.37, 3: 0.29, 4: 0.35}"
6000,"{0: 0.93, 1: 0.37, 2: 0.41, 3: 0.39, 4: 0.35}"
6250,"{0: 0.92, 1: 0.41, 2: 0.39, 3: 0.24, 4: 0.32}"
6500,"{0: 0.97, 1: 0.31, 2: 0.42, 3: 0.33, 4: 0.29}"
6750,"{0: 0.96, 1: 0.4, 2: 0.36, 3: 0.31, 4: 0.35}"
7000,"{0: 0.93, 1: 0.36, 2: 0.33, 3: 0.28, 4: 0.33}"
7250,"{0: 0.95, 1: 0.52, 2: 0.42, 3: 0.41, 4: 0.25}"
7500,"{0: 0.97, 1: 0.39, 2: 0.31, 3: 0.29, 4: 0.27}"
7750,"{0: 0.92, 1: 0.48, 2: 0.29, 3: 0.23, 4: 0.24}"
8000,"{0: 0.97, 1: 0.4, 2: 0.36, 3: 0.33, 4: 0.37}"
8250,"{0: 0.92, 1: 0.39, 2: 0.27, 3: 0.36, 4: 0.42}"
8500,"{0: 0.97, 1: 0.52, 2: 0.34, 3: 0.35, 4: 0.35}"
8750,"{0: 0.99, 1: 0.46, 2: 0.4, 3: 0.32, 4: 0.41}"
9000,"{0: 0.96, 1: 0.46, 2: 0.31, 3: 0.31, 4: 0.28}"
9250,"{0: 0.99, 1: 0.39, 2: 0.32, 3: 0.26, 4: 0.25}"
9500,"{0: 0.98, 1: 0.51, 2: 0.3, 3: 0.46, 4: 0.36}"
9750,"{0: 0.98, 1: 0.44, 2: 0.35, 3: 0.29, 4: 0.35}"
10000,"{0: 0.95, 1: 0.39, 2: 0.35, 3: 0.29, 4: 0.29}"
10250,"{0: 0.95, 1: 0.33, 2: 0.35, 3: 0.31, 4: 0.39}"
10500,"{0: 0.94, 1: 0.35, 2: 0.3, 3: 0.29, 4: 0.37}"
10750,"{0: 0.99, 1: 0.39, 2: 0.37, 3: 0.38, 4: 0.33}"
11000,"{0: 0.96, 1: 0.44, 2: 0.36, 3: 0.27, 4: 0.29}"
11250,"{0: 0.9, 1: 0.34, 2: 0.18, 3: 0.31, 4: 0.24}"
11500,"{0: 0.96, 1: 0.35, 2: 0.31, 3: 0.27, 4: 0.24}"
11750,"{0: 0.96, 1: 0.38, 2: 0.35, 3: 0.37, 4: 0.32}"
12000,"{0: 0.96, 1: 0.42, 2: 0.28, 3: 0.3, 4: 0.21}"
12250,"{0: 0.92, 1: 0.35, 2: 0.34, 3: 0.33, 4: 0.29}"
12500,"{0: 0.99, 1: 0.36, 2: 0.31, 3: 0.38, 4: 0.31}"
12750,"{0: 0.96, 1: 0.37, 2: 0.25, 3: 0.27, 4: 0.36}"
13000,"{0: 0.98, 1: 0.46, 2: 0.34, 3: 0.25, 4: 0.31}"
13250,"{0: 0.96, 1: 0.44, 2: 0.39, 3: 0.32, 4: 0.3}"
13500,"{0: 0.96, 1: 0.44, 2: 0.36, 3: 0.3, 4: 0.23}"
13750,"{0: 0.95, 1: 0.32, 2: 0.26, 3: 0.26, 4: 0.3}"
14000,"{0: 0.95, 1: 0.42, 2: 0.26, 3: 0.34, 4: 0.26}"
14250,"{0: 0.93, 1: 0.5, 2: 0.26, 3: 0.36, 4: 0.3}"
14500,"{0: 0.92, 1: 0.37, 2: 0.33, 3: 0.35, 4: 0.24}"
14750,"{0: 0.96, 1: 0.46, 2: 0.39, 3: 0.39, 4: 0.31}"
15000,"{0: 0.91, 1: 0.44, 2: 0.37, 3: 0.28, 4: 0.36}"
15250,"{0: 0.94, 1: 0.47, 2: 0.32, 3: 0.26, 4: 0.32}"
15500,"{0: 0.95, 1: 0.43, 2: 0.35, 3: 0.35, 4: 0.38}"
15750,"{0: 0.97, 1: 0.47, 2: 0.37, 3: 0.33, 4: 0.3}"
16000,"{0: 0.95, 1: 0.38, 2: 0.33, 3: 0.36, 4: 0.29}"
16250,"{0: 0.92, 1: 0.48, 2: 0.35, 3: 0.28, 4: 0.24}"
16500,"{0: 0.93, 1: 0.53, 2: 0.26, 3: 0.3, 4: 0.29}"
16750,"{0: 0.91, 1: 0.38, 2: 0.32, 3: 0.26, 4: 0.26}"
17000,"{0: 0.96, 1: 0.4, 2: 0.32, 3: 0.33, 4: 0.2}"
17250,"{0: 0.94, 1: 0.4, 2: 0.32, 3: 0.27, 4: 0.27}"
17500,"{0: 0.97, 1: 0.43, 2: 0.31, 3: 0.26, 4: 0.34}"
17750,"{0: 0.97, 1: 0.5, 2: 0.36, 3: 0.21, 4: 0.28}"
18000,"{0: 0.94, 1: 0.38, 2: 0.31, 3: 0.29, 4: 0.27}"
18250,"{0: 0.95, 1: 0.39, 2: 0.37, 3: 0.35, 4: 0.25}"
18500,"{0: 0.94, 1: 0.43, 2: 0.27, 3: 0.25, 4: 0.31}"
18750,"{0: 0.94, 1: 0.46, 2: 0.35, 3: 0.26, 4: 0.27}"
19000,"{0: 0.95, 1: 0.39, 2: 0.34, 3: 0.34, 4: 0.31}"
19250,"{0: 0.95, 1: 0.47, 2: 0.35, 3: 0.35, 4: 0.3}"
19500,"{0: 0.94, 1: 0.52, 2: 0.32, 3: 0.31, 4: 0.38}"
19750,"{0: 0.97, 1: 0.45, 2: 0.27, 3: 0.24, 4: 0.23}"
20000,"{0: 0.92, 1: 0.37, 2: 0.35, 3: 0.23, 4: 0.36}"
20250,"{0: 0.96, 1: 0.33, 2: 0.29, 3: 0.34, 4: 0.36}"
20500,"{0: 0.92, 1: 0.37, 2: 0.33, 3: 0.32, 4: 0.28}"
20750,"{0: 0.96, 1: 0.41, 2: 0.41, 3: 0.29, 4: 0.28}"
21000,"{0: 0.97, 1: 0.41, 2: 0.36, 3: 0.26, 4: 0.31}"
21250,"{0: 0.93, 1: 0.45, 2: 0.35, 3: 0.35, 4: 0.24}"
21500,"{0: 0.95, 1: 0.44, 2: 0.34, 3: 0.37, 4: 0.35}"
21750,"{0: 0.94, 1: 0.45, 2: 0.41, 3: 0.37, 4: 0.18}"
22000,"{0: 0.96, 1: 0.41, 2: 0.43, 3: 0.36, 4: 0.26}"
22250,"{0: 0.96, 1: 0.41, 2: 0.33, 3: 0.28, 4: 0.28}"
22500,"{0: 0.96, 1: 0.47, 2: 0.35, 3: 0.32, 4: 0.29}"
22750,"{0: 0.97, 1: 0.48, 2: 0.32, 3: 0.35, 4: 0.3}"
