steps,best_pred_error_rate
250,"{0: 0.95, 1: 0.55, 2: 0.56, 3: 0.43, 4: 0.51}"
500,"{0: 0.99, 1: 0.42, 2: 0.43, 3: 0.32, 4: 0.39}"
750,"{0: 0.96, 1: 0.38, 2: 0.27, 3: 0.34, 4: 0.36}"
1000,"{0: 0.98, 1: 0.47, 2: 0.29, 3: 0.45, 4: 0.37}"
1250,"{0: 0.9, 1: 0.45, 2: 0.36, 3: 0.37, 4: 0.4}"
1500,"{0: 0.92, 1: 0.36, 2: 0.32, 3: 0.38, 4: 0.44}"
1750,"{0: 0.92, 1: 0.41, 2: 0.4, 3: 0.32, 4: 0.3}"
2000,"{0: 0.94, 1: 0.41, 2: 0.43, 3: 0.31, 4: 0.27}"
2250,"{0: 0.97, 1: 0.4, 2: 0.35, 3: 0.35, 4: 0.3}"
2500,"{0: 0.95, 1: 0.42, 2: 0.24, 3: 0.33, 4: 0.35}"
2750,"{0: 0.96, 1: 0.37, 2: 0.3, 3: 0.28, 4: 0.38}"
3000,"{0: 0.96, 1: 0.42, 2: 0.39, 3: 0.35, 4: 0.4}"
3250,"{0: 0.98, 1: 0.49, 2: 0.36, 3: 0.38, 4: 0.33}"
3500,"{0: 0.92, 1: 0.34, 2: 0.36, 3: 0.43, 4: 0.38}"
3750,"{0: 0.95, 1: 0.34, 2: 0.39, 3: 0.34, 4: 0.33}"
4000,"{0: 0.95, 1: 0.39, 2: 0.31, 3: 0.35, 4: 0.32}"
4250,"{0: 0.94, 1: 0.34, 2: 0.28, 3: 0.33, 4: 0.36}"
4500,"{0: 0.96, 1: 0.39, 2: 0.27, 3: 0.29, 4: 0.29}"
4750,"{0: 0.94, 1: 0.44, 2: 0.33, 3: 0.34, 4: 0.31}"
5000,"{0: 0.94, 1: 0.33, 2: 0.42, 3: 0.33, 4: 0.2}"
5250,"{0: 0.96, 1: 0.49, 2: 0.26, 3: 0.32, 4: 0.39}"
5500,"{0: 0.93, 1: 0.29, 2: 0.36, 3: 0.31, 4: 0.29}"
5750,"{0: 0.94, 1: 0.44, 2: 0.36, 3: 0.32, 4: 0.33}"
6000,"{0: 0.97, 1: 0.33, 2: 0.4, 3: 0.4, 4: 0.32}"
6250,"{0: 0.95, 1: 0.32, 2: 0.26, 3: 0.29, 4: 0.4}"
