steps,time,nodes,filtered_nodes
10002,3.13,905,53
20003,6.43,1216,129
30001,9.89,1455,181
40001,13.54,1656,224
50000,17.32,1845,263
60002,21.31,2029,316
70000,25.51,2208,355
80002,30.0,2357,394
90003,34.46,2496,416
100001,39.05,2618,440
110003,43.82,2725,466
120001,48.43,2847,479
130000,53.39,2946,491
140000,58.38,3049,511
150001,63.46,3141,528
160002,68.5,3228,541
170002,73.62,3314,554
180000,78.89,3385,569
190003,84.25,3463,579
200001,89.73,3535,585
210001,95.09,3595,597
220001,100.55,3669,608
230001,106.16,3718,622
240003,111.82,3780,625
250000,117.39,3845,628
260002,122.91,3909,641
270002,128.34,3969,647
280000,134.04,4013,650
290001,139.75,4054,655
300001,145.54,4105,662
310000,151.48,4148,669
320000,157.19,4197,675
330003,163.09,4229,681
340003,169.26,4277,686
350000,175.24,4332,694
360002,181.45,4370,700
370002,187.59,4419,701
380000,193.77,4456,709
390001,199.76,4492,715
400003,205.99,4529,725
410003,212.12,4563,728
420000,218.28,4599,734
430000,224.5,4635,741
440000,230.63,4667,750
450003,236.82,4694,753
460002,243.29,4728,759
470000,249.57,4753,765
480000,255.9,4780,767
490000,262.06,4796,769
500002,268.69,4823,772
510002,275.19,4859,773
520003,281.86,4881,776
530002,288.35,4914,779
540001,294.9,4936,784
550002,301.25,4952,790
560000,307.72,4976,794
570000,314.36,4999,798
580000,320.83,5024,801
590000,327.55,5048,805
600001,334.24,5065,808
610000,340.94,5083,812
620000,347.6,5102,817
630003,354.33,5113,820
640002,361.12,5127,824
650002,367.79,5144,827
660002,374.1,5158,827
670001,380.77,5176,831
680000,387.38,5190,839
690003,394.03,5204,842
700002,400.79,5217,843
710000,407.53,5237,843
720002,414.2,5245,847
730000,420.92,5255,849
740002,427.67,5267,852
750003,434.46,5289,855
760002,441.3,5298,855
770000,448.0,5308,857
780000,454.89,5319,859
790003,461.63,5331,862
800000,468.46,5344,864
810002,475.13,5358,866
820002,481.94,5368,866
830000,488.59,5381,868
840000,495.26,5391,869
850000,502.13,5398,869
860000,509.05,5415,872
870002,515.87,5421,872
880000,522.7,5432,873
890002,529.72,5438,874
900001,536.59,5444,874
910003,543.37,5448,875
920001,550.26,5456,876
930003,557.03,5465,878
940000,564.15,5473,880
950002,571.23,5484,880
960000,578.33,5496,883
970002,585.36,5503,884
980000,592.34,5514,884
990001,599.12,5519,884
1000000,606.07,5525,885
