steps,time,nodes,filtered_nodes
10001,2.91,858,56
20000,6.22,1180,132
30000,9.64,1456,190
40000,13.28,1704,217
50000,17.17,1906,254
60002,21.02,2084,293
70001,25.23,2238,331
80001,29.5,2379,370
90001,33.92,2529,397
100001,38.53,2655,425
110000,43.17,2769,450
120001,47.7,2882,470
130001,52.6,2981,493
140003,57.56,3066,507
150003,62.66,3170,516
160002,67.94,3257,533
170001,73.15,3334,547
180001,78.47,3421,554
190001,83.7,3508,567
200002,89.02,3588,576
210002,94.64,3651,588
220000,100.05,3717,598
230003,105.57,3785,607
240003,111.33,3851,612
250000,117.02,3914,620
260002,122.79,3966,629
270000,128.67,4028,634
280000,134.38,4072,643
290002,140.56,4108,651
300003,146.41,4151,660
310002,152.23,4210,664
320002,158.25,4251,670
330002,164.06,4312,673
340001,170.26,4365,679
350001,176.47,4403,686
360003,182.66,4455,691
370000,188.76,4489,697
380000,194.85,4527,702
390002,200.81,4566,706
400000,207.05,4609,709
410002,213.41,4641,716
420001,219.66,4663,725
430000,225.92,4694,732
440001,232.19,4723,739
450001,238.48,4752,744
460001,245.07,4782,750
470000,251.38,4797,758
480003,257.66,4828,764
490001,264.19,4845,772
500003,270.35,4867,774
510003,276.97,4892,776
520001,283.64,4917,780
530002,290.11,4935,786
540003,296.51,4955,790
550000,302.99,4975,793
560001,309.62,5008,801
570001,315.94,5026,806
580003,322.61,5045,809
590001,328.88,5065,810
600000,335.46,5082,815
610002,342.0,5101,819
620003,348.65,5124,822
630000,355.12,5146,823
640000,361.73,5173,828
650000,368.34,5190,831
660003,375.16,5204,831
670003,381.76,5224,833
680002,388.67,5236,835
690000,395.53,5249,839
700000,402.3,5266,841
710001,409.18,5284,843
720003,415.79,5294,845
730000,422.45,5305,846
740002,429.16,5313,849
750001,435.88,5325,852
760002,442.8,5338,854
770000,449.65,5352,855
780001,456.32,5362,860
790000,463.12,5373,861
800001,469.95,5382,864
810001,476.79,5391,865
820003,483.73,5398,867
830003,490.61,5411,869
840001,497.56,5420,870
850002,504.39,5433,873
860002,511.47,5442,877
870002,518.52,5448,878
880002,525.6,5455,878
890001,532.54,5465,878
900000,539.21,5474,879
910002,545.99,5482,881
920001,552.69,5489,881
930000,559.56,5502,882
940000,566.49,5513,882
950000,573.7,5524,883
960002,580.73,5532,884
970001,587.71,5536,884
980003,594.78,5542,885
990000,601.75,5544,888
1000003,608.78,5551,888
