steps,time,nodes,filtered_nodes
10001,2.99,869,62
20000,6.3,1227,134
30003,9.96,1485,183
40000,13.55,1693,220
50002,17.43,1885,264
60000,21.58,2073,302
70001,25.9,2239,339
80001,30.16,2362,375
90000,34.71,2514,403
100001,39.19,2651,419
110003,43.98,2770,446
120001,48.67,2893,470
130003,53.56,3009,491
140001,58.54,3096,517
150003,63.45,3189,527
160001,68.55,3260,533
170000,73.69,3349,543
180001,78.91,3411,557
190001,84.09,3503,567
200002,89.54,3579,584
210002,94.8,3658,592
220002,100.5,3736,604
230001,105.93,3802,619
240002,111.52,3860,624
250001,117.05,3916,630
260001,122.46,3973,639
270002,128.14,4024,640
280000,133.94,4077,646
290002,139.64,4131,651
300001,145.7,4174,656
310002,151.7,4209,666
320002,157.49,4254,673
330002,163.44,4301,680
340002,169.22,4350,683
350002,175.13,4390,687
360001,181.22,4438,690
370002,187.14,4477,697
380000,193.22,4518,704
390000,199.27,4544,711
400003,205.42,4570,717
410000,211.56,4597,722
420000,217.82,4624,728
430000,224.17,4654,729
440000,230.41,4680,734
450001,236.67,4709,739
460002,242.88,4733,745
470000,249.14,4754,752
480001,255.39,4776,760
490000,261.83,4810,764
500001,268.2,4835,767
510002,274.41,4854,775
520001,280.59,4890,780
530002,286.9,4915,785
540002,293.16,4945,786
550000,299.44,4964,791
560002,306.0,4987,793
570000,312.46,5000,798
580001,318.96,5022,802
590003,325.77,5038,805
600000,332.34,5053,805
610000,339.03,5076,808
620001,345.46,5095,815
630000,352.0,5109,815
640002,358.63,5126,817
650002,365.54,5141,819
660002,372.06,5157,821
670003,378.71,5170,825
680002,385.4,5183,826
690000,392.19,5198,829
700001,398.77,5216,834
710001,405.25,5231,836
720000,411.98,5248,839
730001,418.65,5260,843
740003,425.47,5272,843
750001,432.3,5287,843
760003,438.9,5304,847
770001,445.75,5310,848
780001,452.51,5326,850
790002,459.5,5340,851
800000,466.28,5351,853
810002,473.16,5361,857
820002,479.78,5367,859
830003,486.61,5377,859
840000,493.7,5389,860
850000,500.51,5395,863
860001,507.31,5405,865
870002,513.85,5418,867
880001,520.81,5428,868
890001,527.47,5434,869
900000,534.19,5443,871
910002,541.0,5453,874
920002,547.86,5461,875
930003,554.84,5472,877
940001,561.74,5476,877
950000,568.75,5485,880
960002,575.93,5493,882
970003,582.84,5502,884
980002,589.7,5514,884
990003,596.54,5519,884
1000000,603.47,5522,887
