steps,time,nodes,filtered_nodes
10000,2.55,874,55
20000,5.22,1216,128
30003,8.3,1461,185
40001,11.56,1702,225
50003,15.0,1896,266
60001,18.69,2045,313
70000,22.32,2202,354
80000,26.15,2337,381
90003,30.1,2487,408
100000,34.26,2593,434
110000,38.6,2706,466
120001,42.95,2811,483
130000,47.33,2927,495
140000,52.05,3034,510
150001,56.74,3125,523
160001,61.55,3209,539
170001,66.41,3300,549
180000,71.33,3368,569
190001,76.43,3453,579
200003,81.54,3537,587
210002,86.56,3626,598
220003,91.54,3701,607
230002,96.81,3764,613
240002,102.2,3834,621
250003,107.45,3887,630
260001,112.96,3943,639
270000,118.61,3996,648
280001,124.29,4049,655
290002,130.16,4091,662
300002,135.6,4138,668
310000,140.99,4184,674
320002,146.69,4223,682
330000,152.43,4277,689
340000,158.11,4317,691
350002,163.81,4353,698
360000,169.52,4384,699
370000,175.25,4418,705
380002,181.21,4446,712
390003,187.08,4486,718
400003,192.96,4518,720
410000,198.92,4551,724
420002,205.04,4582,729
430001,210.91,4615,737
440003,217.02,4644,744
450002,223.01,4676,750
460000,229.07,4702,758
470001,235.66,4724,765
480003,241.94,4746,772
490002,247.91,4770,779
500000,254.11,4801,783
510003,260.08,4826,791
520000,266.24,4852,793
530000,272.46,4879,800
540000,278.6,4901,803
550002,285.01,4921,807
560001,291.53,4953,809
570003,298.04,4976,809
580000,304.4,4993,810
590000,310.85,5012,810
600001,317.31,5027,817
610000,323.9,5040,819
620000,330.51,5051,820
630000,336.87,5065,825
640003,343.29,5075,827
650003,349.79,5091,829
660001,356.29,5110,831
670000,362.75,5127,833
680001,369.27,5143,835
690003,375.68,5159,838
700001,382.17,5175,841
710000,388.72,5194,842
720002,394.98,5214,843
730001,401.45,5228,848
740002,408.12,5242,851
750000,414.62,5257,857
760002,421.22,5270,861
770001,428.01,5287,863
780000,434.58,5301,864
790000,441.32,5312,865
800000,447.9,5334,865
810000,454.48,5345,868
820001,461.13,5357,869
830000,467.91,5369,871
840000,474.68,5382,874
850002,481.24,5390,877
860003,487.73,5402,878
870003,494.47,5416,878
880000,501.15,5426,881
890000,507.62,5433,881
900000,514.35,5443,882
910002,521.23,5448,882
920000,528.26,5455,882
930003,534.92,5460,882
940000,541.56,5471,882
950003,548.28,5479,882
960003,554.86,5487,882
970000,561.42,5497,884
980002,568.16,5501,885
990000,574.95,5509,885
1000002,581.92,5511,886
