total_steps,0,1,2,3
1000,0.89,0.41,0.51,0.42
2000,0.92,0.3,0.38,0.37
3000,0.97,0.38,0.45,0.39
4000,0.94,0.37,0.42,0.37
5000,0.94,0.38,0.43,0.3
6000,0.96,0.36,0.31,0.39
7000,0.97,0.38,0.43,0.39
8000,0.98,0.49,0.46,0.37
9000,0.95,0.37,0.44,0.46
10000,0.91,0.25,0.35,0.35
11000,0.9,0.33,0.52,0.44
12000,0.96,0.34,0.43,0.37
13000,0.94,0.34,0.32,0.34
14000,0.93,0.28,0.35,0.25
15000,0.95,0.42,0.4,0.41
16000,0.97,0.4,0.27,0.41
17000,0.97,0.38,0.46,0.35
18000,0.93,0.32,0.42,0.36
19000,0.96,0.34,0.32,0.42
20000,0.97,0.39,0.45,0.24
21000,0.94,0.42,0.41,0.39
22000,0.93,0.4,0.39,0.37
23000,0.92,0.31,0.33,0.37
24000,0.94,0.3,0.35,0.44
25000,0.93,0.35,0.34,0.38
26000,0.94,0.37,0.4,0.35
27000,0.96,0.27,0.43,0.34
28000,0.96,0.36,0.42,0.35
29000,0.93,0.28,0.29,0.26
30000,0.96,0.48,0.39,0.4
31000,0.95,0.41,0.41,0.35
32000,0.95,0.37,0.41,0.39
33000,0.94,0.45,0.39,0.36
34000,0.95,0.31,0.43,0.31
35000,0.94,0.4,0.38,0.36
36000,0.94,0.4,0.44,0.37
37000,0.96,0.42,0.41,0.35
38000,0.94,0.33,0.37,0.47
39000,0.95,0.45,0.36,0.35
40000,0.97,0.41,0.26,0.31
41000,0.96,0.44,0.43,0.48
42000,0.94,0.41,0.28,0.43
43000,0.89,0.34,0.37,0.47
44000,0.93,0.36,0.43,0.38
45000,0.93,0.51,0.49,0.44
46000,0.94,0.37,0.38,0.37
47000,0.96,0.4,0.33,0.37
48000,0.99,0.39,0.35,0.39
49000,0.94,0.35,0.47,0.33
50000,0.95,0.4,0.36,0.42
51000,0.94,0.29,0.4,0.31
52000,0.93,0.36,0.34,0.38
53000,0.97,0.36,0.42,0.53
54000,0.94,0.4,0.36,0.47
55000,0.93,0.34,0.34,0.33
56000,0.92,0.42,0.29,0.36
57000,0.91,0.41,0.46,0.34
58000,0.94,0.47,0.35,0.36
59000,0.95,0.39,0.35,0.34
60000,0.9,0.46,0.4,0.47
61000,0.92,0.38,0.42,0.32
62000,0.92,0.44,0.42,0.37
63000,0.97,0.49,0.38,0.41
64000,0.97,0.43,0.41,0.47
65000,0.9,0.4,0.42,0.36
66000,0.96,0.45,0.39,0.44
67000,0.96,0.37,0.37,0.37
68000,0.92,0.43,0.36,0.29
69000,0.95,0.34,0.45,0.34
70000,0.94,0.34,0.45,0.29
71000,0.95,0.38,0.37,0.44
72000,0.96,0.43,0.35,0.35
73000,0.95,0.39,0.46,0.36
74000,0.96,0.32,0.31,0.4
75000,0.95,0.38,0.4,0.4
76000,0.96,0.32,0.49,0.3
77000,0.95,0.4,0.4,0.34
78000,0.89,0.39,0.43,0.4
79000,0.96,0.51,0.46,0.45
80000,0.94,0.35,0.3,0.32
81000,0.95,0.37,0.38,0.46
82000,0.96,0.28,0.45,0.37
83000,0.9,0.45,0.4,0.34
84000,0.96,0.31,0.38,0.32
85000,0.98,0.4,0.38,0.4
86000,0.97,0.42,0.35,0.4
87000,0.93,0.29,0.3,0.4
88000,0.94,0.38,0.44,0.48
89000,0.99,0.42,0.33,0.39
90000,0.95,0.46,0.45,0.39
91000,0.9,0.45,0.46,0.46
92000,0.97,0.38,0.45,0.38
93000,0.95,0.44,0.34,0.41
94000,0.93,0.39,0.34,0.36
95000,0.93,0.45,0.34,0.35
96000,0.96,0.4,0.38,0.41
97000,0.91,0.35,0.43,0.37
98000,0.95,0.41,0.39,0.46
99000,0.97,0.41,0.35,0.43
100000,0.92,0.37,0.44,0.5
