steps,best_pred_error_rate
250,"{0: 0.96, 1: 0.54, 2: 0.5, 3: 0.45, 4: 0.48}"
500,"{0: 0.92, 1: 0.37, 2: 0.37, 3: 0.4, 4: 0.31}"
750,"{0: 0.92, 1: 0.4, 2: 0.34, 3: 0.4, 4: 0.37}"
1000,"{0: 0.98, 1: 0.42, 2: 0.33, 3: 0.42, 4: 0.4}"
1250,"{0: 0.95, 1: 0.4, 2: 0.38, 3: 0.47, 4: 0.43}"
1500,"{0: 0.92, 1: 0.37, 2: 0.36, 3: 0.37, 4: 0.4}"
1750,"{0: 0.94, 1: 0.45, 2: 0.47, 3: 0.43, 4: 0.36}"
2000,"{0: 0.94, 1: 0.37, 2: 0.47, 3: 0.43, 4: 0.39}"
2250,"{0: 0.93, 1: 0.39, 2: 0.41, 3: 0.45, 4: 0.41}"
2500,"{0: 0.95, 1: 0.49, 2: 0.43, 3: 0.41, 4: 0.3}"
2750,"{0: 0.95, 1: 0.43, 2: 0.38, 3: 0.3, 4: 0.4}"
3000,"{0: 0.95, 1: 0.3, 2: 0.26, 3: 0.29, 4: 0.34}"
3250,"{0: 0.96, 1: 0.4, 2: 0.36, 3: 0.39, 4: 0.42}"
3500,"{0: 0.94, 1: 0.42, 2: 0.33, 3: 0.37, 4: 0.42}"
3750,"{0: 0.95, 1: 0.37, 2: 0.46, 3: 0.42, 4: 0.39}"
4000,"{0: 0.94, 1: 0.41, 2: 0.39, 3: 0.42, 4: 0.33}"
4250,"{0: 0.95, 1: 0.41, 2: 0.38, 3: 0.42, 4: 0.38}"
4500,"{0: 0.95, 1: 0.35, 2: 0.44, 3: 0.37, 4: 0.34}"
4750,"{0: 0.84, 1: 0.39, 2: 0.34, 3: 0.26, 4: 0.35}"
5000,"{0: 0.9, 1: 0.47, 2: 0.43, 3: 0.33, 4: 0.37}"
5250,"{0: 0.95, 1: 0.33, 2: 0.39, 3: 0.33, 4: 0.45}"
5500,"{0: 0.92, 1: 0.43, 2: 0.46, 3: 0.32, 4: 0.35}"
5750,"{0: 0.93, 1: 0.38, 2: 0.44, 3: 0.41, 4: 0.49}"
6000,"{0: 0.93, 1: 0.44, 2: 0.33, 3: 0.5, 4: 0.36}"
6250,"{0: 0.96, 1: 0.48, 2: 0.35, 3: 0.44, 4: 0.4}"
6500,"{0: 0.96, 1: 0.41, 2: 0.4, 3: 0.39, 4: 0.33}"
6750,"{0: 0.9, 1: 0.47, 2: 0.3, 3: 0.41, 4: 0.33}"
7000,"{0: 0.93, 1: 0.38, 2: 0.35, 3: 0.31, 4: 0.37}"
7250,"{0: 0.93, 1: 0.35, 2: 0.34, 3: 0.35, 4: 0.36}"
7500,"{0: 0.94, 1: 0.38, 2: 0.39, 3: 0.31, 4: 0.39}"
7750,"{0: 0.97, 1: 0.35, 2: 0.39, 3: 0.44, 4: 0.36}"
8000,"{0: 0.97, 1: 0.32, 2: 0.31, 3: 0.38, 4: 0.36}"
8250,"{0: 0.91, 1: 0.44, 2: 0.39, 3: 0.45, 4: 0.39}"
8500,"{0: 0.92, 1: 0.41, 2: 0.34, 3: 0.35, 4: 0.46}"
8750,"{0: 0.92, 1: 0.28, 2: 0.37, 3: 0.34, 4: 0.36}"
9000,"{0: 0.91, 1: 0.3, 2: 0.35, 3: 0.43, 4: 0.34}"
9250,"{0: 0.96, 1: 0.35, 2: 0.51, 3: 0.38, 4: 0.42}"
9500,"{0: 0.94, 1: 0.46, 2: 0.37, 3: 0.35, 4: 0.4}"
9750,"{0: 0.96, 1: 0.45, 2: 0.31, 3: 0.31, 4: 0.4}"
10000,"{0: 0.92, 1: 0.39, 2: 0.32, 3: 0.34, 4: 0.36}"
10250,"{0: 0.95, 1: 0.41, 2: 0.38, 3: 0.36, 4: 0.28}"
10500,"{0: 0.94, 1: 0.48, 2: 0.39, 3: 0.35, 4: 0.47}"
10750,"{0: 0.96, 1: 0.44, 2: 0.47, 3: 0.34, 4: 0.39}"
11000,"{0: 0.95, 1: 0.32, 2: 0.48, 3: 0.37, 4: 0.47}"
11250,"{0: 0.93, 1: 0.43, 2: 0.37, 3: 0.36, 4: 0.45}"
11500,"{0: 1.0, 1: 0.44, 2: 0.38, 3: 0.39, 4: 0.39}"
11750,"{0: 0.94, 1: 0.36, 2: 0.38, 3: 0.44, 4: 0.42}"
12000,"{0: 0.93, 1: 0.42, 2: 0.4, 3: 0.41, 4: 0.33}"
12250,"{0: 0.97, 1: 0.44, 2: 0.34, 3: 0.36, 4: 0.37}"
12500,"{0: 0.99, 1: 0.39, 2: 0.33, 3: 0.43, 4: 0.42}"
12750,"{0: 0.97, 1: 0.37, 2: 0.34, 3: 0.37, 4: 0.44}"
13000,"{0: 0.96, 1: 0.45, 2: 0.32, 3: 0.4, 4: 0.32}"
13250,"{0: 0.98, 1: 0.41, 2: 0.48, 3: 0.36, 4: 0.47}"
13500,"{0: 0.95, 1: 0.4, 2: 0.43, 3: 0.43, 4: 0.36}"
13750,"{0: 0.93, 1: 0.28, 2: 0.26, 3: 0.37, 4: 0.31}"
14000,"{0: 0.95, 1: 0.32, 2: 0.39, 3: 0.43, 4: 0.36}"
14250,"{0: 0.9, 1: 0.36, 2: 0.35, 3: 0.26, 4: 0.37}"
14500,"{0: 0.92, 1: 0.4, 2: 0.33, 3: 0.42, 4: 0.32}"
14750,"{0: 0.88, 1: 0.48, 2: 0.41, 3: 0.33, 4: 0.43}"
15000,"{0: 0.94, 1: 0.34, 2: 0.45, 3: 0.39, 4: 0.34}"
15250,"{0: 0.96, 1: 0.35, 2: 0.34, 3: 0.41, 4: 0.42}"
15500,"{0: 0.98, 1: 0.46, 2: 0.39, 3: 0.52, 4: 0.4}"
15750,"{0: 0.94, 1: 0.31, 2: 0.39, 3: 0.42, 4: 0.42}"
16000,"{0: 0.98, 1: 0.31, 2: 0.36, 3: 0.36, 4: 0.4}"
16250,"{0: 0.96, 1: 0.35, 2: 0.32, 3: 0.36, 4: 0.41}"
