steps,best_pred_error_rate
250,"{0: 0.98, 1: 0.43, 2: 0.51, 3: 0.51, 4: 0.54}"
500,"{0: 0.96, 1: 0.4, 2: 0.45, 3: 0.36, 4: 0.4}"
750,"{0: 0.97, 1: 0.39, 2: 0.43, 3: 0.33, 4: 0.44}"
1000,"{0: 0.97, 1: 0.45, 2: 0.41, 3: 0.46, 4: 0.42}"
1250,"{0: 0.94, 1: 0.35, 2: 0.35, 3: 0.34, 4: 0.32}"
1500,"{0: 0.98, 1: 0.46, 2: 0.42, 3: 0.38, 4: 0.4}"
1750,"{0: 0.96, 1: 0.36, 2: 0.31, 3: 0.49, 4: 0.38}"
2000,"{0: 0.92, 1: 0.41, 2: 0.41, 3: 0.42, 4: 0.31}"
2250,"{0: 0.92, 1: 0.39, 2: 0.4, 3: 0.23, 4: 0.39}"
2500,"{0: 0.94, 1: 0.37, 2: 0.43, 3: 0.4, 4: 0.51}"
2750,"{0: 0.98, 1: 0.48, 2: 0.45, 3: 0.37, 4: 0.48}"
3000,"{0: 0.95, 1: 0.37, 2: 0.34, 3: 0.37, 4: 0.34}"
3250,"{0: 0.96, 1: 0.43, 2: 0.4, 3: 0.34, 4: 0.3}"
3500,"{0: 0.97, 1: 0.38, 2: 0.35, 3: 0.4, 4: 0.44}"
3750,"{0: 0.92, 1: 0.32, 2: 0.35, 3: 0.51, 4: 0.35}"
4000,"{0: 0.97, 1: 0.35, 2: 0.23, 3: 0.3, 4: 0.41}"
4250,"{0: 0.93, 1: 0.33, 2: 0.3, 3: 0.43, 4: 0.32}"
4500,"{0: 0.92, 1: 0.35, 2: 0.35, 3: 0.41, 4: 0.42}"
4750,"{0: 0.96, 1: 0.44, 2: 0.37, 3: 0.44, 4: 0.42}"
5000,"{0: 0.98, 1: 0.39, 2: 0.42, 3: 0.46, 4: 0.43}"
5250,"{0: 0.9, 1: 0.45, 2: 0.35, 3: 0.41, 4: 0.35}"
5500,"{0: 0.94, 1: 0.28, 2: 0.32, 3: 0.41, 4: 0.31}"
5750,"{0: 0.98, 1: 0.4, 2: 0.41, 3: 0.33, 4: 0.43}"
6000,"{0: 0.92, 1: 0.36, 2: 0.41, 3: 0.37, 4: 0.37}"
6250,"{0: 0.95, 1: 0.44, 2: 0.37, 3: 0.36, 4: 0.35}"
6500,"{0: 0.94, 1: 0.41, 2: 0.31, 3: 0.35, 4: 0.4}"
6750,"{0: 0.94, 1: 0.38, 2: 0.33, 3: 0.36, 4: 0.38}"
7000,"{0: 0.95, 1: 0.49, 2: 0.33, 3: 0.38, 4: 0.4}"
