steps,best_pred_error_rate
250,"{0: 0.94, 1: 0.54, 2: 0.5, 3: 0.47, 4: 0.56}"
500,"{0: 0.96, 1: 0.42, 2: 0.36, 3: 0.43, 4: 0.39}"
750,"{0: 0.94, 1: 0.45, 2: 0.36, 3: 0.4, 4: 0.35}"
1000,"{0: 0.93, 1: 0.42, 2: 0.42, 3: 0.35, 4: 0.4}"
1250,"{0: 0.93, 1: 0.46, 2: 0.39, 3: 0.36, 4: 0.34}"
1500,"{0: 0.95, 1: 0.43, 2: 0.32, 3: 0.45, 4: 0.35}"
1750,"{0: 0.95, 1: 0.46, 2: 0.43, 3: 0.4, 4: 0.43}"
2000,"{0: 0.95, 1: 0.43, 2: 0.37, 3: 0.4, 4: 0.29}"
2250,"{0: 0.96, 1: 0.39, 2: 0.34, 3: 0.44, 4: 0.32}"
2500,"{0: 0.93, 1: 0.4, 2: 0.45, 3: 0.34, 4: 0.37}"
2750,"{0: 0.97, 1: 0.39, 2: 0.42, 3: 0.41, 4: 0.44}"
3000,"{0: 0.95, 1: 0.46, 2: 0.43, 3: 0.38, 4: 0.43}"
3250,"{0: 0.97, 1: 0.36, 2: 0.35, 3: 0.46, 4: 0.38}"
3500,"{0: 0.96, 1: 0.4, 2: 0.42, 3: 0.36, 4: 0.41}"
3750,"{0: 0.97, 1: 0.34, 2: 0.44, 3: 0.33, 4: 0.39}"
4000,"{0: 0.97, 1: 0.31, 2: 0.21, 3: 0.4, 4: 0.4}"
4250,"{0: 0.92, 1: 0.37, 2: 0.31, 3: 0.39, 4: 0.38}"
4500,"{0: 0.95, 1: 0.4, 2: 0.34, 3: 0.46, 4: 0.39}"
4750,"{0: 0.95, 1: 0.43, 2: 0.46, 3: 0.46, 4: 0.47}"
5000,"{0: 0.97, 1: 0.38, 2: 0.43, 3: 0.46, 4: 0.41}"
5250,"{0: 0.97, 1: 0.37, 2: 0.34, 3: 0.45, 4: 0.34}"
5500,"{0: 0.91, 1: 0.3, 2: 0.38, 3: 0.32, 4: 0.43}"
5750,"{0: 0.93, 1: 0.33, 2: 0.34, 3: 0.33, 4: 0.34}"
6000,"{0: 0.95, 1: 0.47, 2: 0.39, 3: 0.45, 4: 0.3}"
6250,"{0: 0.92, 1: 0.42, 2: 0.41, 3: 0.42, 4: 0.38}"
6500,"{0: 0.96, 1: 0.42, 2: 0.37, 3: 0.43, 4: 0.34}"
6750,"{0: 0.91, 1: 0.48, 2: 0.38, 3: 0.36, 4: 0.38}"
7000,"{0: 0.94, 1: 0.32, 2: 0.36, 3: 0.39, 4: 0.24}"
7250,"{0: 0.97, 1: 0.4, 2: 0.37, 3: 0.3, 4: 0.32}"
7500,"{0: 0.96, 1: 0.34, 2: 0.42, 3: 0.36, 4: 0.35}"
7750,"{0: 0.96, 1: 0.33, 2: 0.29, 3: 0.35, 4: 0.32}"
8000,"{0: 0.95, 1: 0.41, 2: 0.41, 3: 0.47, 4: 0.3}"
8250,"{0: 1.0, 1: 0.4, 2: 0.32, 3: 0.43, 4: 0.37}"
8500,"{0: 0.89, 1: 0.36, 2: 0.38, 3: 0.33, 4: 0.33}"
8750,"{0: 0.98, 1: 0.45, 2: 0.41, 3: 0.42, 4: 0.4}"
9000,"{0: 0.98, 1: 0.36, 2: 0.35, 3: 0.39, 4: 0.47}"
9250,"{0: 0.96, 1: 0.35, 2: 0.37, 3: 0.36, 4: 0.4}"
9500,"{0: 0.94, 1: 0.43, 2: 0.36, 3: 0.44, 4: 0.37}"
9750,"{0: 0.97, 1: 0.41, 2: 0.39, 3: 0.42, 4: 0.38}"
10000,"{0: 0.92, 1: 0.4, 2: 0.4, 3: 0.35, 4: 0.37}"
10250,"{0: 0.95, 1: 0.37, 2: 0.41, 3: 0.42, 4: 0.47}"
10500,"{0: 0.96, 1: 0.35, 2: 0.44, 3: 0.56, 4: 0.44}"
10750,"{0: 0.95, 1: 0.3, 2: 0.39, 3: 0.3, 4: 0.39}"
11000,"{0: 0.98, 1: 0.36, 2: 0.4, 3: 0.33, 4: 0.35}"
11250,"{0: 0.94, 1: 0.29, 2: 0.34, 3: 0.37, 4: 0.41}"
11500,"{0: 0.92, 1: 0.42, 2: 0.29, 3: 0.25, 4: 0.31}"
11750,"{0: 0.95, 1: 0.41, 2: 0.36, 3: 0.43, 4: 0.49}"
12000,"{0: 0.93, 1: 0.38, 2: 0.4, 3: 0.4, 4: 0.42}"
12250,"{0: 0.94, 1: 0.36, 2: 0.35, 3: 0.41, 4: 0.36}"
12500,"{0: 0.98, 1: 0.36, 2: 0.34, 3: 0.44, 4: 0.48}"
12750,"{0: 0.93, 1: 0.39, 2: 0.31, 3: 0.32, 4: 0.35}"
13000,"{0: 0.97, 1: 0.31, 2: 0.45, 3: 0.41, 4: 0.53}"
13250,"{0: 0.96, 1: 0.29, 2: 0.42, 3: 0.29, 4: 0.43}"
13500,"{0: 0.95, 1: 0.46, 2: 0.41, 3: 0.44, 4: 0.34}"
13750,"{0: 0.96, 1: 0.32, 2: 0.35, 3: 0.37, 4: 0.37}"
14000,"{0: 0.96, 1: 0.48, 2: 0.38, 3: 0.41, 4: 0.42}"
14250,"{0: 0.93, 1: 0.46, 2: 0.37, 3: 0.35, 4: 0.33}"
14500,"{0: 0.96, 1: 0.4, 2: 0.44, 3: 0.39, 4: 0.45}"
14750,"{0: 0.96, 1: 0.42, 2: 0.36, 3: 0.46, 4: 0.34}"
15000,"{0: 0.94, 1: 0.47, 2: 0.43, 3: 0.56, 4: 0.4}"
15250,"{0: 0.92, 1: 0.41, 2: 0.48, 3: 0.49, 4: 0.41}"
15500,"{0: 0.94, 1: 0.45, 2: 0.45, 3: 0.34, 4: 0.38}"
15750,"{0: 0.99, 1: 0.53, 2: 0.33, 3: 0.38, 4: 0.49}"
16000,"{0: 0.97, 1: 0.28, 2: 0.39, 3: 0.37, 4: 0.44}"
16250,"{0: 0.97, 1: 0.42, 2: 0.4, 3: 0.39, 4: 0.3}"
16500,"{0: 0.93, 1: 0.35, 2: 0.4, 3: 0.35, 4: 0.36}"
16750,"{0: 0.94, 1: 0.41, 2: 0.34, 3: 0.39, 4: 0.41}"
17000,"{0: 0.93, 1: 0.45, 2: 0.41, 3: 0.35, 4: 0.34}"
17250,"{0: 0.94, 1: 0.35, 2: 0.43, 3: 0.41, 4: 0.32}"
17500,"{0: 0.95, 1: 0.41, 2: 0.42, 3: 0.39, 4: 0.46}"
17750,"{0: 0.96, 1: 0.37, 2: 0.4, 3: 0.44, 4: 0.29}"
18000,"{0: 0.95, 1: 0.42, 2: 0.3, 3: 0.4, 4: 0.42}"
18250,"{0: 0.97, 1: 0.36, 2: 0.46, 3: 0.4, 4: 0.38}"
18500,"{0: 0.95, 1: 0.31, 2: 0.4, 3: 0.39, 4: 0.38}"
18750,"{0: 0.93, 1: 0.36, 2: 0.32, 3: 0.48, 4: 0.33}"
19000,"{0: 0.93, 1: 0.47, 2: 0.4, 3: 0.45, 4: 0.44}"
19250,"{0: 0.92, 1: 0.36, 2: 0.47, 3: 0.4, 4: 0.36}"
19500,"{0: 0.93, 1: 0.46, 2: 0.36, 3: 0.35, 4: 0.49}"
19750,"{0: 0.94, 1: 0.4, 2: 0.33, 3: 0.34, 4: 0.43}"
20000,"{0: 0.94, 1: 0.3, 2: 0.33, 3: 0.35, 4: 0.38}"
20250,"{0: 0.93, 1: 0.28, 2: 0.33, 3: 0.35, 4: 0.39}"
20500,"{0: 0.96, 1: 0.35, 2: 0.39, 3: 0.37, 4: 0.37}"
20750,"{0: 0.93, 1: 0.38, 2: 0.43, 3: 0.31, 4: 0.33}"
