steps,best_pred_error_rate
250,"{0: 0.95, 1: 0.53, 2: 0.55, 3: 0.54, 4: 0.55}"
500,"{0: 0.92, 1: 0.48, 2: 0.42, 3: 0.35, 4: 0.4}"
750,"{0: 0.93, 1: 0.44, 2: 0.52, 3: 0.47, 4: 0.42}"
1000,"{0: 0.94, 1: 0.35, 2: 0.41, 3: 0.35, 4: 0.46}"
1250,"{0: 0.94, 1: 0.38, 2: 0.38, 3: 0.3, 4: 0.42}"
1500,"{0: 0.94, 1: 0.41, 2: 0.44, 3: 0.42, 4: 0.29}"
1750,"{0: 0.96, 1: 0.38, 2: 0.37, 3: 0.42, 4: 0.31}"
2000,"{0: 1.0, 1: 0.36, 2: 0.39, 3: 0.39, 4: 0.37}"
2250,"{0: 0.97, 1: 0.47, 2: 0.43, 3: 0.36, 4: 0.4}"
2500,"{0: 0.96, 1: 0.42, 2: 0.43, 3: 0.47, 4: 0.42}"
2750,"{0: 0.94, 1: 0.4, 2: 0.37, 3: 0.27, 4: 0.28}"
3000,"{0: 0.96, 1: 0.4, 2: 0.43, 3: 0.3, 4: 0.45}"
3250,"{0: 0.96, 1: 0.44, 2: 0.39, 3: 0.31, 4: 0.4}"
3500,"{0: 0.95, 1: 0.43, 2: 0.45, 3: 0.48, 4: 0.33}"
3750,"{0: 0.98, 1: 0.47, 2: 0.34, 3: 0.37, 4: 0.33}"
4000,"{0: 0.95, 1: 0.4, 2: 0.36, 3: 0.27, 4: 0.4}"
4250,"{0: 0.95, 1: 0.46, 2: 0.45, 3: 0.32, 4: 0.44}"
4500,"{0: 0.94, 1: 0.42, 2: 0.37, 3: 0.49, 4: 0.36}"
4750,"{0: 0.98, 1: 0.42, 2: 0.34, 3: 0.4, 4: 0.41}"
5000,"{0: 0.93, 1: 0.34, 2: 0.25, 3: 0.36, 4: 0.38}"
5250,"{0: 0.93, 1: 0.34, 2: 0.28, 3: 0.37, 4: 0.31}"
