steps,best_pred_error_rate
250,"{0: 0.92, 1: 0.47, 2: 0.45, 3: 0.54, 4: 0.47}"
500,"{0: 0.95, 1: 0.44, 2: 0.38, 3: 0.36, 4: 0.39}"
750,"{0: 0.94, 1: 0.54, 2: 0.35, 3: 0.44, 4: 0.44}"
1000,"{0: 0.94, 1: 0.47, 2: 0.39, 3: 0.39, 4: 0.36}"
1250,"{0: 0.95, 1: 0.35, 2: 0.37, 3: 0.4, 4: 0.38}"
1500,"{0: 0.95, 1: 0.48, 2: 0.36, 3: 0.4, 4: 0.37}"
1750,"{0: 0.95, 1: 0.36, 2: 0.37, 3: 0.42, 4: 0.41}"
2000,"{0: 0.93, 1: 0.39, 2: 0.39, 3: 0.41, 4: 0.26}"
2250,"{0: 0.95, 1: 0.42, 2: 0.43, 3: 0.37, 4: 0.46}"
2500,"{0: 0.93, 1: 0.27, 2: 0.44, 3: 0.42, 4: 0.41}"
2750,"{0: 0.93, 1: 0.41, 2: 0.43, 3: 0.31, 4: 0.37}"
3000,"{0: 0.97, 1: 0.38, 2: 0.37, 3: 0.48, 4: 0.34}"
3250,"{0: 0.95, 1: 0.44, 2: 0.5, 3: 0.33, 4: 0.41}"
3500,"{0: 0.95, 1: 0.38, 2: 0.35, 3: 0.46, 4: 0.4}"
3750,"{0: 0.95, 1: 0.52, 2: 0.37, 3: 0.39, 4: 0.47}"
4000,"{0: 0.99, 1: 0.39, 2: 0.37, 3: 0.43, 4: 0.38}"
4250,"{0: 0.95, 1: 0.36, 2: 0.38, 3: 0.39, 4: 0.35}"
4500,"{0: 0.93, 1: 0.35, 2: 0.31, 3: 0.39, 4: 0.34}"
4750,"{0: 0.95, 1: 0.31, 2: 0.44, 3: 0.37, 4: 0.32}"
5000,"{0: 0.96, 1: 0.42, 2: 0.37, 3: 0.29, 4: 0.29}"
5250,"{0: 0.94, 1: 0.37, 2: 0.35, 3: 0.38, 4: 0.46}"
5500,"{0: 0.94, 1: 0.45, 2: 0.38, 3: 0.43, 4: 0.37}"
5750,"{0: 0.95, 1: 0.39, 2: 0.4, 3: 0.3, 4: 0.46}"
6000,"{0: 0.91, 1: 0.48, 2: 0.38, 3: 0.36, 4: 0.35}"
6250,"{0: 0.95, 1: 0.34, 2: 0.39, 3: 0.35, 4: 0.28}"
6500,"{0: 0.97, 1: 0.45, 2: 0.45, 3: 0.33, 4: 0.4}"
6750,"{0: 0.96, 1: 0.44, 2: 0.37, 3: 0.36, 4: 0.48}"
7000,"{0: 0.98, 1: 0.32, 2: 0.35, 3: 0.34, 4: 0.37}"
7250,"{0: 0.98, 1: 0.46, 2: 0.4, 3: 0.47, 4: 0.44}"
7500,"{0: 0.94, 1: 0.35, 2: 0.41, 3: 0.4, 4: 0.25}"
7750,"{0: 0.97, 1: 0.38, 2: 0.32, 3: 0.44, 4: 0.45}"
8000,"{0: 0.98, 1: 0.39, 2: 0.42, 3: 0.39, 4: 0.33}"
8250,"{0: 0.97, 1: 0.38, 2: 0.47, 3: 0.46, 4: 0.43}"
8500,"{0: 0.94, 1: 0.37, 2: 0.39, 3: 0.36, 4: 0.36}"
