steps,time_per_step,pred_success,nodes,filtered_nodes
500,0.0002,0.5353,393,0
1000,0.0003,0.5169,530,1
1500,0.0003,0.4862,649,6
2000,0.0004,0.5209,733,8
2500,0.0003,0.5045,806,10
3000,0.0004,0.4995,875,16
3500,0.0004,0.4916,937,27
4000,0.0005,0.523,979,31
4500,0.0004,0.497,1037,39
5000,0.0005,0.504,1082,44
5500,0.0004,0.5015,1122,46
6000,0.0004,0.5081,1151,52
6500,0.0005,0.498,1184,55
7000,0.0005,0.5071,1204,59
7500,0.0004,0.5176,1233,66
8000,0.0006,0.4921,1257,68
8500,0.0012,0.516,1282,74
9000,0.002,0.485,1298,79
9500,0.0021,0.501,1319,83
10000,0.0021,0.5144,1339,85
10500,0.0013,0.5297,1355,88
11000,0.0005,0.516,1365,96
11500,0.0005,0.4931,1373,101
12000,0.0005,0.5133,1379,110
12500,0.0005,0.5107,1384,112
13000,0.0005,0.5025,1394,116
13500,0.0005,0.5102,1397,126
14000,0.0005,0.4926,1406,132
14500,0.0005,0.495,1407,139
15000,0.0005,0.5236,1413,146
15500,0.0005,0.5302,1415,154
16000,0.0005,0.5,1418,161
16500,0.0004,0.5066,1419,167
17000,0.0004,0.497,1426,174
17500,0.0005,0.5302,1426,177
18000,0.0004,0.5241,1426,180
18500,0.0004,0.4946,1428,184
19000,0.0005,0.4931,1428,190
19500,0.0009,0.497,1428,195
20000,0.0008,0.501,1430,198
20500,0.0007,0.5051,1430,199
21000,0.0008,0.5155,1431,201
21500,0.0005,0.5198,1431,201
22000,0.0004,0.5015,1433,205
22500,0.0004,0.5051,1437,207
23000,0.0004,0.5149,1439,208
23500,0.0004,0.5056,1439,209
24000,0.0004,0.5071,1440,210
24500,0.0005,0.5071,1442,212
25000,0.0004,0.5181,1442,212
25500,0.0005,0.498,1442,214
26000,0.0004,0.5051,1442,214
26500,0.0004,0.4826,1442,214
27000,0.0004,0.5247,1442,215
27500,0.0005,0.5176,1443,217
28000,0.0005,0.4789,1443,219
28500,0.0004,0.5092,1443,220
29000,0.0005,0.5123,1444,221
29500,0.0004,0.503,1444,224
30000,0.0005,0.5061,1444,224
30500,0.0006,0.4946,1444,225
31000,0.0007,0.501,1444,227
31500,0.0008,0.4836,1444,229
32000,0.0007,0.5061,1444,230
32500,0.0007,0.5025,1444,230
33000,0.0004,0.5025,1444,232
33500,0.0004,0.5035,1444,235
34000,0.0004,0.5208,1444,238
34500,0.0004,0.5263,1444,239
35000,0.0004,0.4888,1444,241
35500,0.0004,0.4975,1444,243
36000,0.0004,0.5097,1444,244
36500,0.0004,0.5139,1444,247
37000,0.0004,0.4921,1444,249
37500,0.0005,0.5035,1444,249
38000,0.0005,0.5247,1444,249
38500,0.0005,0.5139,1444,251
39000,0.0005,0.5274,1444,253
39500,0.0005,0.4946,1444,254
40000,0.0005,0.5198,1444,256
40500,0.0005,0.5066,1444,257
41000,0.0005,0.5176,1444,260
41500,0.0008,0.5302,1444,261
42000,0.0008,0.503,1444,263
42500,0.0008,0.5394,1444,265
43000,0.0008,0.523,1444,268
43500,0.0006,0.5051,1444,271
44000,0.0005,0.5165,1444,273
44500,0.0005,0.5219,1444,273
45000,0.0005,0.484,1444,279
45500,0.0005,0.5263,1444,279
46000,0.0005,0.4936,1444,281
46500,0.0005,0.5247,1444,281
47000,0.0005,0.5056,1444,283
47500,0.0005,0.504,1444,284
48000,0.0005,0.501,1444,287
48500,0.0005,0.4975,1444,288
49000,0.0004,0.5203,1444,289
49500,0.0005,0.5102,1444,289
50000,0.0005,0.5171,1444,290
