total_steps,0,1,2,3
500,0.93,0.35,0.4,0.42
1000,0.93,0.24,0.25,0.35
1500,0.95,0.32,0.25,0.38
2000,0.95,0.36,0.4,0.26
2500,0.96,0.35,0.34,0.39
3000,0.95,0.31,0.34,0.31
3500,0.97,0.31,0.3,0.33
4000,0.95,0.31,0.26,0.35
4500,0.94,0.28,0.48,0.39
5000,0.96,0.32,0.28,0.27
5500,0.94,0.38,0.36,0.3
6000,0.98,0.32,0.34,0.26
6500,0.93,0.32,0.35,0.43
7000,0.94,0.42,0.4,0.46
7500,0.97,0.41,0.29,0.39
8000,0.96,0.39,0.36,0.3
8500,0.93,0.33,0.27,0.26
9000,0.9,0.33,0.37,0.23
9500,0.93,0.33,0.32,0.43
10000,0.96,0.43,0.24,0.34
10500,0.97,0.31,0.28,0.3
11000,0.92,0.39,0.42,0.34
11500,0.95,0.33,0.37,0.37
12000,0.93,0.32,0.32,0.36
12500,0.95,0.3,0.41,0.24
13000,0.96,0.28,0.32,0.32
13500,0.94,0.36,0.28,0.34
14000,0.96,0.34,0.31,0.33
14500,0.93,0.31,0.39,0.3
15000,0.92,0.25,0.28,0.32
15500,0.98,0.32,0.33,0.25
16000,0.95,0.25,0.36,0.33
16500,0.93,0.27,0.33,0.28
17000,0.86,0.29,0.25,0.29
17500,0.94,0.26,0.47,0.35
18000,0.96,0.36,0.44,0.33
18500,0.93,0.37,0.29,0.45
19000,0.95,0.33,0.33,0.3
19500,0.92,0.23,0.39,0.3
20000,0.92,0.34,0.27,0.28
20500,0.91,0.35,0.33,0.36
21000,0.96,0.34,0.4,0.36
21500,0.98,0.3,0.26,0.36
22000,0.92,0.28,0.34,0.29
22500,0.9,0.28,0.29,0.3
23000,0.98,0.45,0.38,0.37
23500,0.97,0.32,0.34,0.37
24000,0.93,0.3,0.37,0.31
24500,0.95,0.31,0.39,0.32
25000,0.95,0.27,0.37,0.32
25500,0.97,0.33,0.26,0.3
26000,0.94,0.43,0.39,0.35
26500,0.93,0.21,0.28,0.27
27000,0.95,0.29,0.32,0.26
27500,0.99,0.33,0.37,0.35
28000,0.93,0.34,0.42,0.3
28500,0.92,0.31,0.35,0.27
29000,0.94,0.39,0.34,0.37
29500,0.96,0.28,0.29,0.36
30000,0.95,0.27,0.36,0.35
30500,0.95,0.31,0.36,0.37
31000,0.94,0.32,0.32,0.26
31500,0.98,0.47,0.37,0.32
32000,0.99,0.36,0.36,0.39
32500,0.97,0.32,0.24,0.29
33000,0.99,0.35,0.4,0.4
33500,0.87,0.36,0.25,0.37
34000,0.94,0.34,0.33,0.33
34500,0.91,0.3,0.24,0.34
35000,0.9,0.3,0.34,0.32
35500,0.99,0.47,0.35,0.47
36000,0.94,0.36,0.42,0.28
36500,0.97,0.48,0.35,0.33
37000,0.95,0.27,0.41,0.31
37500,0.97,0.4,0.34,0.32
38000,0.94,0.35,0.31,0.34
38500,0.93,0.26,0.41,0.39
39000,0.99,0.29,0.35,0.35
39500,0.96,0.27,0.29,0.29
40000,0.96,0.29,0.25,0.29
40500,0.92,0.36,0.32,0.35
41000,0.92,0.45,0.25,0.36
41500,0.91,0.36,0.26,0.29
42000,0.92,0.3,0.37,0.34
42500,0.97,0.35,0.38,0.31
43000,0.96,0.36,0.49,0.38
43500,0.92,0.37,0.32,0.33
44000,0.92,0.39,0.32,0.39
44500,0.95,0.44,0.37,0.33
45000,0.96,0.31,0.34,0.36
45500,0.95,0.37,0.22,0.28
46000,0.97,0.28,0.34,0.21
46500,0.95,0.28,0.39,0.44
47000,0.95,0.32,0.34,0.3
47500,0.94,0.33,0.38,0.31
48000,0.9,0.37,0.23,0.28
48500,0.95,0.26,0.36,0.27
49000,0.98,0.29,0.22,0.25
49500,0.93,0.31,0.33,0.27
50000,0.95,0.35,0.31,0.35
