total_steps,0,1,2,3
1000,0.96,0.32,0.42,0.4
2000,0.95,0.35,0.32,0.32
3000,0.94,0.36,0.25,0.34
4000,0.98,0.35,0.35,0.37
5000,0.94,0.34,0.32,0.34
6000,0.99,0.38,0.34,0.34
7000,0.91,0.37,0.27,0.33
8000,0.95,0.32,0.34,0.28
9000,0.93,0.36,0.36,0.38
10000,0.93,0.3,0.34,0.3
11000,0.95,0.3,0.37,0.33
12000,0.99,0.41,0.39,0.38
13000,0.98,0.31,0.28,0.26
14000,0.99,0.33,0.3,0.36
15000,0.93,0.36,0.29,0.39
16000,0.94,0.3,0.3,0.23
17000,0.96,0.39,0.35,0.37
18000,0.92,0.34,0.34,0.33
19000,0.93,0.35,0.27,0.28
20000,0.96,0.25,0.22,0.33
21000,0.89,0.41,0.4,0.42
22000,0.94,0.28,0.32,0.29
23000,0.97,0.23,0.41,0.39
24000,0.96,0.36,0.38,0.25
25000,0.98,0.31,0.27,0.32
26000,0.93,0.39,0.32,0.35
27000,0.93,0.31,0.28,0.37
28000,0.92,0.27,0.25,0.39
29000,0.96,0.29,0.39,0.4
30000,0.96,0.32,0.38,0.35
31000,0.89,0.32,0.31,0.35
32000,0.96,0.36,0.4,0.32
33000,0.97,0.35,0.37,0.35
34000,0.94,0.36,0.37,0.33
35000,0.95,0.3,0.29,0.29
36000,0.96,0.45,0.4,0.39
37000,0.92,0.32,0.23,0.31
38000,0.91,0.36,0.33,0.28
39000,0.96,0.39,0.28,0.41
40000,0.98,0.35,0.31,0.35
41000,0.96,0.33,0.28,0.3
42000,0.95,0.3,0.44,0.35
43000,0.87,0.33,0.4,0.23
44000,0.91,0.36,0.39,0.42
45000,0.99,0.41,0.32,0.39
46000,0.94,0.23,0.4,0.38
47000,0.91,0.34,0.35,0.31
48000,0.92,0.4,0.32,0.35
49000,0.97,0.39,0.32,0.32
50000,0.98,0.38,0.33,0.3
51000,0.92,0.35,0.32,0.34
52000,0.94,0.3,0.32,0.35
53000,0.94,0.35,0.27,0.32
54000,0.97,0.28,0.36,0.34
55000,0.95,0.37,0.27,0.32
56000,0.87,0.24,0.36,0.3
57000,0.96,0.41,0.38,0.37
58000,0.97,0.37,0.27,0.34
59000,0.94,0.35,0.29,0.32
60000,0.97,0.3,0.36,0.26
61000,0.89,0.35,0.32,0.48
62000,0.91,0.3,0.29,0.29
63000,0.96,0.34,0.31,0.36
64000,0.95,0.36,0.26,0.25
65000,0.95,0.32,0.28,0.29
66000,0.97,0.33,0.26,0.23
67000,0.96,0.32,0.27,0.33
68000,0.95,0.33,0.3,0.26
69000,1.0,0.41,0.39,0.31
70000,0.94,0.36,0.35,0.35
71000,0.91,0.32,0.38,0.31
72000,0.94,0.34,0.41,0.37
73000,0.92,0.29,0.28,0.3
74000,0.93,0.26,0.29,0.35
75000,0.91,0.32,0.34,0.35
76000,0.94,0.36,0.24,0.33
77000,0.97,0.29,0.36,0.39
78000,0.92,0.48,0.29,0.28
79000,0.92,0.32,0.33,0.31
80000,0.97,0.32,0.35,0.4
81000,0.9,0.37,0.32,0.33
82000,0.98,0.26,0.31,0.35
83000,0.95,0.31,0.32,0.35
84000,0.95,0.28,0.3,0.34
85000,0.92,0.35,0.35,0.25
86000,0.93,0.38,0.24,0.32
87000,0.93,0.33,0.33,0.3
88000,0.95,0.35,0.31,0.35
89000,0.95,0.32,0.34,0.23
90000,0.94,0.37,0.33,0.38
91000,0.99,0.42,0.31,0.37
92000,0.94,0.41,0.38,0.38
93000,0.95,0.37,0.33,0.32
94000,0.86,0.36,0.29,0.33
95000,0.94,0.29,0.3,0.4
96000,0.98,0.47,0.38,0.38
97000,0.92,0.32,0.33,0.34
98000,0.92,0.37,0.39,0.38
99000,0.93,0.43,0.33,0.32
100000,0.94,0.43,0.41,0.48
