steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0,0.04,109,0
500,0.0001,0.204,181,0
750,0.0002,0.212,229,0
1000,0.0001,0.248,265,0
1250,0.0002,0.276,283,0
1500,0.0002,0.324,299,0
1750,0.0001,0.248,313,0
2000,0.0001,0.344,321,0
2250,0.0001,0.364,331,0
2500,0.0001,0.368,339,0
2750,0.0001,0.36,346,0
3000,0.0001,0.42,349,0
3250,0.0002,0.392,353,0
3500,0.0001,0.448,357,0
3750,0.0001,0.316,360,0
4000,0.0001,0.356,361,0
4250,0.0002,0.344,364,0
4500,0.0002,0.436,368,0
4750,0.0001,0.292,368,2
5000,0.0002,0.456,368,2
5250,0.0002,0.364,369,4
5500,0.0001,0.316,369,4
5750,0.0001,0.332,370,5
6000,0.0001,0.44,370,5
6250,0.0002,0.46,370,7
6500,0.0002,0.416,371,7
6750,0.0001,0.38,371,7
7000,0.0002,0.368,372,10
7250,0.0002,0.412,372,12
7500,0.0001,0.376,372,12
7750,0.0001,0.344,372,15
8000,0.0002,0.444,372,17
8250,0.0001,0.376,372,18
8500,0.0002,0.36,372,18
8750,0.0002,0.332,372,19
9000,0.0004,0.412,372,20
9250,0.0001,0.32,372,21
9500,0.0001,0.42,372,21
9750,0.0002,0.384,372,22
10000,0.0002,0.42,372,23
10250,0.0001,0.372,372,24
10500,0.0001,0.404,372,24
10750,0.0001,0.524,372,26
11000,0.0002,0.432,372,27
11250,0.0001,0.388,372,28
11500,0.0001,0.292,372,31
11750,0.0001,0.324,372,34
12000,0.0001,0.368,372,35
12250,0.0002,0.444,372,35
12500,0.0001,0.388,372,35
12750,0.0001,0.4,372,35
13000,0.0001,0.416,372,35
13250,0.0001,0.416,372,37
13500,0.0002,0.396,372,38
13750,0.0001,0.404,372,38
14000,0.0001,0.356,372,39
14250,0.0002,0.364,372,39
14500,0.0001,0.356,372,42
14750,0.0001,0.388,372,43
15000,0.0001,0.396,372,45
15250,0.0001,0.356,372,47
15500,0.0001,0.408,372,47
15750,0.0001,0.42,372,48
16000,0.0001,0.36,372,50
16250,0.0001,0.4,372,50
16500,0.0002,0.32,372,51
16750,0.0001,0.444,372,53
17000,0.0002,0.356,372,54
17250,0.0001,0.368,372,56
17500,0.0002,0.388,372,56
17750,0.0001,0.324,372,56
18000,0.0001,0.32,372,57
18250,0.0001,0.352,372,57
18500,0.0001,0.44,372,59
18750,0.0001,0.348,372,60
19000,0.0001,0.432,372,61
19250,0.0001,0.368,372,62
19500,0.0002,0.452,372,62
19750,0.0001,0.404,372,62
20000,0.0001,0.392,372,63
20250,0.0001,0.404,372,64
20500,0.0001,0.36,372,66
20750,0.0001,0.4,372,66
21000,0.0001,0.372,372,66
21250,0.0001,0.42,372,66
21500,0.0001,0.48,372,68
21750,0.0002,0.364,372,69
22000,0.0001,0.404,372,70
22250,0.0002,0.372,372,72
22500,0.0001,0.384,372,72
22750,0.0001,0.36,372,75
23000,0.0001,0.444,372,75
23250,0.0002,0.372,372,75
23500,0.0001,0.332,372,76
23750,0.0001,0.396,372,77
24000,0.0002,0.372,372,78
24250,0.0001,0.36,372,80
24500,0.0002,0.416,372,82
24750,0.0002,0.292,372,84
25000,0.0001,0.4,372,84
