steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.076,125,0
500,0.0001,0.136,174,0
750,0.0001,0.168,221,0
1000,0.0002,0.256,248,0
1250,0.0001,0.276,272,0
1500,0.0001,0.312,292,0
1750,0.0001,0.292,312,0
2000,0.0001,0.348,325,0
2250,0.0002,0.36,332,0
2500,0.0001,0.36,334,0
2750,0.0002,0.332,337,0
3000,0.0001,0.28,342,0
3250,0.0001,0.316,349,0
3500,0.0001,0.412,354,1
3750,0.0002,0.344,359,1
4000,0.0001,0.328,362,1
4250,0.0001,0.348,364,1
4500,0.0002,0.336,365,1
4750,0.0001,0.504,366,1
5000,0.0001,0.416,366,2
5250,0.0001,0.424,366,2
5500,0.0001,0.376,367,2
5750,0.0001,0.468,369,2
6000,0.0001,0.368,369,3
6250,0.0001,0.436,369,4
6500,0.0001,0.436,369,6
6750,0.0001,0.388,369,7
7000,0.0001,0.284,369,8
7250,0.0002,0.292,370,13
7500,0.0001,0.396,371,14
7750,0.0002,0.368,371,14
8000,0.0001,0.348,371,15
8250,0.0002,0.416,371,15
8500,0.0002,0.36,372,16
8750,0.0001,0.436,372,19
9000,0.0001,0.396,372,19
9250,0.0002,0.368,372,20
9500,0.0002,0.344,372,21
9750,0.0001,0.44,372,21
10000,0.0001,0.352,372,24
10250,0.0001,0.384,372,24
10500,0.0002,0.348,372,25
10750,0.0001,0.316,372,26
11000,0.0002,0.368,372,27
11250,0.0001,0.32,372,29
11500,0.0001,0.304,372,30
11750,0.0001,0.38,372,30
12000,0.0001,0.464,372,32
12250,0.0001,0.32,372,33
12500,0.0001,0.368,372,34
12750,0.0002,0.324,372,35
13000,0.0001,0.404,372,35
13250,0.0001,0.348,372,36
13500,0.0002,0.384,372,39
13750,0.0001,0.38,372,40
14000,0.0001,0.324,372,40
14250,0.0002,0.396,372,41
14500,0.0001,0.336,372,43
14750,0.0002,0.416,372,47
15000,0.0001,0.372,372,48
15250,0.0001,0.412,372,49
15500,0.0002,0.332,372,50
15750,0.0001,0.388,372,51
16000,0.0002,0.364,372,52
16250,0.0001,0.364,372,52
16500,0.0001,0.44,372,53
16750,0.0001,0.44,372,54
17000,0.0002,0.408,372,54
17250,0.0001,0.42,372,54
17500,0.0001,0.388,372,54
17750,0.0001,0.324,372,54
18000,0.0001,0.388,372,55
18250,0.0002,0.42,372,55
18500,0.0002,0.464,372,55
18750,0.0001,0.44,372,57
19000,0.0002,0.472,372,58
19250,0.0001,0.336,372,61
19500,0.0001,0.38,372,64
19750,0.0001,0.432,372,65
20000,0.0001,0.352,372,65
20250,0.0001,0.396,372,65
20500,0.0002,0.404,372,65
20750,0.0002,0.424,372,65
21000,0.0001,0.468,372,66
21250,0.0001,0.396,372,67
21500,0.0001,0.496,372,69
21750,0.0002,0.368,372,71
22000,0.0001,0.376,372,71
22250,0.0001,0.372,372,72
22500,0.0002,0.392,372,73
22750,0.0001,0.32,372,74
23000,0.0002,0.44,372,75
23250,0.0002,0.384,372,75
23500,0.0001,0.408,372,75
23750,0.0001,0.376,372,76
24000,0.0002,0.392,372,76
24250,0.0001,0.404,372,78
24500,0.0002,0.42,372,79
24750,0.0001,0.34,372,79
25000,0.0001,0.464,372,80
