steps,time_per_step,pred_success,nodes,filtered_nodes
1000,0.0002,0.6517,379,0
2000,0.0002,0.6725,495,7
3000,0.0004,0.7028,572,13
4000,0.0004,0.6995,634,23
5000,0.0004,0.6957,689,29
6000,0.0005,0.7023,742,37
7000,0.0005,0.7059,784,46
8000,0.0005,0.7296,827,55
9000,0.0005,0.6977,861,66
10000,0.0005,0.7282,898,78
11000,0.0004,0.7425,936,90
12000,0.0003,0.723,960,100
13000,0.0003,0.7108,980,110
14000,0.0003,0.7238,1001,125
15000,0.0003,0.7319,1022,132
16000,0.0003,0.7331,1041,148
17000,0.0003,0.7234,1062,151
18000,0.0003,0.7443,1081,157
19000,0.0003,0.7085,1096,163
20000,0.0003,0.7302,1113,167
21000,0.0003,0.7292,1128,176
22000,0.0003,0.7222,1142,178
23000,0.0003,0.7431,1151,182
24000,0.0003,0.7387,1156,187
25000,0.0003,0.7389,1168,187
26000,0.0003,0.7164,1175,188
27000,0.0003,0.7439,1184,192
28000,0.0003,0.7264,1196,195
29000,0.0003,0.7395,1202,199
30000,0.0003,0.7351,1214,202
31000,0.0003,0.733,1222,203
32000,0.0004,0.7435,1229,209
33000,0.0003,0.7284,1236,212
34000,0.0003,0.7449,1245,215
35000,0.0004,0.7378,1248,217
36000,0.0003,0.7143,1255,220
37000,0.0003,0.7343,1264,224
38000,0.0004,0.7306,1268,227
39000,0.0003,0.7334,1275,227
40000,0.0003,0.7489,1279,230
41000,0.0004,0.7522,1280,231
42000,0.0006,0.7412,1284,232
43000,0.0006,0.7496,1288,234
44000,0.0006,0.7286,1294,240
45000,0.0006,0.7506,1303,242
46000,0.0006,0.7437,1310,243
47000,0.0006,0.7526,1313,248
48000,0.0005,0.7476,1317,253
49000,0.0003,0.7438,1322,255
50000,0.0004,0.7481,1326,257
51000,0.0003,0.7374,1329,258
52000,0.0003,0.7504,1334,260
53000,0.0003,0.7271,1336,264
54000,0.0003,0.7491,1338,267
55000,0.0004,0.7309,1339,271
56000,0.0003,0.7408,1341,275
57000,0.0003,0.7328,1347,277
58000,0.0003,0.7481,1348,279
59000,0.0003,0.7481,1349,281
60000,0.0003,0.7448,1351,282
61000,0.0004,0.7373,1352,288
62000,0.0004,0.739,1357,290
63000,0.0004,0.7231,1359,292
64000,0.0003,0.75,1361,296
65000,0.0003,0.7481,1362,301
66000,0.0003,0.7461,1365,304
67000,0.0004,0.7457,1366,306
68000,0.0004,0.7429,1366,308
69000,0.0004,0.7438,1367,312
70000,0.0004,0.7397,1367,316
71000,0.0004,0.7491,1371,322
72000,0.0004,0.7334,1374,328
73000,0.0003,0.7413,1375,331
74000,0.0004,0.7396,1375,335
75000,0.0004,0.7294,1376,337
76000,0.0006,0.735,1376,344
77000,0.0006,0.728,1378,353
78000,0.0006,0.7536,1380,362
79000,0.0006,0.7517,1381,363
80000,0.0006,0.7302,1383,370
81000,0.0006,0.7638,1383,376
82000,0.0005,0.7383,1384,380
83000,0.0003,0.7506,1384,382
84000,0.0003,0.747,1385,387
85000,0.0003,0.7419,1387,391
86000,0.0003,0.7429,1389,397
87000,0.0004,0.7523,1391,400
88000,0.0004,0.7513,1392,402
89000,0.0003,0.7535,1394,406
90000,0.0004,0.7403,1396,409
91000,0.0003,0.7569,1396,415
92000,0.0004,0.7307,1397,416
93000,0.0004,0.7373,1399,418
94000,0.0003,0.7593,1400,423
95000,0.0003,0.7805,1401,426
96000,0.0004,0.7413,1402,431
97000,0.0003,0.7469,1403,433
98000,0.0004,0.7483,1403,437
99000,0.0004,0.7388,1403,440
100000,0.0004,0.7225,1405,441
