steps,time_per_step,nodes,filtered_nodes
2000,0.0003,546,1
4001,0.0003,767,4
6002,0.0003,932,17
8000,0.0004,1069,27
10001,0.0003,1193,40
12000,0.0004,1270,55
14000,0.0004,1349,72
16000,0.0004,1421,86
18002,0.0004,1482,103
20000,0.0004,1539,114
22001,0.0004,1592,122
24000,0.0004,1640,134
26001,0.0004,1681,143
28002,0.0004,1711,150
30002,0.0004,1747,162
32002,0.0004,1775,165
34000,0.0004,1805,171
36002,0.0004,1834,181
38002,0.0004,1851,189
40000,0.0004,1865,195
42001,0.0004,1885,200
44001,0.0004,1904,203
46001,0.0004,1923,210
48002,0.0005,1936,214
50002,0.0004,1950,217
52001,0.0004,1974,220
54001,0.0004,1991,226
56000,0.0004,2013,236
58000,0.0005,2028,241
60001,0.0004,2040,246
62000,0.0004,2053,251
64000,0.0004,2059,258
66002,0.0004,2071,261
68000,0.0004,2081,265
70002,0.0004,2092,276
72002,0.0005,2099,283
74002,0.0004,2108,287
76000,0.0004,2121,296
78000,0.0004,2127,306
80001,0.0005,2132,319
82002,0.0004,2144,323
84002,0.0004,2148,331
86000,0.0004,2152,340
88000,0.0005,2161,346
90002,0.0005,2166,354
92002,0.0004,2176,369
94002,0.0004,2185,373
96002,0.0005,2185,377
98001,0.0004,2186,385
100000,0.0005,2198,393
102000,0.0004,2200,402
104000,0.0004,2208,406
106002,0.0004,2212,409
108001,0.0005,2219,417
110000,0.0004,2221,419
112000,0.0004,2225,422
114000,0.0004,2226,427
116000,0.0004,2228,428
118001,0.0004,2230,430
120001,0.0005,2232,436
122002,0.0004,2238,437
124001,0.0004,2243,442
126000,0.0005,2246,448
128002,0.0005,2247,449
130001,0.0004,2253,453
132001,0.0005,2256,459
134002,0.0005,2264,462
136002,0.0005,2268,466
138002,0.0005,2270,470
140000,0.0004,2272,472
142002,0.0004,2273,472
144001,0.0005,2277,473
146000,0.0004,2283,475
148002,0.0005,2284,480
150000,0.0005,2286,482
152000,0.0004,2288,483
154001,0.0004,2288,484
156000,0.0004,2291,485
158002,0.0004,2292,489
160002,0.0005,2295,494
162002,0.0005,2295,494
164002,0.0005,2298,496
166000,0.0005,2302,496
168001,0.0005,2303,496
170000,0.0005,2305,497
172001,0.0005,2305,499
174002,0.0005,2305,499
176000,0.0004,2308,502
178000,0.0005,2309,504
180001,0.0005,2309,504
182002,0.0005,2310,505
184000,0.0005,2313,505
186001,0.0004,2314,507
188002,0.0004,2314,508
190001,0.0004,2314,508
192000,0.0005,2316,510
194000,0.0004,2317,511
196000,0.0005,2319,513
198000,0.0005,2319,513
200002,0.0005,2322,515
