steps,time_per_step,nodes,filtered_nodes
2001,0.0003,535,0
4000,0.0003,781,4
6001,0.0003,948,14
8002,0.0004,1073,27
10000,0.0004,1174,36
12002,0.0005,1266,55
14001,0.0005,1357,68
16000,0.0004,1412,82
18001,0.0004,1478,96
20000,0.0004,1539,113
22000,0.0004,1580,123
24001,0.0004,1623,128
26001,0.0004,1664,137
28000,0.0004,1700,153
30002,0.0004,1736,163
32000,0.0004,1766,170
34002,0.0005,1792,176
36002,0.0004,1815,179
38000,0.0004,1845,187
40002,0.0004,1874,191
42000,0.0005,1887,198
44000,0.0005,1912,204
46000,0.0004,1927,208
48000,0.0005,1944,210
50000,0.0005,1961,215
52002,0.0005,1975,217
54001,0.0005,1985,221
56000,0.0006,1999,227
58000,0.0004,2010,236
60002,0.0005,2024,246
62000,0.0004,2039,251
64000,0.0004,2052,255
66002,0.0004,2065,262
68001,0.0005,2077,270
70000,0.0006,2090,279
72000,0.0006,2100,287
74000,0.0005,2107,297
76001,0.0005,2113,307
78000,0.0005,2119,313
80001,0.0006,2130,326
82000,0.0007,2136,330
84001,0.0009,2142,336
86001,0.0005,2144,341
88002,0.0005,2154,352
90001,0.0005,2159,359
92000,0.0005,2168,370
94000,0.0005,2180,376
96001,0.0005,2184,382
98002,0.0005,2189,393
100001,0.0005,2194,396
102001,0.0005,2200,404
104000,0.0005,2204,410
106000,0.0005,2211,415
108001,0.0005,2216,420
110000,0.0005,2221,424
112001,0.0005,2228,428
114002,0.0005,2234,432
116001,0.0005,2236,435
118000,0.0005,2242,439
120000,0.0005,2247,441
122002,0.0006,2249,444
124002,0.0005,2257,448
126002,0.0005,2260,454
128001,0.0006,2261,456
130000,0.0005,2264,458
132000,0.0004,2267,460
134002,0.0005,2273,462
136001,0.0005,2275,463
138002,0.0005,2276,465
140000,0.0005,2277,473
142000,0.0005,2279,475
144001,0.0005,2279,475
146001,0.0005,2279,476
148001,0.0005,2281,479
150002,0.0005,2282,481
152000,0.0005,2283,483
154000,0.0005,2286,486
156000,0.0005,2287,486
158001,0.0005,2289,487
160001,0.0005,2290,488
162001,0.0006,2291,491
164000,0.0005,2293,492
166001,0.0005,2294,493
168000,0.0005,2298,493
170001,0.0005,2299,495
172001,0.0005,2303,495
174000,0.0005,2306,499
176000,0.0006,2306,499
178000,0.0006,2309,500
180002,0.0005,2310,500
182000,0.0005,2311,500
184000,0.0005,2313,500
186001,0.0005,2313,500
188000,0.0005,2315,502
190000,0.0005,2317,502
192001,0.0005,2318,503
194001,0.0006,2320,504
196001,0.0005,2321,505
198000,0.0005,2322,505
200002,0.0005,2322,505
