steps,time_per_step,nodes,filtered_nodes
2001,0.0003,561,2
4000,0.0003,785,5
6001,0.0003,941,12
8001,0.0003,1063,30
10000,0.0003,1175,41
12000,0.0004,1271,55
14000,0.0003,1357,69
16000,0.0004,1431,83
18002,0.0004,1479,94
20000,0.0004,1529,111
22001,0.0004,1584,121
24000,0.0004,1635,131
26000,0.0004,1670,140
28001,0.0004,1709,147
30000,0.0004,1738,158
32000,0.0004,1765,164
34001,0.0004,1796,169
36000,0.0004,1830,174
38000,0.0005,1853,180
40001,0.0004,1882,188
42002,0.0004,1904,199
44000,0.0004,1923,205
46002,0.0004,1935,214
48002,0.0005,1958,219
50000,0.0005,1978,222
52002,0.0004,1989,230
54000,0.0004,2000,234
56002,0.0004,2014,239
58002,0.0004,2030,244
60000,0.0005,2044,249
62000,0.0005,2057,251
64000,0.0004,2067,254
66000,0.0004,2077,262
68002,0.0005,2087,266
70002,0.0004,2094,273
72002,0.0004,2104,278
74000,0.0005,2115,285
76001,0.0004,2123,295
78000,0.0004,2131,299
80000,0.0004,2140,307
82000,0.0005,2146,313
84002,0.0005,2158,325
86000,0.0004,2167,334
88002,0.0004,2175,347
90001,0.0004,2182,357
92000,0.0004,2192,367
94001,0.0005,2199,373
96000,0.0004,2200,378
98000,0.0005,2210,383
100000,0.0005,2215,394
102001,0.0004,2219,402
104000,0.0004,2221,405
106002,0.0005,2227,414
108001,0.0004,2231,423
110000,0.0004,2235,428
112000,0.0005,2240,433
114002,0.0004,2246,439
116002,0.0005,2249,447
118002,0.0004,2249,450
120001,0.0005,2251,454
122001,0.0005,2256,456
124002,0.0004,2260,462
126002,0.0005,2262,466
128002,0.0005,2266,470
130001,0.0004,2267,474
132000,0.0005,2271,476
134002,0.0006,2273,479
136002,0.0005,2275,481
138001,0.0004,2275,483
140001,0.0005,2282,483
142000,0.0004,2285,483
144001,0.0005,2286,486
146001,0.0005,2292,487
148002,0.0004,2296,487
150001,0.0005,2298,488
152001,0.0005,2301,490
154000,0.0005,2301,490
156002,0.0004,2304,491
158000,0.0005,2304,494
160002,0.0004,2308,494
162000,0.0005,2308,495
164000,0.0005,2309,496
166002,0.0005,2310,498
168001,0.0005,2312,498
170001,0.0005,2313,499
172000,0.0005,2314,499
174001,0.0005,2315,500
176002,0.0006,2316,503
178001,0.0005,2316,506
180000,0.0005,2317,507
182002,0.0004,2317,508
184001,0.0005,2320,510
186000,0.0004,2321,510
188000,0.0004,2322,510
190001,0.0004,2325,511
192002,0.0005,2327,511
194002,0.0005,2327,511
196002,0.0005,2327,511
198001,0.0005,2329,511
200000,0.0005,2329,512
