steps,time_per_step,nodes,filtered_nodes
2000,0.0003,534,0
4002,0.0003,760,7
6001,0.0003,942,15
8002,0.0003,1080,24
10000,0.0004,1185,39
12002,0.0003,1267,58
14001,0.0003,1355,68
16000,0.0003,1425,82
18001,0.0004,1487,98
20002,0.0004,1537,111
22000,0.0004,1591,125
24002,0.0004,1628,139
26000,0.0004,1668,142
28000,0.0004,1704,151
30000,0.0003,1737,159
32002,0.0004,1765,167
34000,0.0005,1786,174
36002,0.0005,1812,185
38002,0.0004,1832,190
40001,0.0005,1858,195
42001,0.0004,1876,199
44002,0.0004,1893,206
46000,0.0004,1915,211
48000,0.0004,1939,215
50001,0.0004,1954,217
52000,0.0005,1980,225
54001,0.0004,1996,229
56001,0.0005,2010,234
58000,0.0004,2015,241
60002,0.0004,2033,247
62001,0.0004,2045,250
64000,0.0004,2060,256
66001,0.0004,2073,260
68000,0.0005,2084,270
70002,0.0004,2094,279
72001,0.0004,2101,285
74001,0.0004,2110,293
76000,0.0004,2118,300
78002,0.0004,2128,307
80000,0.0005,2131,311
82002,0.0004,2134,315
84001,0.0004,2139,323
86001,0.0004,2148,331
88000,0.0005,2152,337
90000,0.0004,2159,340
92000,0.0005,2165,349
94001,0.0005,2169,355
96002,0.0004,2178,366
98002,0.0004,2186,376
100000,0.0004,2193,381
102002,0.0005,2197,390
104001,0.0004,2205,395
106002,0.0005,2211,398
108001,0.0004,2214,404
110001,0.0004,2223,413
112000,0.0004,2224,418
114002,0.0005,2229,422
116000,0.0005,2236,425
118002,0.0005,2241,431
120000,0.0005,2245,434
122002,0.0005,2248,440
124002,0.0004,2251,445
126001,0.0005,2253,447
128000,0.0004,2256,452
130000,0.0005,2260,457
132002,0.0005,2261,463
134000,0.0005,2262,465
136001,0.0004,2263,469
138000,0.0004,2268,471
140002,0.0004,2271,472
142000,0.0005,2278,474
144000,0.0005,2281,474
146000,0.0005,2283,476
148001,0.0004,2285,478
150002,0.0004,2287,478
152001,0.0004,2291,479
154000,0.0004,2294,486
156000,0.0004,2296,488
158000,0.0004,2296,489
160001,0.0005,2297,491
162000,0.0005,2298,493
164000,0.0004,2300,493
166000,0.0004,2305,495
168000,0.0005,2305,496
170002,0.0004,2306,497
172000,0.0005,2306,498
174000,0.0005,2307,498
176001,0.0005,2307,498
178002,0.0005,2309,499
180001,0.0004,2312,500
182000,0.0004,2313,501
184000,0.0005,2315,503
186000,0.0004,2315,503
188002,0.0005,2317,504
190001,0.0004,2319,504
192000,0.0004,2319,504
194001,0.0004,2320,504
196002,0.0004,2322,506
198000,0.0005,2322,509
200000,0.0005,2324,510
