total_steps,value
10,0.0001
3000,0.0003
6000,0.0004
9000,0.0004
12000,0.0005
15000,0.0005
18000,0.0005
21000,0.0005
24000,0.0009
27000,0.0007
30000,0.0005
33000,0.0006
36000,0.0005
39000,0.0006
42000,0.0006
45000,0.0009
48000,0.0007
51000,0.0006
54000,0.0006
57000,0.0006
60000,0.0006
63000,0.0007
66000,0.001
69000,0.0006
72000,0.0006
75000,0.0006
78000,0.0006
81000,0.0006
84000,0.0008
87000,0.0009
90000,0.0006
93000,0.0006
96000,0.0006
99000,0.0006
102000,0.0006
105000,0.001
108000,0.0008
111000,0.0006
114000,0.0006
117000,0.0006
120000,0.0006
123000,0.0008
126000,0.0009
129000,0.0006
132000,0.0006
135000,0.0006
138000,0.0006
141000,0.0007
144000,0.001
147000,0.0006
150000,0.0006
153000,0.0006
156000,0.0006
159000,0.0006
162000,0.0009
165000,0.0008
168000,0.0006
171000,0.0006
174000,0.0006
177000,0.0006
180000,0.0008
183000,0.0009
186000,0.0006
189000,0.0006
192000,0.0006
195000,0.0006
198000,0.0007
201000,0.001
204000,0.0006
207000,0.0006
210000,0.0006
213000,0.0006
216000,0.0006
219000,0.001
222000,0.0008
225000,0.0006
228000,0.0006
231000,0.0006
234000,0.0006
237000,0.0009
240000,0.0009
243000,0.0006
246000,0.0006
249000,0.0006
252000,0.0006
255000,0.0009
258000,0.0009
261000,0.0006
264000,0.0006
267000,0.0006
270000,0.0006
273000,0.0008
276000,0.001
279000,0.0006
282000,0.0006
285000,0.0006
288000,0.0006
291000,0.0007
294000,0.0011
297000,0.0007
300000,0.0006
