steps,best_pred_error_rate
250,"{0: 0.98, 1: 0.55, 2: 0.54, 3: 0.45, 4: 0.46}"
500,"{0: 0.92, 1: 0.45, 2: 0.42, 3: 0.43, 4: 0.34}"
750,"{0: 0.96, 1: 0.37, 2: 0.41, 3: 0.49, 4: 0.42}"
1000,"{0: 0.94, 1: 0.43, 2: 0.46, 3: 0.35, 4: 0.31}"
1250,"{0: 0.91, 1: 0.53, 2: 0.35, 3: 0.31, 4: 0.4}"
1500,"{0: 0.96, 1: 0.35, 2: 0.35, 3: 0.28, 4: 0.31}"
1750,"{0: 0.94, 1: 0.41, 2: 0.35, 3: 0.42, 4: 0.43}"
2000,"{0: 0.94, 1: 0.46, 2: 0.4, 3: 0.26, 4: 0.37}"
2250,"{0: 0.96, 1: 0.45, 2: 0.43, 3: 0.26, 4: 0.39}"
2500,"{0: 0.94, 1: 0.37, 2: 0.36, 3: 0.3, 4: 0.33}"
2750,"{0: 0.94, 1: 0.36, 2: 0.38, 3: 0.28, 4: 0.39}"
3000,"{0: 0.99, 1: 0.36, 2: 0.34, 3: 0.39, 4: 0.34}"
3250,"{0: 0.94, 1: 0.44, 2: 0.28, 3: 0.38, 4: 0.35}"
3500,"{0: 0.94, 1: 0.43, 2: 0.35, 3: 0.49, 4: 0.4}"
3750,"{0: 0.94, 1: 0.43, 2: 0.38, 3: 0.29, 4: 0.3}"
4000,"{0: 0.93, 1: 0.41, 2: 0.41, 3: 0.38, 4: 0.31}"
4250,"{0: 0.92, 1: 0.38, 2: 0.33, 3: 0.3, 4: 0.33}"
4500,"{0: 0.96, 1: 0.38, 2: 0.36, 3: 0.37, 4: 0.29}"
4750,"{0: 0.93, 1: 0.43, 2: 0.29, 3: 0.29, 4: 0.38}"
5000,"{0: 0.95, 1: 0.36, 2: 0.3, 3: 0.35, 4: 0.35}"
5250,"{0: 0.93, 1: 0.43, 2: 0.32, 3: 0.39, 4: 0.37}"
5500,"{0: 0.95, 1: 0.51, 2: 0.3, 3: 0.36, 4: 0.38}"
5750,"{0: 0.93, 1: 0.38, 2: 0.39, 3: 0.31, 4: 0.32}"
6000,"{0: 0.95, 1: 0.43, 2: 0.39, 3: 0.32, 4: 0.35}"
6250,"{0: 0.97, 1: 0.3, 2: 0.33, 3: 0.3, 4: 0.28}"
6500,"{0: 0.93, 1: 0.36, 2: 0.33, 3: 0.3, 4: 0.34}"
6750,"{0: 0.91, 1: 0.43, 2: 0.31, 3: 0.28, 4: 0.39}"
7000,"{0: 0.94, 1: 0.36, 2: 0.3, 3: 0.31, 4: 0.35}"
7250,"{0: 0.92, 1: 0.41, 2: 0.23, 3: 0.33, 4: 0.28}"
7500,"{0: 0.97, 1: 0.39, 2: 0.32, 3: 0.33, 4: 0.3}"
7750,"{0: 0.99, 1: 0.47, 2: 0.36, 3: 0.24, 4: 0.24}"
8000,"{0: 0.99, 1: 0.45, 2: 0.27, 3: 0.35, 4: 0.27}"
8250,"{0: 0.96, 1: 0.38, 2: 0.35, 3: 0.34, 4: 0.24}"
8500,"{0: 0.98, 1: 0.27, 2: 0.32, 3: 0.38, 4: 0.32}"
8750,"{0: 0.95, 1: 0.46, 2: 0.38, 3: 0.27, 4: 0.31}"
9000,"{0: 1.0, 1: 0.36, 2: 0.32, 3: 0.21, 4: 0.29}"
9250,"{0: 0.97, 1: 0.48, 2: 0.3, 3: 0.35, 4: 0.28}"
9500,"{0: 0.95, 1: 0.4, 2: 0.37, 3: 0.35, 4: 0.27}"
9750,"{0: 0.93, 1: 0.31, 2: 0.36, 3: 0.35, 4: 0.29}"
10000,"{0: 0.92, 1: 0.45, 2: 0.33, 3: 0.23, 4: 0.28}"
10250,"{0: 0.96, 1: 0.42, 2: 0.3, 3: 0.32, 4: 0.31}"
10500,"{0: 0.9, 1: 0.44, 2: 0.3, 3: 0.32, 4: 0.33}"
10750,"{0: 0.95, 1: 0.29, 2: 0.31, 3: 0.32, 4: 0.32}"
11000,"{0: 0.94, 1: 0.43, 2: 0.32, 3: 0.27, 4: 0.29}"
11250,"{0: 0.94, 1: 0.44, 2: 0.25, 3: 0.36, 4: 0.38}"
11500,"{0: 0.95, 1: 0.44, 2: 0.38, 3: 0.27, 4: 0.29}"
11750,"{0: 0.93, 1: 0.29, 2: 0.26, 3: 0.29, 4: 0.33}"
12000,"{0: 0.95, 1: 0.53, 2: 0.35, 3: 0.27, 4: 0.28}"
12250,"{0: 0.95, 1: 0.38, 2: 0.33, 3: 0.32, 4: 0.38}"
12500,"{0: 0.98, 1: 0.44, 2: 0.34, 3: 0.31, 4: 0.28}"
12750,"{0: 0.94, 1: 0.3, 2: 0.35, 3: 0.35, 4: 0.28}"
13000,"{0: 0.96, 1: 0.43, 2: 0.24, 3: 0.31, 4: 0.3}"
13250,"{0: 0.94, 1: 0.45, 2: 0.31, 3: 0.28, 4: 0.3}"
13500,"{0: 0.97, 1: 0.36, 2: 0.31, 3: 0.31, 4: 0.34}"
13750,"{0: 0.94, 1: 0.4, 2: 0.38, 3: 0.26, 4: 0.32}"
14000,"{0: 0.91, 1: 0.53, 2: 0.34, 3: 0.27, 4: 0.31}"
14250,"{0: 0.97, 1: 0.49, 2: 0.37, 3: 0.33, 4: 0.31}"
14500,"{0: 0.97, 1: 0.47, 2: 0.32, 3: 0.3, 4: 0.38}"
14750,"{0: 0.96, 1: 0.41, 2: 0.3, 3: 0.33, 4: 0.34}"
15000,"{0: 0.97, 1: 0.35, 2: 0.31, 3: 0.22, 4: 0.27}"
15250,"{0: 0.96, 1: 0.35, 2: 0.32, 3: 0.27, 4: 0.3}"
