total_steps,0,1,2,3
1000,0.95,0.52,0.41,0.39
2000,0.98,0.5,0.41,0.42
3000,0.97,0.44,0.46,0.48
4000,0.95,0.47,0.39,0.43
5000,0.94,0.36,0.36,0.31
6000,0.94,0.36,0.2,0.27
7000,0.92,0.3,0.34,0.28
8000,0.97,0.49,0.3,0.36
9000,0.94,0.43,0.4,0.32
10000,0.96,0.38,0.26,0.3
11000,0.96,0.52,0.32,0.37
12000,0.96,0.52,0.28,0.33
13000,0.95,0.4,0.35,0.26
14000,1.0,0.35,0.32,0.28
15000,0.95,0.46,0.29,0.32
16000,0.96,0.36,0.29,0.26
17000,0.95,0.49,0.27,0.25
18000,0.97,0.4,0.28,0.26
19000,0.97,0.46,0.24,0.28
20000,0.97,0.57,0.32,0.41
21000,0.96,0.5,0.23,0.36
22000,0.96,0.48,0.29,0.28
23000,0.95,0.41,0.27,0.25
24000,0.95,0.35,0.33,0.23
25000,0.95,0.45,0.3,0.33
26000,0.92,0.42,0.25,0.29
27000,0.94,0.41,0.32,0.32
28000,0.93,0.47,0.27,0.26
29000,0.95,0.46,0.33,0.38
30000,0.95,0.41,0.35,0.3
31000,0.93,0.33,0.32,0.35
32000,0.94,0.46,0.4,0.24
33000,0.9,0.48,0.26,0.37
34000,0.95,0.41,0.29,0.26
35000,0.98,0.45,0.26,0.19
36000,0.97,0.49,0.26,0.32
37000,0.92,0.44,0.38,0.3
38000,0.93,0.34,0.3,0.33
39000,0.97,0.39,0.3,0.23
40000,0.96,0.49,0.29,0.34
41000,0.92,0.45,0.3,0.26
42000,0.96,0.49,0.34,0.34
43000,0.96,0.46,0.38,0.3
44000,0.98,0.4,0.29,0.24
45000,0.94,0.42,0.33,0.3
46000,0.92,0.44,0.26,0.23
47000,0.94,0.5,0.38,0.29
48000,0.97,0.45,0.31,0.24
49000,0.96,0.53,0.3,0.33
50000,0.99,0.4,0.27,0.35
51000,0.93,0.45,0.3,0.32
52000,0.94,0.42,0.33,0.33
53000,0.97,0.45,0.36,0.27
54000,0.97,0.49,0.39,0.24
55000,0.95,0.45,0.36,0.23
56000,0.94,0.41,0.28,0.26
57000,0.9,0.46,0.3,0.29
58000,0.98,0.47,0.27,0.27
59000,0.93,0.47,0.34,0.21
60000,0.94,0.39,0.32,0.29
61000,0.96,0.44,0.37,0.22
62000,0.96,0.37,0.26,0.28
63000,0.95,0.49,0.36,0.29
64000,0.94,0.41,0.34,0.31
65000,0.96,0.45,0.39,0.26
66000,0.94,0.38,0.34,0.25
67000,0.93,0.5,0.32,0.24
68000,0.97,0.44,0.39,0.21
69000,0.94,0.37,0.32,0.22
70000,0.91,0.47,0.29,0.25
71000,0.88,0.5,0.34,0.29
72000,0.95,0.52,0.24,0.27
73000,0.91,0.46,0.26,0.28
74000,0.94,0.4,0.31,0.28
75000,0.94,0.44,0.29,0.22
76000,0.96,0.44,0.3,0.26
77000,0.91,0.41,0.26,0.19
78000,0.97,0.37,0.27,0.24
79000,0.96,0.41,0.29,0.21
80000,0.93,0.48,0.34,0.21
81000,0.98,0.4,0.23,0.27
82000,0.96,0.52,0.35,0.26
83000,0.93,0.4,0.26,0.25
84000,0.98,0.51,0.38,0.29
85000,0.95,0.48,0.28,0.28
86000,0.95,0.44,0.35,0.36
87000,0.96,0.34,0.21,0.28
88000,0.9,0.44,0.31,0.31
89000,0.96,0.47,0.33,0.23
90000,0.97,0.38,0.26,0.24
91000,0.97,0.48,0.33,0.27
92000,0.94,0.46,0.21,0.27
93000,0.91,0.45,0.36,0.33
94000,0.96,0.37,0.32,0.4
95000,0.97,0.49,0.28,0.27
96000,0.96,0.38,0.31,0.22
97000,0.98,0.47,0.29,0.22
98000,0.98,0.43,0.38,0.28
99000,0.93,0.47,0.27,0.31
100000,0.97,0.45,0.28,0.2
