total_steps,0,1,2,3
1000,0.95,0.57,0.55,0.51
2000,0.97,0.41,0.39,0.39
3000,0.95,0.41,0.35,0.33
4000,0.96,0.41,0.25,0.29
5000,0.95,0.47,0.37,0.31
6000,0.92,0.39,0.36,0.29
7000,0.97,0.34,0.33,0.35
8000,0.97,0.4,0.31,0.32
9000,0.93,0.36,0.31,0.3
10000,0.94,0.34,0.3,0.34
11000,0.94,0.34,0.34,0.32
12000,0.93,0.37,0.27,0.27
13000,0.93,0.39,0.38,0.32
14000,0.93,0.36,0.33,0.38
15000,0.91,0.33,0.38,0.27
16000,0.94,0.44,0.3,0.23
17000,0.96,0.47,0.35,0.26
18000,0.93,0.46,0.31,0.38
19000,0.97,0.46,0.34,0.4
20000,0.92,0.42,0.3,0.3
21000,0.92,0.46,0.37,0.24
22000,0.94,0.35,0.34,0.24
23000,0.96,0.31,0.28,0.3
24000,0.93,0.47,0.33,0.29
25000,0.97,0.42,0.27,0.25
26000,0.9,0.38,0.29,0.35
27000,0.95,0.52,0.32,0.28
28000,0.97,0.45,0.25,0.31
29000,0.96,0.4,0.23,0.27
30000,0.94,0.4,0.29,0.25
31000,0.94,0.52,0.27,0.33
32000,0.95,0.38,0.25,0.23
33000,0.96,0.37,0.27,0.21
34000,0.94,0.43,0.25,0.27
35000,0.94,0.42,0.31,0.26
36000,0.97,0.42,0.27,0.29
37000,0.93,0.42,0.25,0.31
38000,0.95,0.44,0.33,0.27
39000,0.95,0.44,0.33,0.22
40000,0.94,0.43,0.24,0.32
41000,0.95,0.54,0.29,0.22
42000,0.94,0.44,0.23,0.31
43000,0.96,0.37,0.32,0.23
44000,0.97,0.52,0.31,0.3
45000,0.94,0.37,0.37,0.2
46000,0.97,0.46,0.27,0.29
47000,0.98,0.42,0.29,0.24
48000,0.97,0.43,0.36,0.25
49000,0.92,0.5,0.34,0.3
50000,0.93,0.44,0.33,0.26
51000,0.96,0.47,0.28,0.35
52000,0.93,0.47,0.26,0.3
53000,0.95,0.48,0.27,0.2
54000,0.97,0.41,0.29,0.27
55000,0.97,0.48,0.33,0.3
56000,0.98,0.41,0.42,0.17
57000,0.9,0.55,0.32,0.3
58000,0.95,0.38,0.3,0.23
59000,0.93,0.42,0.29,0.32
60000,0.95,0.44,0.32,0.23
61000,0.91,0.41,0.31,0.24
62000,0.93,0.42,0.28,0.23
63000,0.92,0.45,0.32,0.31
64000,0.93,0.39,0.26,0.26
65000,0.92,0.52,0.43,0.19
66000,0.94,0.41,0.2,0.19
67000,0.95,0.4,0.31,0.32
68000,0.96,0.47,0.26,0.26
69000,0.95,0.38,0.3,0.23
70000,0.94,0.47,0.42,0.19
71000,0.96,0.42,0.29,0.28
72000,0.91,0.36,0.24,0.2
73000,0.95,0.37,0.29,0.25
74000,0.98,0.41,0.29,0.23
75000,0.95,0.48,0.29,0.28
76000,0.96,0.42,0.33,0.27
77000,0.96,0.37,0.28,0.22
78000,0.93,0.41,0.27,0.28
79000,0.93,0.45,0.32,0.27
80000,0.96,0.43,0.31,0.22
81000,0.97,0.44,0.39,0.17
82000,0.93,0.4,0.3,0.25
83000,0.96,0.4,0.33,0.23
84000,0.96,0.45,0.38,0.23
85000,0.93,0.47,0.34,0.27
86000,0.95,0.43,0.3,0.24
87000,0.96,0.46,0.27,0.33
88000,0.97,0.45,0.26,0.28
89000,0.97,0.41,0.32,0.19
90000,0.95,0.49,0.24,0.26
91000,1.0,0.49,0.35,0.29
92000,0.95,0.45,0.22,0.26
93000,0.96,0.5,0.34,0.23
94000,0.92,0.43,0.3,0.21
95000,0.96,0.41,0.3,0.28
96000,0.94,0.42,0.27,0.22
97000,0.97,0.5,0.24,0.27
98000,0.98,0.4,0.23,0.29
99000,0.97,0.51,0.34,0.26
100000,0.97,0.45,0.33,0.25
