total_steps,0,1,2,3
1000,0.95,0.33,0.44,0.4
2000,0.97,0.42,0.37,0.37
3000,0.95,0.35,0.44,0.36
4000,0.95,0.35,0.44,0.36
5000,0.94,0.39,0.38,0.33
6000,0.96,0.37,0.29,0.36
7000,0.93,0.36,0.32,0.26
8000,0.93,0.51,0.31,0.32
9000,0.93,0.42,0.27,0.26
10000,0.93,0.3,0.37,0.27
11000,0.97,0.41,0.3,0.37
12000,0.98,0.42,0.33,0.34
13000,0.96,0.44,0.27,0.29
14000,0.97,0.45,0.44,0.32
15000,0.92,0.45,0.19,0.35
16000,0.96,0.41,0.35,0.32
17000,0.99,0.39,0.24,0.23
18000,0.95,0.43,0.18,0.35
19000,0.94,0.45,0.35,0.27
20000,0.97,0.44,0.34,0.3
21000,0.94,0.41,0.22,0.28
22000,0.93,0.49,0.32,0.25
23000,0.95,0.42,0.33,0.32
24000,0.93,0.38,0.26,0.24
25000,0.91,0.4,0.39,0.24
26000,0.94,0.45,0.28,0.23
27000,0.96,0.37,0.39,0.2
28000,0.91,0.4,0.38,0.26
29000,0.93,0.42,0.33,0.21
30000,0.94,0.36,0.32,0.29
31000,0.94,0.41,0.31,0.31
32000,0.96,0.44,0.35,0.22
33000,0.91,0.36,0.3,0.24
34000,0.93,0.38,0.32,0.28
35000,0.96,0.56,0.28,0.29
36000,0.96,0.46,0.27,0.24
37000,0.94,0.34,0.33,0.27
38000,0.89,0.38,0.32,0.22
39000,0.91,0.41,0.29,0.31
40000,0.95,0.41,0.35,0.25
41000,0.94,0.43,0.29,0.26
42000,0.93,0.32,0.33,0.27
43000,0.96,0.43,0.26,0.19
44000,0.95,0.44,0.27,0.3
45000,0.93,0.43,0.32,0.25
46000,0.99,0.42,0.39,0.3
47000,0.91,0.42,0.31,0.28
48000,0.98,0.38,0.34,0.27
49000,0.99,0.46,0.3,0.21
50000,0.95,0.43,0.28,0.23
51000,0.9,0.43,0.36,0.26
52000,0.97,0.37,0.37,0.27
53000,0.95,0.5,0.29,0.25
54000,0.96,0.4,0.4,0.2
55000,0.97,0.4,0.34,0.25
56000,0.93,0.35,0.31,0.3
57000,0.97,0.5,0.37,0.32
58000,0.96,0.46,0.26,0.28
59000,0.96,0.4,0.3,0.23
60000,0.95,0.37,0.27,0.21
61000,0.95,0.41,0.34,0.24
62000,0.96,0.46,0.28,0.3
63000,0.92,0.41,0.26,0.36
64000,0.95,0.4,0.38,0.26
65000,0.92,0.38,0.31,0.34
66000,0.94,0.45,0.32,0.26
67000,0.96,0.49,0.42,0.22
68000,0.95,0.44,0.33,0.34
69000,0.96,0.4,0.27,0.26
70000,0.95,0.42,0.26,0.26
71000,0.93,0.38,0.25,0.3
72000,0.95,0.34,0.28,0.32
73000,0.95,0.54,0.4,0.26
74000,0.93,0.6,0.41,0.23
75000,0.93,0.38,0.27,0.22
76000,0.97,0.33,0.37,0.27
77000,0.92,0.45,0.27,0.29
78000,0.96,0.47,0.25,0.2
79000,0.98,0.43,0.28,0.25
80000,0.95,0.36,0.27,0.21
81000,0.92,0.49,0.34,0.25
82000,0.95,0.43,0.27,0.25
83000,0.92,0.45,0.31,0.33
84000,0.95,0.35,0.38,0.21
85000,0.96,0.44,0.3,0.28
86000,0.98,0.37,0.29,0.3
87000,0.94,0.38,0.33,0.3
88000,0.95,0.45,0.24,0.22
89000,0.97,0.52,0.3,0.31
90000,0.97,0.42,0.26,0.29
91000,0.94,0.44,0.3,0.22
92000,0.94,0.51,0.28,0.28
93000,0.91,0.39,0.26,0.29
94000,0.91,0.34,0.38,0.31
95000,0.97,0.32,0.45,0.22
96000,0.93,0.43,0.3,0.25
97000,0.95,0.45,0.26,0.33
98000,0.95,0.37,0.31,0.21
99000,0.95,0.37,0.37,0.3
100000,0.95,0.46,0.37,0.31
