total_steps,0,1,2,3
1000,0.98,0.44,0.45,0.42
2000,0.95,0.33,0.32,0.37
3000,0.96,0.47,0.4,0.45
4000,0.94,0.41,0.35,0.36
5000,0.96,0.44,0.38,0.35
6000,0.97,0.4,0.29,0.31
7000,0.97,0.4,0.29,0.23
8000,0.97,0.45,0.36,0.31
9000,0.96,0.48,0.39,0.31
10000,0.89,0.34,0.28,0.31
11000,0.93,0.42,0.25,0.3
12000,0.97,0.38,0.2,0.19
13000,0.96,0.42,0.33,0.33
14000,0.99,0.4,0.29,0.34
15000,0.94,0.47,0.42,0.39
16000,0.97,0.47,0.24,0.25
17000,0.95,0.38,0.29,0.36
18000,0.97,0.38,0.32,0.3
19000,0.99,0.5,0.25,0.35
20000,0.92,0.42,0.29,0.31
21000,0.97,0.55,0.3,0.3
22000,0.95,0.52,0.32,0.36
23000,0.98,0.42,0.28,0.21
24000,0.97,0.52,0.37,0.24
25000,0.95,0.37,0.36,0.34
26000,0.97,0.39,0.25,0.35
27000,0.94,0.4,0.25,0.24
28000,0.95,0.48,0.34,0.32
29000,0.94,0.37,0.29,0.27
30000,0.96,0.4,0.31,0.28
31000,0.95,0.44,0.24,0.3
32000,0.93,0.42,0.32,0.32
33000,0.96,0.41,0.29,0.21
34000,0.93,0.37,0.26,0.3
35000,0.95,0.44,0.31,0.32
36000,0.95,0.35,0.26,0.32
37000,0.89,0.52,0.32,0.29
38000,0.93,0.44,0.37,0.28
39000,0.97,0.39,0.33,0.32
40000,0.93,0.48,0.24,0.29
41000,0.94,0.46,0.26,0.3
42000,0.96,0.42,0.29,0.23
43000,0.97,0.34,0.41,0.25
44000,0.97,0.36,0.36,0.29
45000,1.0,0.49,0.4,0.26
46000,0.96,0.43,0.28,0.23
47000,0.95,0.44,0.26,0.3
48000,0.9,0.47,0.23,0.26
49000,0.98,0.41,0.37,0.23
50000,0.94,0.46,0.28,0.22
51000,0.92,0.42,0.26,0.25
52000,0.96,0.42,0.32,0.23
53000,0.93,0.36,0.34,0.22
54000,0.93,0.46,0.26,0.16
55000,0.94,0.48,0.25,0.25
56000,0.98,0.4,0.27,0.26
57000,0.93,0.47,0.32,0.27
58000,0.92,0.49,0.34,0.26
59000,1.0,0.49,0.38,0.29
60000,0.91,0.41,0.29,0.24
61000,0.97,0.4,0.23,0.26
62000,0.92,0.46,0.3,0.36
63000,0.95,0.39,0.25,0.25
64000,0.92,0.33,0.25,0.31
65000,0.96,0.4,0.26,0.23
66000,0.94,0.44,0.29,0.29
67000,0.96,0.41,0.32,0.31
68000,0.97,0.53,0.33,0.28
69000,0.99,0.45,0.29,0.23
70000,0.93,0.27,0.28,0.24
71000,0.9,0.44,0.32,0.28
72000,0.92,0.41,0.3,0.23
73000,0.91,0.4,0.37,0.29
74000,0.94,0.45,0.26,0.22
75000,0.96,0.41,0.28,0.37
76000,0.95,0.39,0.29,0.29
77000,0.94,0.33,0.31,0.24
78000,0.97,0.47,0.15,0.22
79000,0.98,0.41,0.31,0.23
80000,0.95,0.49,0.28,0.3
81000,0.94,0.42,0.27,0.29
82000,0.99,0.4,0.31,0.35
83000,0.98,0.44,0.35,0.24
84000,0.96,0.4,0.28,0.23
85000,0.91,0.37,0.26,0.24
86000,0.98,0.48,0.28,0.24
87000,0.95,0.42,0.38,0.24
88000,0.95,0.45,0.35,0.24
89000,0.97,0.47,0.33,0.27
90000,0.93,0.44,0.36,0.22
91000,0.93,0.46,0.34,0.26
92000,0.97,0.38,0.35,0.26
93000,0.93,0.43,0.32,0.28
94000,0.94,0.4,0.37,0.32
95000,0.98,0.42,0.34,0.25
96000,0.95,0.44,0.33,0.2
97000,0.92,0.46,0.35,0.33
98000,0.93,0.39,0.29,0.31
99000,0.93,0.45,0.33,0.22
100000,0.94,0.52,0.42,0.3
