steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
2001,0.0002,0.2834,398,0
4001,0.0002,0.4535,515,0
6001,0.0002,0.447,601,12
8000,0.0002,0.4457,673,34
10001,0.0002,0.4863,735,42
12000,0.0002,0.4887,788,54
14002,0.0002,0.455,831,59
16001,0.0002,0.4642,870,75
18002,0.0002,0.4283,895,97
20002,0.0002,0.467,926,113
22002,0.0002,0.465,943,127
24000,0.0002,0.497,970,137
26000,0.0002,0.45,986,145
28001,0.0002,0.4693,999,149
30002,0.0002,0.4423,1014,151
32000,0.0002,0.46,1028,152
34000,0.0002,0.4555,1043,153
36001,0.0003,0.4413,1053,155
38002,0.0002,0.4543,1065,158
40000,0.0002,0.469,1073,159
42001,0.0002,0.4763,1077,160
44002,0.0002,0.4588,1082,161
46000,0.0002,0.4755,1087,161
48000,0.0002,0.472,1089,164
50001,0.0002,0.4728,1093,164
52002,0.0002,0.4443,1095,167
54000,0.0002,0.466,1097,168
56001,0.0002,0.4798,1100,173
58001,0.0002,0.4345,1105,174
60000,0.0002,0.4862,1105,177
62001,0.0002,0.4773,1105,177
64001,0.0003,0.4955,1105,178
66000,0.0002,0.4482,1105,178
68001,0.0002,0.4433,1105,181
70001,0.0002,0.4805,1106,184
72001,0.0002,0.4455,1107,187
74001,0.0002,0.4665,1107,191
76000,0.0002,0.4797,1107,191
78000,0.0002,0.4615,1107,193
80000,0.0002,0.4785,1108,198
82000,0.0002,0.498,1108,199
84001,0.0002,0.4533,1109,201
86001,0.0002,0.458,1109,204
88002,0.0002,0.4763,1109,208
90001,0.0002,0.4982,1109,211
92001,0.0002,0.475,1111,213
94001,0.0003,0.468,1111,216
96002,0.0002,0.4903,1111,218
98000,0.0002,0.4489,1111,218
100000,0.0002,0.464,1111,221
102001,0.0002,0.4673,1111,223
104000,0.0002,0.4502,1111,224
106000,0.0002,0.4395,1111,225
108001,0.0002,0.4738,1111,226
110001,0.0002,0.4755,1111,232
112000,0.0002,0.4912,1111,235
114001,0.0002,0.4663,1112,236
116001,0.0002,0.4695,1112,237
118002,0.0002,0.4898,1112,239
120002,0.0002,0.474,1112,244
122000,0.0002,0.4595,1112,245
124002,0.0002,0.46,1112,248
126001,0.0002,0.4407,1112,252
128001,0.0002,0.4705,1112,253
130001,0.0002,0.5025,1112,257
132001,0.0002,0.443,1112,260
134000,0.0002,0.4327,1112,265
136001,0.0002,0.4568,1112,268
138002,0.0002,0.4738,1112,273
140000,0.0002,0.4419,1112,275
142002,0.0002,0.481,1112,277
144002,0.0002,0.44,1112,280
146000,0.0002,0.481,1112,285
148000,0.0002,0.4655,1112,289
150001,0.0002,0.4438,1112,292
152002,0.0002,0.4373,1112,297
154001,0.0002,0.4622,1112,302
156000,0.0002,0.4747,1112,306
158002,0.0002,0.4575,1112,311
160002,0.0002,0.447,1112,318
162001,0.0002,0.4677,1112,323
164001,0.0002,0.4545,1112,326
166001,0.0002,0.4765,1112,327
168002,0.0003,0.4633,1112,334
170000,0.0002,0.4545,1112,335
172000,0.0002,0.485,1112,339
174001,0.0002,0.4813,1112,342
176002,0.0002,0.4578,1112,350
178002,0.0002,0.482,1112,352
180001,0.0002,0.4752,1112,355
182001,0.0003,0.462,1112,360
184002,0.0002,0.4613,1112,372
186000,0.0002,0.4715,1112,376
188001,0.0002,0.4493,1112,383
190000,0.0002,0.4582,1112,386
192001,0.0002,0.4883,1112,391
194002,0.0002,0.4423,1112,399
196002,0.0002,0.464,1112,406
198001,0.0002,0.4462,1112,412
200002,0.0002,0.4483,1112,417
