steps,best_pred_error_rate
250,"{0: 0.98, 1: 0.52, 2: 0.52, 3: 0.54, 4: 0.56}"
500,"{0: 0.93, 1: 0.42, 2: 0.48, 3: 0.47, 4: 0.46}"
750,"{0: 0.99, 1: 0.35, 2: 0.36, 3: 0.39, 4: 0.43}"
1000,"{0: 0.93, 1: 0.35, 2: 0.42, 3: 0.33, 4: 0.29}"
1250,"{0: 0.88, 1: 0.32, 2: 0.29, 3: 0.35, 4: 0.29}"
1500,"{0: 0.96, 1: 0.47, 2: 0.35, 3: 0.33, 4: 0.36}"
1750,"{0: 0.98, 1: 0.45, 2: 0.41, 3: 0.28, 4: 0.33}"
2000,"{0: 0.95, 1: 0.35, 2: 0.46, 3: 0.35, 4: 0.42}"
2250,"{0: 0.92, 1: 0.41, 2: 0.35, 3: 0.41, 4: 0.32}"
2500,"{0: 0.94, 1: 0.41, 2: 0.34, 3: 0.32, 4: 0.45}"
2750,"{0: 0.95, 1: 0.36, 2: 0.33, 3: 0.43, 4: 0.35}"
3000,"{0: 0.96, 1: 0.42, 2: 0.23, 3: 0.39, 4: 0.38}"
3250,"{0: 0.94, 1: 0.47, 2: 0.34, 3: 0.3, 4: 0.33}"
3500,"{0: 0.96, 1: 0.38, 2: 0.27, 3: 0.31, 4: 0.35}"
3750,"{0: 0.94, 1: 0.44, 2: 0.38, 3: 0.45, 4: 0.34}"
4000,"{0: 0.95, 1: 0.37, 2: 0.37, 3: 0.32, 4: 0.38}"
4250,"{0: 0.96, 1: 0.33, 2: 0.33, 3: 0.3, 4: 0.32}"
4500,"{0: 0.91, 1: 0.39, 2: 0.35, 3: 0.35, 4: 0.29}"
4750,"{0: 0.96, 1: 0.38, 2: 0.38, 3: 0.3, 4: 0.33}"
5000,"{0: 0.92, 1: 0.36, 2: 0.35, 3: 0.3, 4: 0.35}"
5250,"{0: 0.91, 1: 0.38, 2: 0.31, 3: 0.33, 4: 0.34}"
5500,"{0: 0.95, 1: 0.38, 2: 0.24, 3: 0.39, 4: 0.26}"
5750,"{0: 0.92, 1: 0.4, 2: 0.31, 3: 0.36, 4: 0.4}"
6000,"{0: 0.93, 1: 0.36, 2: 0.29, 3: 0.29, 4: 0.25}"
6250,"{0: 0.97, 1: 0.44, 2: 0.33, 3: 0.38, 4: 0.22}"
6500,"{0: 0.93, 1: 0.42, 2: 0.35, 3: 0.32, 4: 0.28}"
6750,"{0: 0.94, 1: 0.41, 2: 0.34, 3: 0.33, 4: 0.26}"
7000,"{0: 0.95, 1: 0.39, 2: 0.32, 3: 0.33, 4: 0.3}"
7250,"{0: 0.97, 1: 0.31, 2: 0.31, 3: 0.3, 4: 0.31}"
7500,"{0: 0.93, 1: 0.48, 2: 0.27, 3: 0.33, 4: 0.29}"
7750,"{0: 0.96, 1: 0.4, 2: 0.34, 3: 0.44, 4: 0.27}"
8000,"{0: 0.99, 1: 0.45, 2: 0.26, 3: 0.3, 4: 0.29}"
8250,"{0: 0.95, 1: 0.46, 2: 0.39, 3: 0.41, 4: 0.35}"
8500,"{0: 0.97, 1: 0.46, 2: 0.34, 3: 0.37, 4: 0.37}"
8750,"{0: 0.93, 1: 0.41, 2: 0.36, 3: 0.32, 4: 0.27}"
9000,"{0: 0.94, 1: 0.41, 2: 0.35, 3: 0.26, 4: 0.32}"
9250,"{0: 0.98, 1: 0.5, 2: 0.33, 3: 0.2, 4: 0.31}"
9500,"{0: 0.97, 1: 0.32, 2: 0.31, 3: 0.28, 4: 0.35}"
9750,"{0: 0.95, 1: 0.41, 2: 0.38, 3: 0.31, 4: 0.35}"
10000,"{0: 0.96, 1: 0.48, 2: 0.38, 3: 0.24, 4: 0.28}"
10250,"{0: 0.94, 1: 0.45, 2: 0.29, 3: 0.32, 4: 0.32}"
10500,"{0: 0.89, 1: 0.35, 2: 0.26, 3: 0.25, 4: 0.36}"
10750,"{0: 0.94, 1: 0.38, 2: 0.21, 3: 0.25, 4: 0.32}"
11000,"{0: 0.95, 1: 0.42, 2: 0.4, 3: 0.25, 4: 0.25}"
11250,"{0: 0.98, 1: 0.37, 2: 0.31, 3: 0.19, 4: 0.24}"
11500,"{0: 0.94, 1: 0.42, 2: 0.31, 3: 0.28, 4: 0.27}"
11750,"{0: 0.96, 1: 0.34, 2: 0.24, 3: 0.36, 4: 0.33}"
12000,"{0: 0.92, 1: 0.43, 2: 0.37, 3: 0.34, 4: 0.38}"
12250,"{0: 0.94, 1: 0.4, 2: 0.34, 3: 0.24, 4: 0.31}"
12500,"{0: 0.95, 1: 0.41, 2: 0.3, 3: 0.34, 4: 0.29}"
12750,"{0: 0.95, 1: 0.37, 2: 0.38, 3: 0.28, 4: 0.31}"
13000,"{0: 0.97, 1: 0.46, 2: 0.35, 3: 0.28, 4: 0.36}"
13250,"{0: 0.96, 1: 0.47, 2: 0.29, 3: 0.3, 4: 0.28}"
13500,"{0: 0.95, 1: 0.38, 2: 0.29, 3: 0.38, 4: 0.23}"
13750,"{0: 0.95, 1: 0.41, 2: 0.25, 3: 0.28, 4: 0.36}"
14000,"{0: 0.96, 1: 0.44, 2: 0.32, 3: 0.31, 4: 0.35}"
14250,"{0: 0.92, 1: 0.38, 2: 0.28, 3: 0.32, 4: 0.39}"
14500,"{0: 0.96, 1: 0.4, 2: 0.4, 3: 0.34, 4: 0.29}"
14750,"{0: 0.95, 1: 0.45, 2: 0.37, 3: 0.26, 4: 0.32}"
15000,"{0: 0.94, 1: 0.55, 2: 0.36, 3: 0.28, 4: 0.29}"
15250,"{0: 0.96, 1: 0.54, 2: 0.3, 3: 0.3, 4: 0.28}"
15500,"{0: 0.98, 1: 0.45, 2: 0.26, 3: 0.33, 4: 0.36}"
15750,"{0: 0.92, 1: 0.37, 2: 0.33, 3: 0.35, 4: 0.33}"
16000,"{0: 0.97, 1: 0.44, 2: 0.32, 3: 0.3, 4: 0.27}"
16250,"{0: 0.96, 1: 0.4, 2: 0.31, 3: 0.27, 4: 0.28}"
16500,"{0: 0.93, 1: 0.4, 2: 0.4, 3: 0.29, 4: 0.35}"
16750,"{0: 0.95, 1: 0.42, 2: 0.31, 3: 0.35, 4: 0.31}"
17000,"{0: 0.95, 1: 0.4, 2: 0.3, 3: 0.28, 4: 0.26}"
17250,"{0: 0.94, 1: 0.34, 2: 0.32, 3: 0.34, 4: 0.34}"
17500,"{0: 0.95, 1: 0.39, 2: 0.32, 3: 0.29, 4: 0.35}"
17750,"{0: 0.95, 1: 0.49, 2: 0.28, 3: 0.33, 4: 0.26}"
18000,"{0: 0.95, 1: 0.48, 2: 0.4, 3: 0.25, 4: 0.27}"
18250,"{0: 0.95, 1: 0.42, 2: 0.39, 3: 0.38, 4: 0.33}"
18500,"{0: 0.92, 1: 0.46, 2: 0.32, 3: 0.26, 4: 0.32}"
18750,"{0: 0.96, 1: 0.42, 2: 0.36, 3: 0.38, 4: 0.22}"
19000,"{0: 0.89, 1: 0.44, 2: 0.31, 3: 0.25, 4: 0.27}"
19250,"{0: 0.94, 1: 0.48, 2: 0.37, 3: 0.28, 4: 0.25}"
19500,"{0: 0.96, 1: 0.37, 2: 0.25, 3: 0.34, 4: 0.27}"
19750,"{0: 0.94, 1: 0.36, 2: 0.35, 3: 0.39, 4: 0.36}"
20000,"{0: 0.97, 1: 0.4, 2: 0.31, 3: 0.32, 4: 0.28}"
20250,"{0: 0.96, 1: 0.36, 2: 0.25, 3: 0.25, 4: 0.21}"
20500,"{0: 0.95, 1: 0.41, 2: 0.27, 3: 0.21, 4: 0.31}"
20750,"{0: 0.97, 1: 0.41, 2: 0.29, 3: 0.35, 4: 0.25}"
21000,"{0: 0.95, 1: 0.43, 2: 0.23, 3: 0.27, 4: 0.25}"
21250,"{0: 0.97, 1: 0.44, 2: 0.33, 3: 0.3, 4: 0.28}"
21500,"{0: 0.94, 1: 0.43, 2: 0.39, 3: 0.35, 4: 0.21}"
21750,"{0: 0.94, 1: 0.39, 2: 0.34, 3: 0.33, 4: 0.21}"
22000,"{0: 0.93, 1: 0.41, 2: 0.38, 3: 0.31, 4: 0.27}"
22250,"{0: 0.96, 1: 0.42, 2: 0.31, 3: 0.24, 4: 0.32}"
22500,"{0: 0.91, 1: 0.31, 2: 0.25, 3: 0.4, 4: 0.32}"
22750,"{0: 0.97, 1: 0.37, 2: 0.29, 3: 0.35, 4: 0.21}"
23000,"{0: 0.98, 1: 0.36, 2: 0.35, 3: 0.23, 4: 0.34}"
23250,"{0: 0.98, 1: 0.46, 2: 0.32, 3: 0.33, 4: 0.32}"
23500,"{0: 0.93, 1: 0.43, 2: 0.26, 3: 0.24, 4: 0.2}"
23750,"{0: 0.96, 1: 0.42, 2: 0.24, 3: 0.24, 4: 0.3}"
24000,"{0: 0.96, 1: 0.42, 2: 0.35, 3: 0.3, 4: 0.18}"
24250,"{0: 0.98, 1: 0.39, 2: 0.28, 3: 0.25, 4: 0.28}"
24500,"{0: 0.93, 1: 0.42, 2: 0.26, 3: 0.19, 4: 0.26}"
24750,"{0: 0.91, 1: 0.38, 2: 0.32, 3: 0.23, 4: 0.23}"
25000,"{0: 0.97, 1: 0.39, 2: 0.25, 3: 0.29, 4: 0.32}"
