steps,best_pred_error_rate
250,"{0: 0.9, 1: 0.43, 2: 0.47, 3: 0.47, 4: 0.41}"
500,"{0: 0.95, 1: 0.45, 2: 0.49, 3: 0.46, 4: 0.39}"
750,"{0: 0.95, 1: 0.47, 2: 0.38, 3: 0.39, 4: 0.44}"
1000,"{0: 0.99, 1: 0.5, 2: 0.3, 3: 0.42, 4: 0.43}"
1250,"{0: 0.96, 1: 0.36, 2: 0.37, 3: 0.34, 4: 0.39}"
1500,"{0: 0.96, 1: 0.37, 2: 0.33, 3: 0.36, 4: 0.35}"
1750,"{0: 0.92, 1: 0.35, 2: 0.34, 3: 0.3, 4: 0.43}"
2000,"{0: 0.98, 1: 0.39, 2: 0.36, 3: 0.32, 4: 0.38}"
2250,"{0: 0.94, 1: 0.34, 2: 0.3, 3: 0.3, 4: 0.32}"
2500,"{0: 0.95, 1: 0.43, 2: 0.35, 3: 0.34, 4: 0.37}"
2750,"{0: 0.94, 1: 0.33, 2: 0.4, 3: 0.35, 4: 0.3}"
3000,"{0: 0.94, 1: 0.4, 2: 0.49, 3: 0.3, 4: 0.39}"
3250,"{0: 0.91, 1: 0.42, 2: 0.32, 3: 0.39, 4: 0.31}"
3500,"{0: 0.93, 1: 0.35, 2: 0.32, 3: 0.3, 4: 0.35}"
3750,"{0: 0.92, 1: 0.49, 2: 0.34, 3: 0.36, 4: 0.37}"
4000,"{0: 0.95, 1: 0.41, 2: 0.33, 3: 0.41, 4: 0.29}"
4250,"{0: 0.91, 1: 0.4, 2: 0.42, 3: 0.26, 4: 0.25}"
4500,"{0: 0.93, 1: 0.39, 2: 0.36, 3: 0.39, 4: 0.28}"
4750,"{0: 0.95, 1: 0.44, 2: 0.26, 3: 0.38, 4: 0.39}"
5000,"{0: 0.96, 1: 0.39, 2: 0.31, 3: 0.39, 4: 0.33}"
5250,"{0: 0.9, 1: 0.48, 2: 0.27, 3: 0.33, 4: 0.29}"
5500,"{0: 0.93, 1: 0.35, 2: 0.27, 3: 0.27, 4: 0.41}"
5750,"{0: 0.94, 1: 0.49, 2: 0.4, 3: 0.31, 4: 0.32}"
6000,"{0: 0.96, 1: 0.43, 2: 0.39, 3: 0.32, 4: 0.44}"
6250,"{0: 0.96, 1: 0.41, 2: 0.27, 3: 0.34, 4: 0.4}"
6500,"{0: 0.94, 1: 0.55, 2: 0.44, 3: 0.39, 4: 0.35}"
6750,"{0: 0.93, 1: 0.37, 2: 0.34, 3: 0.36, 4: 0.3}"
7000,"{0: 0.98, 1: 0.4, 2: 0.29, 3: 0.39, 4: 0.34}"
7250,"{0: 0.93, 1: 0.44, 2: 0.32, 3: 0.3, 4: 0.29}"
7500,"{0: 0.9, 1: 0.26, 2: 0.33, 3: 0.32, 4: 0.32}"
7750,"{0: 0.99, 1: 0.36, 2: 0.34, 3: 0.3, 4: 0.23}"
8000,"{0: 0.93, 1: 0.36, 2: 0.27, 3: 0.32, 4: 0.33}"
8250,"{0: 0.95, 1: 0.47, 2: 0.31, 3: 0.36, 4: 0.34}"
8500,"{0: 0.91, 1: 0.48, 2: 0.29, 3: 0.42, 4: 0.31}"
8750,"{0: 0.92, 1: 0.39, 2: 0.32, 3: 0.38, 4: 0.37}"
9000,"{0: 0.87, 1: 0.47, 2: 0.38, 3: 0.29, 4: 0.32}"
9250,"{0: 0.96, 1: 0.42, 2: 0.26, 3: 0.37, 4: 0.27}"
9500,"{0: 0.95, 1: 0.41, 2: 0.31, 3: 0.4, 4: 0.3}"
9750,"{0: 0.92, 1: 0.45, 2: 0.25, 3: 0.24, 4: 0.3}"
10000,"{0: 0.95, 1: 0.4, 2: 0.23, 3: 0.36, 4: 0.29}"
10250,"{0: 0.97, 1: 0.43, 2: 0.28, 3: 0.21, 4: 0.33}"
10500,"{0: 0.94, 1: 0.44, 2: 0.34, 3: 0.33, 4: 0.42}"
