steps,time,nodes,filtered_nodes
2001,0.44,423,0
4000,0.89,520,1
6000,1.47,580,5
8000,1.92,633,18
10000,2.32,689,30
12002,2.82,739,50
14001,3.27,780,60
16000,3.75,805,70
18000,4.3,844,82
20000,4.79,868,95
22000,5.34,904,104
24000,5.89,926,120
26001,6.43,952,131
28002,6.97,978,141
30000,7.47,997,143
32001,8.09,1022,145
34001,8.6,1050,147
36001,9.17,1070,148
38001,9.68,1093,149
40001,10.21,1110,152
42001,10.75,1135,152
44002,11.33,1154,152
46001,11.82,1171,152
48002,12.39,1191,152
50002,12.91,1208,153
52000,13.5,1226,153
54001,14.03,1241,154
56000,14.59,1262,156
58000,15.17,1278,158
60002,15.73,1301,160
62000,16.26,1314,164
64000,16.77,1328,165
66002,17.35,1339,172
68002,17.92,1352,173
70000,18.47,1357,177
72000,19.03,1373,177
74000,19.67,1387,178
76000,20.22,1399,180
78001,20.79,1409,184
80001,21.43,1424,186
82002,22.06,1436,190
84001,22.6,1445,192
86001,23.24,1460,193
88001,23.84,1470,195
90001,24.46,1477,196
92002,25.05,1485,202
94001,25.61,1495,206
96001,26.18,1507,209
98000,26.69,1518,215
100002,27.33,1529,218
102002,27.91,1539,218
104000,28.49,1548,220
106001,29.16,1557,221
108000,29.73,1563,221
110001,30.29,1569,223
112000,30.89,1574,227
114001,31.52,1585,228
116002,32.09,1600,232
118001,32.69,1608,235
120001,33.33,1618,237
122000,33.99,1628,242
124000,34.56,1640,243
126002,35.13,1646,244
128002,35.72,1657,244
130000,36.38,1672,244
132001,37.02,1677,246
134000,37.63,1690,250
136001,38.22,1698,250
138002,38.8,1708,250
140002,39.53,1714,252
142002,40.43,1717,254
144001,41.39,1724,257
146002,42.13,1727,259
148001,42.86,1736,261
150001,43.59,1746,265
152001,44.26,1756,269
154000,44.95,1768,271
156002,45.62,1774,272
158001,46.39,1782,275
160001,47.06,1784,277
162002,47.7,1794,278
164002,48.3,1798,283
166001,48.96,1807,289
168000,49.53,1810,292
170001,50.21,1819,298
172000,50.9,1828,304
174000,51.54,1840,305
176000,52.2,1851,309
178001,52.87,1855,311
180000,53.48,1861,315
182001,54.16,1866,323
184001,54.9,1871,325
186001,55.54,1875,326
188001,56.24,1875,328
190000,56.9,1879,330
192001,57.51,1882,333
194001,58.08,1883,334
196002,58.69,1896,338
198002,59.26,1899,343
200001,59.88,1900,349
