steps,time,nodes,filtered_nodes
2000,0.39,418,0
4001,0.84,508,0
6000,1.26,583,3
8002,1.71,640,16
10002,2.19,688,37
12000,2.68,727,46
14002,3.17,774,53
16002,3.63,809,68
18000,4.1,834,84
20000,4.59,866,88
22002,5.04,890,104
24002,5.52,923,126
26000,5.99,946,137
28000,6.51,972,142
30001,7.05,992,147
32002,7.56,1010,149
34000,8.02,1029,149
36001,8.57,1048,149
38000,9.05,1065,151
40001,9.52,1087,152
42000,10.05,1104,153
44000,10.54,1131,156
46000,11.06,1148,157
48001,11.54,1171,157
50002,12.03,1185,158
52001,12.62,1202,158
54000,13.14,1222,158
56002,13.73,1234,160
58002,14.26,1245,161
60000,14.88,1265,165
62000,15.35,1277,167
64002,15.91,1297,169
66000,16.4,1313,171
68000,16.97,1319,171
70000,17.55,1329,174
72000,18.11,1339,176
74001,18.74,1348,180
76000,19.26,1361,182
78000,19.87,1372,187
80000,20.42,1380,188
82001,21.0,1398,191
84000,21.58,1415,194
86002,22.14,1425,196
88002,22.73,1442,197
90000,23.29,1456,204
92001,23.89,1463,204
94001,24.49,1479,207
96000,25.04,1487,211
98000,25.64,1500,215
100002,26.19,1510,217
102000,26.78,1521,217
104001,27.32,1529,219
106001,27.84,1547,223
108000,28.39,1558,226
110000,28.97,1563,229
112002,29.57,1570,232
114001,30.19,1580,233
116001,30.75,1598,233
118001,31.27,1605,238
120001,31.84,1616,240
122001,32.43,1623,242
124002,33.04,1627,245
126000,33.61,1640,245
128002,34.17,1644,247
130000,34.73,1652,249
132002,35.33,1657,249
134000,35.89,1664,251
136002,36.51,1670,254
138000,37.06,1675,256
140002,37.61,1682,256
142002,38.22,1685,257
144000,38.92,1692,257
146001,39.5,1701,257
148000,40.09,1712,261
150002,40.7,1722,263
152000,41.32,1731,264
154000,41.97,1735,265
156001,42.53,1739,266
158000,43.12,1748,269
160001,43.69,1756,269
162001,44.34,1763,269
164000,44.95,1773,271
166001,45.58,1783,274
168002,46.21,1790,278
170001,46.77,1794,278
172000,47.33,1798,279
174001,47.94,1804,281
176001,48.58,1813,281
178002,49.16,1822,283
180000,49.79,1831,288
182001,50.38,1840,291
184000,50.98,1845,294
186002,51.54,1850,300
188001,52.15,1855,306
190000,52.78,1857,310
192001,53.35,1862,314
194000,54.01,1865,318
196000,54.62,1871,320
198001,55.25,1877,321
200000,55.96,1884,324
